time,power
1,704.1571485983644
2,691.9761175097498
3,680.2387661454102
4,668.9276945173515
5,658.0262122381357
6,647.5183088420745
7,637.3886253706698
8,627.6224271676834
9,618.2055778315932
10,609.1245142754763
11,600.3662228465487
12,591.9182164596671
13,583.7685127011023
14,575.9056128607857
15,568.3184818530704
16,560.9965289877703
17,553.9295895549242
18,547.1079071883078
19,540.522116974247
20,534.1632292737421
21,528.0226142272948
22,522.0919869131664
23,516.3633931310694
24,510.82919578449935
25,505.48206183608795
26,500.3149498114624
27,495.3210978281609
28,490.49401212717055
29,485.82745608562436
30,481.31543969012324
31,476.9522094510366
32,472.73223873898735
33,468.65021852553565
34,464.70104851085375
35,460.8798286219304
36,457.18185086554615
37,453.6025915209503
38,450.13770365781005
39,446.78300996563235
40,443.5344958814452
41,440.38830300310235
42,437.3407227761108
43,434.3881904424052
44,431.52727923999083
45,428.7546948428498
46,426.067270030962
47,423.46195958072786
48,420.93583536649544
49,418.48608166429335
50,416.10999064925164
51,413.8049580785568
52,411.5684791521382
53,409.3981445436126
54,407.29163659433743
55,405.2467256637242
56,403.26126662925986
57,401.3331955299596
58,399.4605263472445
59,397.6413479174933
60,395.8738209707597
61,394.1561752903847
62,392.48670698845507
63,390.8637758922736
64,389.28580303721355
65,387.75126826152444
66,386.2587078988456
67,384.8067125643635
68,383.3939250307191
69,382.0190381899404
70,380.6807930978277
71,379.37797709737526
72,378.1094220179536
73,376.8740024471159
74,375.6706340720259
75,374.4982720876295
76,373.355909668814
77,372.2425765039145
78,371.1573373870403
79,370.09929086679637
80,369.0675679490817
81,368.06133085173894
82,367.0797718089261
83,366.12211192317096
84,365.18760006315034
85,364.27551180532305
86,363.3851484176206
87,362.51583588347546
88,361.66692396453993
89,360.8377853005147
90,360.0278145445752
91,359.2364275329443
92,358.46306048722255
93,357.7071692481422
94,356.9682285394704
95,356.24573126083635
96,355.53918780831054
97,354.84812542161103
98,354.1720875568601
99,353.5106332838584
100,352.86333670688555
101,352.22978640807867
102,351.60958491247897
103,351.00234817387377
