time,power
1,977.2723713943659
2,958.4313470090632
3,940.2505434853023
4,922.7046402081769
5,905.7693351981623
6,889.4213028724712
7,873.6381535956991
8,858.3983949427359
9,843.6813946002676
10,829.4673448364017
11,815.7372284710282
12,802.4727862824549
13,789.6564857886647
14,777.271491344222
15,765.3016354964248
16,753.7313915467428
17,742.5458472659319
18,731.7306797134545
19,721.2721311139729
20,711.1569857457383
21,701.3725477976534
22,691.9066201536552
23,682.747484064865
24,673.8838796716523
25,665.3049873394053
26,657.0004097733674
27,648.9601548793834
28,641.1746193388492
29,633.6345728675117
30,626.331143129083
31,619.2558012758831
32,612.4003480899227
33,605.7569006989833
34,599.3178798433446
35,593.0759976698592
36,587.0242460310772
37,581.1558852680769
38,575.4644334565796
39,569.9436560967996
40,564.5875562283194
41,559.3903649520853
42,554.3465323423799
43,549.4507187323683
44,544.697786357512
45,540.0827913418179
46,535.6009760125338
47,531.2477615295135
48,527.018740816064
49,522.909671778651
50,518.916470803375
51,515.0352065176457
52,511.26209380597913
53,507.5934880693031
54,504.0258797176227
55,500.555888886314
56,497.1802603667381
57,493.8958587422561
58,490.69966372110866
59,487.5887656579811
60,484.5603612564257
61,481.6117494446405
62,478.740327417424
63,475.9435868374256
64,473.2191101891065
65,470.56456727909915
66,467.97771187692217
67,465.45637849026303
68,462.9984792692806
69,460.6020010346189
70,458.26500242404217
71,455.98561115281547
72,453.76202138316427
73,451.5924911983347
74,449.47534017697313
75,447.40894706371427
76,445.39174753204395
77,443.4222320356689
78,441.49894374477736
79,439.62047656373096
80,437.7854732268703
81,435.99262346925536
82,434.2406622692936
83,432.5283681603374
84,430.85456160845183
85,429.2181034536713
86,427.61789341217496
87,426.05286863691583
88,424.5220023343446
89,423.0243024349617
90,421.558810315529
91,420.1245995708611
92,418.72077483320135
93,417.3464706372707
94,416.0008503291566
95,414.683105017284
96,413.39245256378445
97,412.12813661464537
98,410.889425667093
99,409.67561217272015
100,408.4860116749368
101,407.31996197937536
102,406.17682235594083
103,405.05597277124934
104,403.9568131502489
105,402.87876266586716
106,401.82125905557626
107,400.7837579638122
108,399.7657323092267
109,398.7666716757936
110,397.7860817268311
111,396.823483641038
112,395.8784135696788
113,394.9504221140909
114,394.0390738227144
115,393.1439467068845
116,392.26463177465064
117,391.4007325819212
118,390.5518648002576
119,389.7176558006712
120,388.89774425280046
121,388.0917797388719
122,387.2994223818727
123,386.5203424873847
124,385.7542201985516
125,385.0007451636744
126,384.25961621594706
127,383.53054106486576
128,382.8132359988646
129,382.107425598746
130,381.4128424614927
131,380.7292269340651
132,380.05632685680285
133,379.393897316063
134,378.74170040574546
135,378.09950499736686
136,377.46708651835826
137,376.84422673827703
138,376.2307135626306
139,375.6263408340281
140,375.0309081403812
141,374.44422062988997
142,373.86608883255906
143,373.2963284879984
144,372.73476037927406
145,372.181210172583
146,371.6355082625331
147,371.09748962282214
148,370.5669936621124
149,370.04386408491024
150,369.52794875726335
151,369.0190995770984
152,368.51717234902867
153,368.02202666346403
154,367.5335257798693
155,367.0515365140139
156,366.5759291290708
157,366.1065772304207
158,365.64335766402826
159,365.1861504182589
160,364.7348385290113
161,364.28930798804714
162,363.8494476543977
163,363.4151491687414
164,362.9863068706412
165,362.56281771854026
166,362.14458121241745
167,361.7314993190047
168,361.3234763994784
169,360.92041913953216
170,360.52223648174964
171,360.12883956019294
172,359.7401416371299
173,359.35605804182245
174,358.9765061113057
175,358.60140513308477
176,358.2306762896841
177,357.8642426049823
178,357.5020288922719
179,357.1439617039819
180,356.7899692830059
181,356.4399815155798
182,356.0939298856555
183,355.7517474307181
184,355.4133686989971
185,355.0787297080235
186,354.7477679044864
187,354.42042212534386
188,354.09663256014665
189,353.7763407145315
190,353.4594893748449
191,353.1460225738594
192,352.83588555754426
193,352.5290247528555
194,352.2253877365109
195,351.9249232047163
196,351.62758094381144
197,351.3333118018048
198,351.0420676607674
199,350.7538014100566
200,350.468466920343
201,350.1860190184133
202,349.906413462723
203,349.62960691967606
204,349.3555569406043
205,349.0842219394269
206,348.8155611709657
207,348.5495347098953
208,348.28610343030783
209,348.0252289858712
210,347.76687379056335
211,347.5110009999618
212,347.2575744930723
213,347.00655885467876
214,346.75791935819643
215,346.51162194901497
216,346.26763322831306
217,346.02592043733034
218,345.7864514420844
219,345.54919471851423
220,345.3141193380413
221,345.0811949535323
222,344.85039178565177
223,344.62168060959226
224,344.39503274217105
225,344.17042002928065
226,343.9478148336831
227,343.7271900231373
228,343.50851895884904
229,343.29177548423297
230,343.0769339139791
231,342.86396902341147
232,342.65285603813385
233,342.44357062394926
234,342.2360888770498
235,342.0303873144641
236,341.8264428647587
237,341.6242328589825
238,341.4237350218488
239,341.2249274631477
240,341.02778866938127
241,340.8322974956153
242,340.6384331575414
243,340.4461752237436
244,340.2555036081616
245,340.06639856274796
246,339.87884067031064
247,339.6928108375369
248,339.5082902881935
249,339.32526055649805
250,339.1437034806549
251,338.9636011965539
252,338.78493613162414
253,338.6076909988413
254,338.4318487908813
255,338.25739277441846
256,338.08430648456255
257,337.9125737194323
258,337.74217853485953
259,337.573105239222
260,337.4053383884008
261,337.23886278085854
262,337.0736634528358
263,336.9097256736604
264,336.74703494117057
265,336.58557697724376
266,336.4253377234324
267,336.26630333670136
268,336.10846018526536
269,335.95179484452257
270,335.7962940930841
271,335.641944908893
272,335.48873446543473
273,335.33665012803357
274,335.18567945023307
275,335.03581017026005
276,334.88703020756833
277,334.73932765945995
278,334.59269079778335
279,334.4471080657048
280,334.30256807455294
281,334.1590596007316
282,334.016571582704
283,333.8750931180401
284,333.7346134605325
285,333.5951220173723
286,333.45660834638846
287,333.31906215334755
288,333.1824732893105
289,333.04683174804757
290,332.91212766350867
291,332.77835130734803
292,332.6454930865009
293,332.51354354081343
294,332.3824933407212
295,332.2523332849776
296,332.1230542984302
297,331.99464742984264
298,331.86710384976374
299,331.7404148484393
300,331.6145718337681
301,331.36860779671304
302,331.12415635709823
303,330.8812024199947
304,330.63973109400655
305,330.3997276878256
306,330.16117770685753
307,329.924066849915
308,329.688381005979
309,329.45410625102477
310,329.22122884491074
311,328.98973522833137
312,328.7596120198292
313,328.5308460128672
314,328.30342417295884
315,328.0773336348545
316,327.8525616997837
317,327.62909583275126
318,327.4069236598859
319,327.18603296584104
320,326.96641169124615
321,326.74804793020604
322,326.53092992785037
323,326.31504607792886
324,326.10038492045265
325,325.8869351393816
326,325.67468556035465
327,325.4636251484633
328,325.25374300606785
329,325.0450283706542
330,324.83747061273124
331,324.6310592337669
332,324.425783864164
333,324.22163426127224
334,324.01860030743836
335,323.8166720080915
336,323.61583948986424
337,323.41609299874773
338,323.2174228982815
339,323.019819667775
340,322.8232739005622
341,322.62777630228874
342,322.4333176892277
343,322.23988898662856
344,322.04748122709316
345,321.8560855489828
346,321.6656931948529
347,321.47629550991485
348,321.2878839405271
349,321.1004500327107
350,320.9139854306926
351,320.7284818754738
352,320.5439312034231
353,320.3603253448947
354,320.17765632287086
355,319.99591625162714
356,319.8150973354217
357,319.6351918672066
358,319.4561922273611
359,319.2780908824475
360,319.1008803839881
361,318.9245533672619
362,318.74910255012355
363,318.57452073184083
364,318.4008007919526
365,318.22793568914614
366,318.0559184601525
367,317.88474221866136
368,317.71440015425316
369,317.54488553135013
370,317.3761916881834
371,317.2083120357782
372,317.04124005695587
373,316.87496930535167
374,316.7094934044491
375,316.54480604663024
376,316.3809009922412
377,316.21777206867307
