time,power
1,1114.7530316021375
2,1093.484829185279
3,1072.9653862553855
4,1053.1659070516275
5,1034.0587562414216
6,1015.6174107495045
7,997.8164136290412
8,980.6313298868383
9,964.0387041785256
10,948.0160202932608
11,932.5416623510157
12,917.594877638838
13,903.1557410157179
14,889.2051208187069
15,875.724646205917
16,862.6966758747823
17,850.1042680966691
18,837.9311520114705
19,826.1617001282666
20,814.7809019804741
21,803.7743388861453
22,793.1281597662116
23,782.8290579755164
24,772.8642491034341
25,763.2214497027398
26,753.8888569071887
27,744.8551288999653
28,736.1093661968046
29,727.6410937091434
30,719.4402435541637
31,711.4971385800072
32,703.8024765758246
33,696.3473151376094
34,689.1230571620398
35,682.1214369417243
36,675.3345068364121
37,668.7546244958087
38,662.3744406106889
39,656.1868871700023
40,650.185166202617
41,644.3627389832727
42,638.7133156831787
43,633.2308454465414
44,627.9095068750984
45,622.74369890351
46,617.7280320491848
47,612.8573200208282
48,608.1265716706612
49,603.5309832759107
50,599.0659311357787
51,594.7269644706922
52,590.5097986111898
53,586.4103084643476
54,582.424522246159
55,578.5486154687704
56,574.7789051719548
57,571.1118443886505
58,567.5440168348255
59,564.0721318143409
60,560.6930193298839
61,557.4036253914139
62,554.2010075139352
63,551.0823303967478
64,548.0448617766654
65,545.0859684480051
66,542.2031124424562
67,539.3938473622259
68,536.6558148601401
69,533.9867412606438
70,531.3844343158951
71,528.8467800913992
72,526.3717399758558
73,523.9573478101196
74,521.6017071303878
75,519.3029885209319
76,517.0594270718891
77,514.8693199378145
78,512.7310239928778
79,510.6429535787558
80,508.60357834144344
81,506.61142115335656
82,504.6650561172566
83,502.76310664866907
84,500.90424363360694
85,499.087183658543
86,497.3106873097016
87,495.5735575388632
88,493.8746380929901
89,492.2128120050938
90,490.58700014387273
91,488.9961598197493
92,487.4392834450343
93,485.91539724604115
94,484.42356002506125
95,482.9628619701982
96,481.53242351114267
97,480.13139421904646
98,478.7589517487303
99,477.4143008215356
100,476.09667224719624
101,474.8053219831726
102,473.53953022995955
103,472.2986005609341
104,471.0818590853714
105,469.88865364331275
106,468.7183530310228
107,467.57034625582486
108,466.4440418191539
109,465.3388670267089
110,464.2542673246423
111,463.18970566075353
112,462.14466186970884
113,461.118632081339
114,460.1111281511129
115,459.1216771119151
116,458.14982064629464
117,457.19511457838536
118,456.25712838472964
119,455.3354447232678
120,454.4296589797872
121,453.5393788311513
122,452.66422382465845
123,451.8038249729038
124,450.95782436354455
125,450.12587478339356
126,449.3076393562861
127,448.5027911941906
128,447.7110130610533
129,446.9319970488859
130,446.165444265629
131,445.4110645343378
132,444.6685761032576
133,443.9377053663733
134,443.2181865940332
135,442.5097616732633
136,441.8121798574037
137,441.1251975247125
138,440.4485779455991
139,439.78209105815733
140,439.12551325168806
141,438.478627157907
142,437.84122144954995
143,437.2130906460975
144,436.59403492634976
145,435.98385994759724
146,435.3823766711389
147,434.7894011939115
148,434.20475458600197
149,433.628262733823
150,433.0597561887437
151,432.4990700209697
152,431.9460436784815
153,431.4005208508419
154,430.8623493376938
155,430.33138092177546
156,429.8074712462871
157,429.290479696449
158,428.78026928509814
159,428.2767065421749
160,427.77966140795826
161,427.2890071299138
162,426.8046201630209
163,426.32638007345616
164,425.854169445508
165,425.38787379160806
166,424.9273814653673
167,424.47258357750536
168,424.0233739145736
169,423.5796488603679
170,423.1413073199381
171,422.7082506460982
172,422.2803825683513
173,421.85760912414116
174,421.43983859234856
175,421.0269814289532
176,420.61895020478454
177,420.2156595452871
178,419.8170260722315
179,419.42296834729933
180,419.03340681748006
181,418.64826376221396
182,418.26746324222114
183,417.8909310499588
184,417.51859466164757
185,417.15038319081606
186,416.7862273433081
187,416.4260593737043
188,416.06981304310807
189,415.71742357824917
190,415.36882763186156
191,415.0239632442885
192,414.68276980627735
193,414.3451880229198
194,414.0111598787006
195,413.68062860361755
196,413.3535386403356
197,413.02983561234004
198,412.70946629305695
199,412.3923785759061
200,412.07852144525765
201,411.7678449482596
202,411.4603001675105
203,411.15583919454593
204,410.85441510411437
205,410.5559819292149
206,410.2604946368726
207,409.9679091046268
208,409.6781820977092
209,409.39127124688883
210,409.10713502696314
211,408.82573273587263
212,408.5470244744209
213,408.2709711265784
214,407.9975343403522
215,407.72667650920476
216,407.45836075400064
217,407.19255090546795
218,406.9292114871567
219,406.66830769887713
220,406.40980540060485
221,406.1536710968362
222,405.8998719213814
223,405.64837562258043
224,405.39915054892765
225,405.1521656350958
226,404.9073903883426
227,404.66479487529114
228,404.42434970907107
229,404.18602603681
230,403.9497955274638
231,403.71563035997667
232,403.48350321175855
233,403.25338724747274
234,403.02525610812256
235,402.79908390042897
236,402.57484518648914
237,402.35251497370956
238,402.1320687050027
239,401.9134822492422
240,401.69673189196584
241,401.4817943263226
242,401.26864664425233
243,401.0572663278947
244,400.8476312412189
245,400.63971962186736
246,400.4335100732092
247,400.22898155659414
248,400.0261133838038
249,399.82488520969406
250,399.6252770250209
251,399.4272691494481
252,399.2308422247272
253,399.0359772080495
254,398.8426553655608
255,398.6508582660372
256,398.46056777471614
257,398.27176604727845
258,398.08443552397756
259,397.89855892391085
260,397.7141192394303
261,397.5310997306874
262,397.3494839203095
263,397.1692555882038
264,396.99039876648425
265,396.8128977345203
266,396.6367370141015
267,396.4619013647175
268,396.2883757789472
269,396.1161454779571
270,395.94519590710416
271,395.77551273164045
272,395.6070818325174
273,395.43988930228653
274,395.2739214410949
275,395.1091647527706
276,394.9456059409994
277,394.7832319055862
278,394.6220297388027
279,394.46198672181595
280,394.30309032119766
281,394.1453281855116
282,393.98868814197664
283,393.83315819320376
284,393.67872651400563
285,393.52538144827605
286,393.37311150593763
287,393.22190535995674
288,393.0717518434226
289,392.9226399466907
290,392.77455881458724
291,392.6274977436736
292,392.4814461795701
293,392.33639371433685
294,392.19233008390904
295,392.04924516558856
296,391.90712897558774
297,391.76597166662407
298,391.62576352556636
299,391.4864949711301
300,391.3481565516198
301,391.04817203420873
302,390.7499431083822
303,390.45345260683246
304,390.1586835913417
305,389.86561934892575
306,389.5742433880561
307,389.2845394349588
308,388.9964914299879
309,388.71008352407136
310,388.42530007522856
311,388.1421256451571
312,387.86054499588727
313,387.5805430865039
314,387.302105069931
315,387.0252162897819
316,386.74986227726913
317,386.47602874817636
318,386.2037015998885
319,385.9328669084797
320,385.6635109258568
321,385.39562007696
322,385.1291809570151
323,384.8641803288392
324,384.6006051201989
325,384.33844242121666
326,384.077679481828
327,383.81830370928657
328,383.56030266571537
329,383.30366406570454
330,383.0483757739547
331,382.79442580296285
332,382.54180231075236
333,382.29049359864496
334,382.04048810907346
335,381.7917744234351
336,381.54434125998375
337,381.29817747176224
338,381.0532720445697
339,380.80961409496877
340,380.5671928683266
341,380.3259977368929
342,380.0860181979115
343,379.8472438717669
344,379.6096645001622
345,379.3732699443313
346,379.1380501832826
347,378.90399531207277
348,378.6710955401124
349,378.43934118950006
350,378.20872269338713
351,377.9792305943702
352,377.7508555429121
353,377.52358829578975
354,377.29741971456974
355,377.07234076411
356,376.8483425110867
357,376.6254161225475
358,376.40355286448914
359,376.18274410045876
360,375.96298129018027
361,375.74425598820307
362,375.5265598425736
363,375.30988459353034
364,375.0942220722202
365,374.87956419943526
366,374.6659029843736
367,374.4532305234174
368,374.24153899893383
369,374.03082067809504
370,373.82106791171697
371,373.61227313311906
372,373.40442885700054
373,373.1975276783369
374,372.9915622712937
375,372.7865253881581
376,372.58240985828775
377,372.37920858707724
378,372.17691455494014
379,371.9755208163085
380,371.7750204986485
381,371.57540680149066
382,371.3766729954773
383,371.17881242142346
384,370.98181848939424
385,370.78568467779536
386,370.5904045324797
387,370.39597166586645
388,370.20237975607506
389,370.00962254607225
390,369.8176938428324
391,369.62658751651225
392,369.4362974996358
393,369.2468177862949
394,369.0581424313598
395,368.8702655497033
396,368.6831813154367
397,368.49688396115596
398,368.3113677772027
399,368.126627110932
400,367.94265636599533
401,367.7594500016328
402,367.57700253197515
403,367.39530852535813
404,367.2143626036459
405,367.0341594415656
406,366.8546937660502
407,366.67596035559376
408,366.497954039614
409,366.32066969782534
410,366.144102259621
411,365.96824670346484
412,365.79309805629134
413,365.6186513929148
414,365.44490183544724
415,365.2718445527248
416,365.09947475974263
417,364.9277877170978
418,364.75677873043975
419,364.5864431499309
420,364.4167763697122
421,364.24777382737784
422,364.0794310034583
423,363.9117434209087
424,363.74470664460665
425,363.57831628085614
426,363.4125679768982
427,363.2474574204293
428,363.0829803391269
