duration,power
1,1073.8124691932626
2,982.2061787581309
3,928.6201834957902
4,890.6001374279111
5,861.108943883121
6,837.0130088543262
7,816.6412774813302
8,798.9929243482227
9,783.427617371279
10,769.503191758145
11,756.9063743063579
12,745.4075420684671
13,734.8287226652287
14,725.0341998384255
15,715.916268140528
16,707.3874637178704
17,699.3753027357161
18,691.8209174172055
19,684.675666173449
20,677.8962670235184
21,671.4487421200218
22,665.3005156843915
23,659.4259009759871
24,653.8009018242749
25,648.4061749205173
26,643.2225069700443
27,638.2347704107578
28,633.4286700243192
29,628.7907019837714
30,624.3104550143576
31,619.9762309050636
32,615.7808831926243
33,611.7142255589192
34,607.7687583808236
35,603.9373148253709
36,600.2146658303773
37,596.5938934155657
38,593.0687466634669
39,589.6364606716152
40,586.2903619242342
41,583.0263041825035
42,579.8419793347047
43,576.7324268704263
44,573.6941937682836
45,570.7241338221327
46,567.8192061269802
47,564.9764719370702
48,562.194558197767
49,559.4698634940022
50,556.799538742627
51,554.1823794801895
52,551.6164170748984
53,549.0984476649953
54,546.6286440405164
55,544.2033500621633
56,541.8219669393445
57,539.483180964176
58,537.1843114543285
59,534.9248069152131
60,532.704103535746
61,530.5197464013027
62,528.3706935116013
63,526.2559259675681
64,524.1744475124635
65,522.1252840815823
66,520.1074833603714
67,518.1201143508156
68,516.162266945942
69,514.2330515122967
70,512.331598480252
71,510.457057942
72,508.60859925709724
73,506.78541066542266
74,504.9866989074145
75,503.21329668859613
76,501.46311409689724
77,499.7353045208665
78,498.02936087909796
79,496.34651970702436
80,494.6840702084087
81,493.04164220465907
82,491.42079785241077
83,489.818480112884
84,488.23582459897415
85,486.6719364957778
86,485.1257683687684
87,483.59838454127475
88,482.0873594555725
89,480.59462161058116
90,479.1174371857312
91,477.65755205681177
92,476.2129466709571
93,474.78418403560863
94,473.37093565196926
95,471.9716264050296
96,470.58855143052665
97,469.2187345401393
98,467.86303788747915
99,466.5217965841682
100,465.19318884812594
101,463.87797045405205
102,462.57640893605304
103,461.2868819218894
104,460.009225113929
105,458.7452112011954
106,457.4927267588728
107,456.2515444749448
108,455.0215083040118
109,453.8039529442573
110,452.5973171453209
111,451.4012889499328
112,450.215720178638
113,449.0404642831994
114,447.8763157475623
115,446.7224212756485
116,445.5783351639302
117,444.44391828553216
118,443.3190330537344
119,442.2035434066588
120,441.09731479209825
121,440.00021415248807
122,438.9127724282768
123,437.8341317683599
124,436.76416286590313
125,435.7027394534592
126,434.6497366744509
127,433.6050310690758
128,432.5685005603424
129,431.54002444023854
130,430.51948335602873
131,429.506759296681
132,428.50173557942145
133,427.50429683641426
134,426.51432900156857
135,425.5317192974678
136,424.55635622242403
137,423.5881295376522
138,422.62693025456707
139,421.6726506221985
140,420.7251841147266
141,419.7844254191333
142,418.8502704229716
143,417.9226162022496
144,417.00137134668336
145,416.08706052652064
146,415.17899580438757
147,414.27707814469426
148,413.38120965000235
149,412.49129354949383
150,411.60723418754816
151,410.72893701242856
152,409.856308565075
153,408.9892564680039
154,408.12865925179324
155,407.273579406949
156,406.42384545748644
157,405.5793685737101
158,404.7400609613625
159,403.90583585106066
160,403.07718934353136
161,402.2542073437078
162,401.436090254757
163,400.622754674475
164,399.8141181816009
165,399.010176033024
166,398.21221731835846
167,397.4187500697717
168,396.62969509326547
169,395.8449741335618
170,395.0649998352502
171,394.2904150368988
172,393.5199662028016
173,392.75357817037786
174,391.9911766751891
175,391.2344556759187
176,390.48167152906035
177,389.73268504965904
178,388.987424936563
179,388.2476878263851
180,387.5116597991639
181,386.7791760712114
182,386.0505492508963
183,385.3270338005983
184,384.606885210965
185,383.8900370126113
186,383.1777635340404
187,382.46951920822056
188,381.76440428607407
189,381.06282861446687
190,380.36606783823964
191,379.67226986979324
192,378.9813728110171
193,378.2955433436358
194,377.61265586531437
195,376.93250881676573
196,376.2569799873736
197,375.58460619229936
198,374.9148165132928
199,374.2494336141265
200,373.58718615373596
201,372.9273705729545
202,372.27198121984367
203,371.6194820092844
204,370.9692664319092
205,370.3237205293783
206,369.68060055661886
207,369.039920799378
208,368.40376958203166
209,367.76966872061473
210,367.1386114869898
211,366.511266324871
212,365.8858331502456
213,365.26425391723626
214,364.64536821368097
