duration,power
1,912.2817452083334
2,840.305389071391
3,798.2016457861771
4,768.3290275621891
5,745.1573764637538
6,726.22530784909
7,710.2182824298361
8,696.3526606819485
9,684.1214847075194
10,673.1810485853566
11,663.2843054391263
12,654.248964535608
13,645.9367171214578
14,638.2419407126407
15,631.077181308801
16,624.3762884318893
17,618.0802529795359
18,612.1451649842966
19,606.5314278281271
20,601.2047153282791
21,596.138134157229
22,591.3079487204591
23,586.6920801723099
24,582.2726158469528
25,578.0328590768071
26,573.9602121645414
27,570.0412619249
28,566.265593619909
29,562.6219062821901
30,559.1008716520109
31,555.6965598766348
32,552.3999108132318
33,549.2042079877068
34,546.1039426248137
35,543.0938378361545
36,540.1688398805406
37,537.3241097340672
38,534.555014959346
39,531.8571218636976
40,529.2283766937435
41,526.6645233330077
42,524.1618106509881
43,521.7187269335532
44,519.3315866296645
45,516.9969538999137
46,514.7156308007761
47,512.4826473933026
48,510.2962617843456
49,508.1547809471229
50,506.0565594907288
51,503.99999847357935
52,501.9837018691795
53,500.0056870066179
54,498.06496042956184
55,496.15993975446975
56,494.2892411528629
57,492.4515205990782
58,490.64547285527374
59,488.8698304806768
60,487.1245566124004
61,485.40879314678614
62,483.72010948724136
63,482.05792419051767
64,480.42352782719576
65,478.81313118268775
66,477.22786946844695
67,475.6665619027354
68,474.12762688742947
69,472.6122966053455
70,471.11752439473804
71,469.64519702290335
72,468.1925093974738
73,466.7603426810331
74,465.3477439712347
75,463.95302266118927
76,462.57859673119555
77,461.2208442220441
78,459.88063499208215
79,458.5584949090353
80,457.25203268297145
81,455.96135138266675
82,454.6880802228234
83,453.42954278853813
84,452.1854817650735
85,450.95606852909657
86,449.742271507454
87,448.54206869889896
88,447.3552191679632
89,446.18148534875445
90,445.0206330024995
91,443.8736537924515
92,442.7391760781672
93,441.6167797579212
94,440.50624560820756
95,439.40735749787854
96,438.3199023490077
97,437.24367009821754
98,436.17845365846824
99,435.1240488813028
100,434.08025451954177
101,433.0468721904233
102,432.02370633918247
103,431.0105642030675
104,430.00725577578413
105,429.01359377236577
106,428.02939359446367
107,427.054473296053
108,426.0886535495488
109,425.1317576123279
110,424.1836112936523
111,423.2440429219895
112,422.31288331272356
113,421.38996573625485
114,420.47512588648283
115,419.5682018496663
116,418.6690340736593
117,417.7774653375162
118,416.89334072146255
119,416.01666731642877
120,415.1482361911922
121,414.2868656069283
122,413.4324081425434
123,412.58471855417605
124,411.74365374700403
125,410.90907274739374
126,410.08161890924924
127,409.26131313697084
128,408.44713947500077
129,407.63896387792374
130,406.83665430645044
131,406.0404685509966
132,405.2515255729245
133,404.4681173242441
134,403.6901183293559
135,402.91740500939204
136,402.15130576860645
137,401.3910986951931
138,400.6358653618995
139,399.8854884066759
140,399.14120557136096
141,398.4027026155315
142,397.66875830396236
143,396.9392612375626
144,396.21617353631865
145,395.4979440894939
146,394.78387779917813
147,394.07458379427214
148,393.37137283833005
149,392.6720501705037
150,391.9765139993964
151,391.28741874262266
152,390.6021731448938
153,389.9204519266174
154,389.2445019227688
155,388.57268690802005
156,387.90414277791217
157,387.24108726677406
158,386.58207589018537
159,385.9260902922988
160,385.2756832971846
161,384.6288676459062
162,383.98484082845664
163,383.3468410649567
164,382.71163176014136
165,382.079746572609
166,381.4531530696488
167,380.82897878055707
168,380.2091475007074
169,379.5932522053359
170,378.97955917523427
171,378.3715518614683
172,377.7658107316552
173,377.1636305468657
174,376.56565341234375
175,375.9695392694101
176,375.3788463365756
177,374.79018373694873
178,374.2051519924374
179,373.62376100727346
180,373.0443361943786
181,372.4700396592583
182,371.8971631645204
183,371.3287915197351
184,370.76271600569896
185,370.19979162249376
186,369.6403474958321
187,369.08281816776963
188,368.5298384612248
189,367.9778666603413
190,367.4309728198381
191,366.8851899638957
192,366.34353754215977
193,365.80378384915514
194,365.2673226125422
195,364.7334407946953
196,364.2021209909991
197,363.67395622162087
198,363.14772857545927
199,362.6251284562246
200,362.1039441644697
201,361.58675869309207
202,361.070569420344
203,360.5586509586465
204,360.04740883275093
205,359.54061207512893
206,359.0342696827371
207,358.53245162500895
208,358.03096200718073
209,357.5339819158206
210,357.0372985636693
211,356.54501794541886
212,356.05309479579785
213,355.5653773676515
214,355.0781687988825
215,354.5948804584424
216,354.1123412860842
217,353.6333500822805
218,353.1554355549387
219,352.68061165911047
220,352.20727745428695
221,351.7364931316201
222,351.26769535160275
223,350.80082493292025
224,350.3365201007116
225,349.8734399546124
226,349.4135850098976
227,348.95417351523963
228,348.4987258103929
229,348.04327810554616
230,347.591780625246
231,347.14069792137553
232,346.69258993856346
233,346.2458304015941
234,345.8009965651229
235,345.35851876191634
236,344.91684562034993
237,344.47860851486223
238,344.04037140937453
239,343.60594744013383
240,343.1719103896095
241,342.7403855553476
242,342.31050830655045
243,341.8817750871203
244,341.4560177726004
245,341.03026045808053
246,340.6082935768993
247,340.1866167112954
248,339.76719265713865
249,339.34955713351644
250,338.9325740717161
251,338.5189411579412
252,338.1053082441662
253,337.6946303073723
254,337.28496164251817
255,336.8764881670754
256,336.4707457578661
257,336.0650033486568
258,335.66252657525183
259,335.2606727925379
260,334.8601720853876
261,334.4621696606566
262,334.0641672359256
263,333.6693642804411
264,333.27517630236116
265,332.88212892961354
266,332.49171884061036
267,332.10130875160723
268,331.7136694035838
269,331.32700099645
270,330.9409044404928
271,330.5579418550299
272,330.1749792695671
273,329.79400999171634
274,329.4147177114096
275,329.0354254311029
276,328.6594287632595
277,328.2837716119834
278,327.90899508973337
279,327.53693822848976
280,327.16488136724615
281,326.7948100714669
282,326.4263189951538
283,326.0578279188407
284,325.6923142315258
285,325.3273547657373
286,324.96275570258274
287,324.60129400043985
288,324.23983229829696
289,323.87953628973617
290,323.52153882874757
291,323.1635413677589
292,322.8074075697722
293,322.45284114872527
