X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...21,3,30,15,sprinter,375.481359910061,187.740679955031,105,476.173807418623,1,974.567518981938,100.6524151403547,259.55150455814265,45
1...22,4,30,15,sprinter,375.481359910061,187.740679955031,150,429.278366110639,1,833.88105112359,86.12244929222034,222.0832084243355,60
1...23,5,30,15,sprinter,375.481359910061,187.740679955031,195,404.339981865256,1,763.304236971455,78.83334242280084,203.2868521500746,75
1...24,6,30,15,sprinter,375.481359910061,187.740679955031,240,388.862152756957,1,720.626737025824,74.42565043839383,191.92077529452746,90
1...25,7,30,15,sprinter,375.481359910061,187.740679955031,285,378.297084294579,1,691.927996155718,71.46167152077005,184.27758872543114,105
1...26,8,30,15,sprinter,375.481359910061,187.740679955031,330,365.574819810982,1,658.704954919643,68.03042712406395,175.42946874311485,120
1...27,9,30,15,sprinter,375.481359910061,187.740679955031,375,353.357710015062,1,627.268998770333,64.7837511913593,167.05729384824394,135
1...28,10,30,15,sprinter,375.481359910061,187.740679955031,420,343.423511595254,1,601.84101299402,62.15757277817547,160.2851904920604,150
1...29,11,30,15,sprinter,375.481359910061,187.740679955031,465,335.12769842841,1,580.695038257498,59.97363643074698,154.65349289152246,165
1...30,12,30,15,sprinter,375.481359910061,187.740679955031,510,328.0523435615,1,562.721338829199,58.11732968829064,149.86665089419822,180
1...31,13,30,15,sprinter,375.481359910061,187.740679955031,555,321.913910279108,1,547.172033555897,56.51141208994156,145.7254851977102,195
1...32,14,30,15,sprinter,375.481359910061,187.740679955031,600,316.512815015736,1,533.523528979018,55.1018073966186,142.09054987624762,210
1...33,15,30,15,sprinter,375.481359910061,187.740679955031,645,311.704197532447,1,521.397505372623,53.84944310347286,138.86108900253083,225
1...34,16,30,15,sprinter,375.481359910061,187.740679955031,690,307.380158228804,1,510.513247456926,52.72532720089297,135.96234113437995,240
1...35,17,30,15,sprinter,375.481359910061,187.740679955031,735,303.458525796799,1,500.657680819554,51.70745356432395,133.33755927044595,255
1...36,18,30,15,sprinter,375.481359910061,187.740679955031,780,299.87550938785,1,491.665869742554,50.778787788215084,130.9428169377896,270
1...37,19,30,15,sprinter,375.481359910061,187.740679955031,825,296.58074909252,1,483.407937390666,49.92591631538838,128.7435247135721,285
1...38,20,30,15,sprinter,375.481359910061,187.740679955031,870,293.533895654795,1,475.780061243474,49.138116453754975,126.71203208527784,300
1...39,2,45,15,sprinter,375.481359910061,187.740679955031,75,538.038974024387,1,1434.22267824094,148.12516690974792,381.969075265009,30
1...40,3,45,15,sprinter,375.481359910061,187.740679955031,135,441.379317080446,1,977.022530005315,100.90596636578158,260.2053348904833,45
1...41,4,45,15,sprinter,375.481359910061,187.740679955031,195,404.339981865256,1,847.851096624648,87.56526242924238,225.80377806976455,60
1...42,5,45,15,sprinter,375.481359910061,187.740679955031,255,384.924665952598,1,784.698434225537,81.04291495797212,208.98465756422522,75
1...43,6,45,15,sprinter,375.481359910061,187.740679955031,315,370.318964554109,1,739.78679970018,76.40448365913268,197.02357525214597,90
1...44,7,45,15,sprinter,375.481359910061,187.740679955031,375,353.357710015062,1,690.666502888041,71.3313856846408,183.94162177677111,105
1...45,8,45,15,sprinter,375.481359910061,187.740679955031,435,340.500366453011,1,653.893142690054,67.53346769059549,174.14796378884986,120
1...46,9,45,15,sprinter,375.481359910061,187.740679955031,495,330.294784527938,1,624.970519180757,64.54636638493429,166.44515171950377,135
1...47,10,45,15,sprinter,375.481359910061,187.740679955031,555,321.913910279108,1,601.386664587764,62.1106481028563,160.1641862413128,150
1...48,11,45,15,sprinter,375.481359910061,187.740679955031,615,314.850071643344,1,581.621178473917,60.069287319705964,154.90014700416359,165
1...49,12,45,15,sprinter,375.481359910061,187.740679955031,675,308.773171186871,1,564.696107217699,58.32128190686344,150.39258070040032,180
1...50,13,45,15,sprinter,375.481359910061,187.740679955031,735,303.458525796799,1,549.951533724605,56.79847624857034,146.46573503844104,195
1...51,14,45,15,sprinter,375.481359910061,187.740679955031,795,298.747399350092,1,536.924543256961,55.453060946869684,142.99632434099271,210
1...52,15,45,15,sprinter,375.481359910061,187.740679955031,855,294.524125021649,1,525.27984054083,54.25040702177847,139.89505115957027,225
1...53,16,45,15,sprinter,375.481359910061,187.740679955031,915,290.702193166192,1,514.767939590858,53.16474779579057,137.0954711877469,240
1...54,17,45,15,sprinter,375.481359910061,187.740679955031,975,287.215443962117,1,505.198895698673,52.17646595838785,134.5469974380841,255
1...55,18,45,15,sprinter,375.481359910061,187.740679955031,1035,284.012297271552,1,496.425207312115,51.27032768823655,132.21034658844948,270
1...56,19,45,15,sprinter,375.481359910061,187.740679955031,1095,281.051858860982,1,488.330342634495,50.434297691168794,130.05448333080096,285
1...57,20,45,15,sprinter,375.481359910061,187.740679955031,1155,278.301224195546,1,480.820834062093,49.65872272113588,128.05451492379382,300
1...58,2,60,15,sprinter,375.481359910061,187.740679955031,90,502.221152057916,1,1434.31743373702,148.1349531681061,381.99431100403547,30
1...59,3,60,15,sprinter,375.481359910061,187.740679955031,165,419.423240991797,1,985.173621594281,101.74780342527716,262.37617276933787,45
1...60,4,60,15,sprinter,375.481359910061,187.740679955031,240,388.862152756957,1,864.99244397813,89.33560463363888,230.36894406298134,60
1...61,5,60,15,sprinter,375.481359910061,187.740679955031,315,370.318964554109,1,799.316755102293,82.55268136500278,212.87787902274383,75
1...62,6,60,15,sprinter,375.481359910061,187.740679955031,390,349.830589866766,1,733.753307597343,75.7813502794001,195.41670664373297,90
1...63,7,60,15,sprinter,375.481359910061,187.740679955031,465,335.12769842841,1,687.703204769286,71.0253390469023,183.15242198281467,105
1...64,8,60,15,sprinter,375.481359910061,187.740679955031,540,323.869616322521,1,652.959992365415,67.43709280426432,173.89944271050325,120
1...65,9,60,15,sprinter,375.481359910061,187.740679955031,615,314.850071643344,1,625.427602720538,64.59357354226692,166.56688440415434,135
1...66,10,60,15,sprinter,375.481359910061,187.740679955031,690,307.380158228804,1,602.817677187196,62.258441735851136,160.5453003929646,150
1...67,11,60,15,sprinter,375.481359910061,187.740679955031,765,301.035566528866,1,583.743551009911,60.28848395556196,155.46538745618025,165
1...68,12,60,15,sprinter,375.481359910061,187.740679955031,840,295.53934078974,1,567.311530905781,58.591400401163085,151.08913290440543,180
1...69,13,60,15,sprinter,375.481359910061,187.740679955031,915,290.702193166192,1,552.917045847578,57.10475154657847,147.25552447663932,195
1...70,14,60,15,sprinter,375.481359910061,187.740679955031,990,286.389825474357,1,540.13479745926,55.784612976238975,143.85129466576942,210
1...71,15,60,15,sprinter,375.481359910061,187.740679955031,1065,282.503957853199,1,528.65579522808,54.59907244111347,140.79415163370797,225
1...72,16,60,15,sprinter,375.481359910061,187.740679955031,1140,278.970770161401,1,518.249396200261,53.52430935424351,138.02266944074063,240
1...73,17,60,15,sprinter,375.481359910061,187.740679955031,1215,275.733568659606,1,508.739434476729,52.54212946755311,135.48993073812966,255
1...74,18,60,15,sprinter,375.481359910061,187.740679955031,1290,272.747970226015,1,499.98866487469,51.63835822787326,133.1593837293154,270
1...75,19,60,15,sprinter,375.481359910061,187.740679955031,1365,269.978644470979,1,491.88830900186,50.80176110533792,131.0020580301728,285
1...76,20,60,15,sprinter,375.481359910061,187.740679955031,1440,267.397052007103,1,484.350840424313,50.02329845231706,128.99464318024457,300
1...77,2,75,15,sprinter,375.481359910061,187.740679955031,105,476.173807418623,1,1434.46378232464,148.15006791234848,382.03328726311133,30
1...78,3,75,15,sprinter,375.481359910061,187.740679955031,195,404.339981865256,1,996.554359987286,102.92319536377839,265.4071457038482,45
1...79,4,75,15,sprinter,375.481359910061,187.740679955031,285,378.297084294579,1,883.150444956229,91.21094586651292,235.2048701346373,60
1...80,5,75,15,sprinter,375.481359910061,187.740679955031,375,353.357710015062,1,793.395872152128,81.94117815245986,211.30100102496968,75
1...81,6,75,15,sprinter,375.481359910061,187.740679955031,465,335.12769842841,1,731.067047790231,75.50391589746755,194.70128902413248,90
