"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...75",19,60,15,"time trialist",382.014826073375,191.007413036687,1365,0,699.879103133798
"1...76",20,60,15,"time trialist",382.014826073375,191.007413036687,1440,0,699.60340736762
"1...77",2,75,15,"time trialist",382.014826073375,191.007413036687,105,0,1196.9593618765
"1...78",3,75,15,"time trialist",382.014826073375,191.007413036687,195,0,999.934331665427
"1...79",4,75,15,"time trialist",382.014826073375,191.007413036687,285,0,909.753663514093
"1...80",5,75,15,"time trialist",382.014826073375,191.007413036687,375,0,861.049438280101
"1...81",6,75,15,"time trialist",382.014826073375,191.007413036687,465,0,832.384664473604
"1...82",7,75,15,"time trialist",382.014826073375,191.007413036687,555,0,814.65462185705
"1...83",8,75,15,"time trialist",382.014826073375,191.007413036687,645,0,803.349075238136
"1...84",9,75,15,"time trialist",382.014826073375,191.007413036687,735,0,795.999592310868
"1...85",10,75,15,"time trialist",382.014826073375,191.007413036687,825,0,791.161730631281
"1...86",11,75,15,"time trialist",382.014826073375,191.007413036687,915,0,787.95089737316
"1...87",12,75,15,"time trialist",382.014826073375,191.007413036687,1005,0,785.808270296286
"1...88",13,75,15,"time trialist",382.014826073375,191.007413036687,1095,0,784.373270384712
"1...89",14,75,15,"time trialist",382.014826073375,191.007413036687,1185,0,783.409857754729
"1...90",15,75,15,"time trialist",382.014826073375,191.007413036687,1275,0,782.761998115792
"1...91",16,75,15,"time trialist",382.014826073375,191.007413036687,1365,0,782.325858459727
"1...92",17,75,15,"time trialist",382.014826073375,191.007413036687,1455,0,782.032032165729
"1...93",18,75,15,"time trialist",382.014826073375,191.007413036687,1545,0,781.833983653561
"1...94",19,75,15,"time trialist",382.014826073375,191.007413036687,1635,0,781.700447769402
"1...95",20,75,15,"time trialist",382.014826073375,191.007413036687,1725,0,781.610389733489
"1...96",2,90,15,"time trialist",382.014826073375,191.007413036687,120,0,1226.24215033149
"1...97",3,90,15,"time trialist",382.014826073375,191.007413036687,225,0,1041.90326380399
"1...98",4,90,15,"time trialist",382.014826073375,191.007413036687,330,0,960.112618400894
"1...99",5,90,15,"time trialist",382.014826073375,191.007413036687,435,0,917.689172972601
"1...100",6,90,15,"time trialist",382.014826073375,191.007413036687,540,0,893.901059231853
"1...101",7,90,15,"time trialist",382.014826073375,191.007413036687,645,0,879.976871162463
"1...102",8,90,15,"time trialist",382.014826073375,191.007413036687,750,0,871.620796740919
"1...103",9,90,15,"time trialist",382.014826073375,191.007413036687,855,0,866.531039780602
"1...104",10,90,15,"time trialist",382.014826073375,191.007413036687,960,0,863.402680749418
"1...105",11,90,15,"time trialist",382.014826073375,191.007413036687,1065,0,861.469180365875
"1...106",12,90,15,"time trialist",382.014826073375,191.007413036687,1170,0,860.270071218375
"1...107",13,90,15,"time trialist",382.014826073375,191.007413036687,1275,0,859.524833831215
"1...108",14,90,15,"time trialist",382.014826073375,191.007413036687,1380,0,859.061063452458
"1...109",15,90,15,"time trialist",382.014826073375,191.007413036687,1485,0,858.772216669531
"1...110",16,90,15,"time trialist",382.014826073375,191.007413036687,1590,0,858.592224400796
"1...111",17,90,15,"time trialist",382.014826073375,191.007413036687,1695,0,858.480028146225
"1...112",18,90,15,"time trialist",382.014826073375,191.007413036687,1800,0,858.410077939469
"1...113",19,90,15,"time trialist",382.014826073375,191.007413036687,1905,0,858.366461185057
"1...114",20,90,15,"time trialist",382.014826073375,191.007413036687,2010,0,858.339262295548
"1...115",2,105,15,"time trialist",382.014826073375,191.007413036687,135,0,1255.07044686045
"1...116",3,105,15,"time trialist",382.014826073375,191.007413036687,255,0,1083.49676258024
"1...117",4,105,15,"time trialist",382.014826073375,191.007413036687,375,0,1010.06844080709
"1...118",5,105,15,"time trialist",382.014826073375,191.007413036687,495,0,973.701292042018
"1...119",6,105,15,"time trialist",382.014826073375,191.007413036687,615,0,954.38983519243
"1...120",7,105,15,"time trialist",382.014826073375,191.007413036687,735,0,943.755104249744
"1...121",8,105,15,"time trialist",382.014826073375,191.007413036687,855,0,937.78102685154
"1...122",9,105,15,"time trialist",382.014826073375,191.007413036687,975,0,934.387560312895
"1...123",10,105,15,"time trialist",382.014826073375,191.007413036687,1095,0,932.447780716799
"1...124",11,105,15,"time trialist",382.014826073375,191.007413036687,1215,0,931.334965386888
"1...125",12,105,15,"time trialist",382.014826073375,191.007413036687,1335,0,930.695246523377
"1...126",13,105,15,"time trialist",382.014826073375,191.007413036687,1455,0,930.327058471514
"1...127",14,105,15,"time trialist",382.014826073375,191.007413036687,1575,0,930.115004575553
"1...128",15,105,15,"time trialist",382.014826073375,191.007413036687,1695,0,929.99282649668
"1...129",16,105,15,"time trialist",382.014826073375,191.007413036687,1815,0,929.922415816544
"1...130",17,105,15,"time trialist",382.014826073375,191.007413036687,1935,0,929.881833168377
"1...131",18,105,15,"time trialist",382.014826073375,191.007413036687,2055,0,929.858440764917
"1...132",19,105,15,"time trialist",382.014826073375,191.007413036687,2175,0,929.844956474091
"1...133",20,105,15,"time trialist",382.014826073375,191.007413036687,2295,0,929.837183410625
"1...134",2,120,15,"time trialist",382.014826073375,191.007413036687,150,0,1283.36777164936
"1...135",3,120,15,"time trialist",382.014826073375,191.007413036687,285,0,1124.48057619872
"1...136",4,120,15,"time trialist",382.014826073375,191.007413036687,420,0,1059.19647704784
"1...137",5,120,15,"time trialist",382.014826073375,191.007413036687,555,0,1028.48010215068
"1...138",6,120,15,"time trialist",382.014826073375,191.007413036687,690,0,1013.11168844287
