X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...35,17,60,15,moyenne,331.614571833768,165.807285916884,1215,0,544.179789434854,71.10657604721612,164.10008354748683,255
1...36,18,60,15,moyenne,331.614571833768,165.807285916884,1290,0,541.027673632721,70.69469716757824,163.14954757293586,270
1...37,19,60,15,moyenne,331.614571833768,165.807285916884,1365,0,538.393258469077,70.35046490131174,162.35512676414083,285
1...38,20,60,15,moyenne,331.614571833768,165.807285916884,1440,0,536.184896311995,70.06190388763383,161.68918432835758,300
1...39,2,90,15,moyenne,331.614571833768,165.807285916884,120,0,1341.09414209186,175.23732864126686,404.4135137596199,30
1...40,3,90,15,moyenne,331.614571833768,165.807285916884,225,0,1050.21955644433,137.22949327856705,316.69885633698414,45
1...41,4,90,15,moyenne,331.614571833768,165.807285916884,330,0,910.941434759407,119.03037867788049,274.69885588020674,60
1...42,5,90,15,moyenne,331.614571833768,165.807285916884,435,0,831.08198610902,108.59534954082855,250.61684759909326,75
1...43,6,90,15,moyenne,331.614571833768,165.807285916884,540,0,780.510231098214,101.98726814322356,235.36668692878453,90
1...44,7,90,15,moyenne,331.614571833768,165.807285916884,645,0,746.445442740883,97.53610970094029,225.09428298436225,105
1...45,8,90,15,moyenne,331.614571833768,165.807285916884,750,0,722.535248709663,94.41182603000442,217.88404674564666,120
1...46,9,90,15,moyenne,331.614571833768,165.807285916884,855,0,705.263634775911,92.15498857759931,212.6757068834255,135
1...47,10,90,15,moyenne,331.614571833768,165.807285916884,960,0,692.526956888708,90.49071957614329,208.8348992202485,150
1...48,11,90,15,moyenne,331.614571833768,165.807285916884,1065,0,682.990683153184,89.2446391689927,205.95918912017956,165
1...49,12,90,15,moyenne,331.614571833768,165.807285916884,1170,0,675.769092651396,88.30101247765502,203.78148309783745,180
1...50,13,90,15,moyenne,331.614571833768,165.807285916884,1275,0,670.253191973039,87.58026389663584,202.11813620452838,195
1...51,14,90,15,moyenne,331.614571833768,165.807285916884,1380,0,666.012412512489,87.02613213160976,200.8393083662042,210
