"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_velocity","max_velocity","interval_velocity","interval_power","rest_power","duration","PN","PC","DR","power_cogganMOD","err","abs_error","percent_error"
"1...24",12,77.5,120,45,"faible",287.076677829212,2.3489525614129,6.27179303842826,4.8606396047819,310.705940863956,146.891147535552,1860,221.746001220263,257.38957309151,1,370.787731521258,-60.0817906573019,60.0817906573019,-17.6323840093825
"1...25",15,75,120,45,"faible",287.076677829212,2.3489525614129,6.27179303842826,4.70384477882119,299.750389903537,146.891147535552,2355,215.287276192599,252.88055697679,1,363.602625833381,-63.8522359298438,63.8522359298438,-19.2513592054483
"1...26",18,72.5,60,45,"faible",287.076677829212,2.3489525614129,6.27179303842826,4.54704995286049,288.925348015621,148.178582433898,1830,228.968737095181,257.701656218349,1,330.940555375906,-42.0152073602856,42.0152073602856,-13.556224702925
"1...27",21,70,60,45,"faible",287.076677829212,2.3489525614129,6.27179303842826,4.39025512689978,278.227484704144,148.178582433898,2145,221.884790468918,254.661043355123,1,326.617244864202,-48.3897601600581,48.3897601600581,-16.0007214395642
"1...28",2,95,420,60,"faible",287.076677829212,2.3489525614129,6.06907050737353,5.76561698200485,371.486447051882,145.97155117959,540,240.584944454433,281.841316950351,1,448.918247899011,-77.4318008471287,77.4318008471287,-18.87648896299
"1...29",3,90,300,60,"faible",287.076677829212,2.3489525614129,6.06907050737353,5.46216345663617,349.365366098309,146.118686596544,780,232.881900138085,274.384862441619,1,423.835333519358,-74.469967421049,74.469967421049,-19.2627780750517
"1...30",5,85,240,60,"faible",287.076677829212,2.3489525614129,6.06907050737353,5.1587099312675,327.76480331996,146.247430086379,1260,224.196930267979,264.919485955738,1,398.669633582355,-70.9048302623949,70.9048302623949,-19.5213295682263
"1...31",7,82.5,180,60,"faible",287.076677829212,2.3489525614129,6.06907050737353,5.00698316858316,317.152171575153,146.462002569436,1500,226.545321303958,261.533706137475,1,374.013805449156,-56.8616338740029,56.8616338740029,-16.4538289684948
"1...32",9,80,120,60,"faible",287.076677829212,2.3489525614129,6.06907050737353,4.85525640589882,306.660615768543,146.891147535552,1500,232.805676918112,261.533706137475,1,349.236459261621,-42.5758434930785,42.5758434930785,-12.9824770116929
"1...33",12,77.5,120,60,"faible",287.076677829212,2.3489525614129,6.06907050737353,4.70352964321448,296.287118031591,146.891147535552,2040,225.508905858641,255.620098647349,1,341.387745892872,-45.1006278612809,45.1006278612809,-14.145336569711
"1...34",15,75,120,60,"faible",287.076677829212,2.3489525614129,6.06907050737353,4.55180288053014,286.028660495761,146.891147535552,2580,218.693547629891,251.146196286213,1,335.176649472554,-49.1479889767925,49.1479889767925,-15.8234284827022
"1...35",18,72.5,60,60,"faible",287.076677829212,2.3489525614129,6.06907050737353,4.40007611784581,275.882225292517,148.178582433898,2100,230.237982150151,255.066000612375,1,309.141959645018,-33.2597343525012,33.2597343525012,-11.3703792796369
"1...36",21,70,60,60,"faible",287.076677829212,2.3489525614129,6.06907050737353,4.24834935516147,265.844794553321,148.178582433898,2460,222.931056853319,252.050827615679,1,305.273131888404,-39.4283373350825,39.4283373350825,-13.8074241797086
"1...37",2,95,420,75,"faible",287.076677829212,2.3489525614129,5.91182680554444,5.61623546526721,357.586374759934,145.97155117959,570,246.361772545935,280.731616338513,1,414.728700950065,-57.1423261901307,57.1423261901307,-14.7976720867708
"1...38",3,90,300,75,"faible",287.076677829212,2.3489525614129,5.91182680554444,5.32064412498999,336.586175666792,146.118686596544,825,237.390114899375,273.26441763895,1,394.437259482401,-57.851083815609,57.851083815609,-15.8274224967363
"1...39",5,85,240,75,"faible",287.076677829212,2.3489525614129,5.91182680554444,5.02505278471277,316.052878581108,146.247430086379,1335,227.724448057472,263.793822139594,1,373.14308349047,-57.0902049093621,57.0902049093621,-16.5671907704627
"1...40",7,82.5,180,75,"faible",287.076677829212,2.3489525614129,5.91182680554444,4.87725711457416,305.954344982476,146.462002569436,1605,229.386757112727,260.226534858715,1,352.021687539318,-46.0673425568427,46.0673425568427,-14.0027418264105
"1...41",9,80,120,75,"faible",287.076677829212,2.3489525614129,5.91182680554444,4.72946144443555,295.964168915403,146.891147535552,1635,234.655871494355,259.86934471607,1,330.794497406922,-34.830328491519,34.830328491519,-11.1144305976319
"1...42",12,77.5,120,75,"faible",287.076677829212,2.3489525614129,5.91182680554444,4.58166577429694,286.079561056457,146.891147535552,2220,227.194497189892,254.005279060711,1,323.589601130873,-37.5100400744159,37.5100400744159,-12.3050475244114
