X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...51,14,90,15,pursuiter,416.548283671423,208.274141835712,1380,0,838.257751081958,95.07393821196999,201.2390361313271,210
1...52,15,90,15,pursuiter,416.548283671423,208.274141835712,1485,0,836.030771590879,94.8213575346534,200.70440915568568,225
1...53,16,90,15,pursuiter,416.548283671423,208.274141835712,1590,0,834.386133794337,94.63482517984046,200.3095839070863,240
1...54,17,90,15,pursuiter,416.548283671423,208.274141835712,1695,0,833.169259641791,94.4968091366347,200.017451109942,255
1...55,18,90,15,pursuiter,416.548283671423,208.274141835712,1800,0,832.267629053834,94.39454754621241,199.80099827042716,270
1...56,19,90,15,pursuiter,416.548283671423,208.274141835712,1905,0,831.598882281351,94.31869928922411,199.6404534311618,285
1...57,20,90,15,pursuiter,416.548283671423,208.274141835712,2010,0,831.10248596116,94.2623987623115,199.52128445612348,300
1...58,2,120,15,pursuiter,416.548283671423,208.274141835712,150,0,1554.91196498264,176.35578542876914,373.284929006974,30
1...59,3,120,15,pursuiter,416.548283671423,208.274141835712,285,0,1279.93061033786,145.16781217448363,307.270647968263,45
1...60,4,120,15,pursuiter,416.548283671423,208.274141835712,420,0,1154.11243141369,130.89770282740102,277.06570322206977,60
1...61,5,120,15,pursuiter,416.548283671423,208.274141835712,555,0,1086.19243210978,123.19431826717206,260.76027070287444,75
1...62,6,120,15,pursuiter,416.548283671423,208.274141835712,690,0,1046.24035606206,118.66301365985031,251.16904740083953,90
1...63,7,120,15,pursuiter,416.548283671423,208.274141835712,825,0,1021.54446184303,115.86204233803565,245.2403483311033,105
1...64,8,120,15,pursuiter,416.548283671423,208.274141835712,960,0,1005.8082373353,114.07726333109352,241.46258111309146,120
1...65,9,120,15,pursuiter,416.548283671423,208.274141835712,1095,0,995.5862624929,112.91790225949438,239.00860993061426,135
1...66,10,120,15,pursuiter,416.548283671423,208.274141835712,1230,0,988.862997188008,112.15535958171425,237.39456767706474,150
1...67,11,120,15,pursuiter,416.548283671423,208.274141835712,1365,0,984.40461631673,111.64969670304214,236.32425217078486,165
1...68,12,120,15,pursuiter,416.548283671423,208.274141835712,1500,0,981.432088562224,111.31255705870184,235.61064275957654,180
1...69,13,120,15,pursuiter,416.548283671423,208.274141835712,1635,0,979.44305877095,111.08696427983011,235.1331399419577,195
1...70,14,120,15,pursuiter,416.548283671423,208.274141835712,1770,0,978.108909833664,110.93564710624553,234.8128531973991,210
1...71,15,120,15,pursuiter,416.548283671423,208.274141835712,1905,0,977.212576016588,110.8339862676407,234.59767194417776,225
1...72,16,120,15,pursuiter,416.548283671423,208.274141835712,2040,0,976.609729089967,110.76561227243593,234.45294756281493,240
1...73,17,120,15,pursuiter,416.548283671423,208.274141835712,2175,0,976.203976235533,110.71959239160334,234.3555392021664,255
1...74,18,120,15,pursuiter,416.548283671423,208.274141835712,2310,0,975.930745451473,110.68860296544199,234.28994517747088,270
1...75,19,120,15,pursuiter,416.548283671423,208.274141835712,2445,0,975.746693071006,110.66772802020506,234.24576005231694,285
1...76,20,120,15,pursuiter,416.548283671423,208.274141835712,2580,0,975.622684961467,110.6536632062157,234.21598964768435,300
1...77,2,150,15,pursuiter,416.548283671423,208.274141835712,180,0,1606.0582576006,182.15672130780501,385.5635278208163,30
1...78,3,150,15,pursuiter,416.548283671423,208.274141835712,345,0,1353.31015809078,153.49041054005644,324.88674450001656,45
1...79,4,150,15,pursuiter,416.548283671423,208.274141835712,510,0,1242.18270450098,140.88650125008766,298.2085758588372,60
1...80,5,150,15,pursuiter,416.548283671423,208.274141835712,675,0,1185.21418931236,134.4252176102052,284.5322465059699,75
1...81,6,150,15,pursuiter,416.548283671423,208.274141835712,840,0,1153.7111769814,130.85219315086823,276.9693747895641,90
1...82,7,150,15,pursuiter,416.548283671423,208.274141835712,1005,0,1135.5578686426,128.79327211719064,272.611342587679,105
1...83,8,150,15,pursuiter,416.548283671423,208.274141835712,1170,0,1124.84819354076,127.57859681286045,270.0402900778845,120
1...84,9,150,15,pursuiter,416.548283671423,208.274141835712,1335,0,1118.4420719631,126.8520241014639,268.5023839506051,135
1...85,10,150,15,pursuiter,416.548283671423,208.274141835712,1500,0,1114.57847257579,126.41382044757488,267.5748565693238,150
1...86,11,150,15,pursuiter,416.548283671423,208.274141835712,1665,0,1112.23670699391,126.14822090381735,267.01267310256213,165
1...87,12,150,15,pursuiter,416.548283671423,208.274141835712,1830,0,1110.81306992847,125.9867541208127,266.67090310344173,180
1...88,13,150,15,pursuiter,416.548283671423,208.274141835712,1995,0,1109.94601270753,125.8884137898781,266.46275023019064,195
1...89,14,150,15,pursuiter,416.548283671423,208.274141835712,2160,0,1109.41734985992,125.8284536417688,266.335835087737,210
1...90,15,150,15,pursuiter,416.548283671423,208.274141835712,2325,0,1109.09479470664,125.79186991955054,266.2583998501129,225
1...91,16,150,15,pursuiter,416.548283671423,208.274141835712,2490,0,1108.89791151851,125.76953972333213,266.21113445595626,240
1...92,17,150,15,pursuiter,416.548283671423,208.274141835712,2655,0,1108.77770644188,125.75590624363745,266.182277038619,255
1...93,18,150,15,pursuiter,416.548283671423,208.274141835712,2820,0,1108.70430512461,125.74758117620588,266.1646557159184,270
1...94,19,150,15,pursuiter,416.548283671423,208.274141835712,2985,0,1108.65947956411,125.74249712829364,266.1538945239372,285
1...95,20,150,15,pursuiter,416.548283671423,208.274141835712,3150,0,1108.63210340364,125.73939216518934,266.14732237815167,300
1...96,2,180,15,pursuiter,416.548283671423,208.274141835712,210,0,1656.16264798078,187.8394861960571,397.5919990315399,30
