X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...125,12,210,15,moyenne,331.614571833768,165.807285916884,2490,245.475756318448,1,631.522643582357,82.51944256890422,190.43874944642874,180
1...126,13,210,15,moyenne,331.614571833768,165.807285916884,2715,243.21442951649,1,621.642751556334,81.22846244188356,187.45941956614365,195
1...127,14,210,15,moyenne,331.614571833768,165.807285916884,2940,241.158932660462,1,612.735731471154,80.06460499378046,184.77346398948555,210
1...128,15,210,15,moyenne,331.614571833768,165.807285916884,3165,239.274765534402,1,604.628250171256,79.00522122614497,182.3286132535649,225
1...129,16,210,15,moyenne,331.614571833768,165.807285916884,3390,237.535410308645,1,597.189073461848,78.03316310365285,180.08529304351782,240
1...130,17,210,15,moyenne,331.614571833768,165.807285916884,3615,235.920054947958,1,590.316570601687,77.13515079825603,178.01285611104004,255
1...131,18,210,15,moyenne,331.614571833768,165.807285916884,3840,234.412071013691,1,583.930501851189,76.30069958917747,176.08710576925492,270
1...132,19,210,15,moyenne,331.614571833768,165.807285916884,4065,232.997965593484,1,577.966450414197,75.52139229903646,174.28861681745408,285
1...133,20,210,15,moyenne,331.614571833768,165.807285916884,4290,231.666641108847,1,572.371944344656,74.7903725533499,172.60156608304143,300
1...134,2,240,15,moyenne,331.614571833768,165.807285916884,270,335.796294093084,1,1355.70056553192,177.1459124940356,408.8181523613825,30
1...135,3,240,15,moyenne,331.614571833768,165.807285916884,525,298.21538279815,1,954.305293680871,124.69662279786533,287.77544014538836,45
1...136,4,240,15,moyenne,331.614571833768,165.807285916884,780,281.263010823851,1,842.873855623977,110.13616285782975,254.17274366534573,60
1...137,5,240,15,moyenne,331.614571833768,165.807285916884,1035,271.155939940061,1,784.792881516782,102.54687107884122,236.658141159787,75
1...138,6,240,15,moyenne,331.614571833768,165.807285916884,1290,264.07476666173,1,746.944771520494,97.60135571067696,225.2448580259986,90
1...139,7,240,15,moyenne,331.614571833768,165.807285916884,1545,258.658244445777,1,719.311947353577,93.99064551678165,216.91204441828756,105
1...140,8,240,15,moyenne,331.614571833768,165.807285916884,1800,254.283183026765,1,697.711219322854,91.16813383918524,210.39823897503612,120
1...141,9,240,15,moyenne,331.614571833768,165.807285916884,2055,250.617141822035,1,680.045976584499,88.85986192142092,205.07119841687563,135
1...142,10,240,15,moyenne,331.614571833768,165.807285916884,2310,247.4634156428,1,665.131999388031,86.91109080886555,200.5738154719717,150
1...143,11,240,15,moyenne,331.614571833768,165.807285916884,2565,244.696557874279,1,652.241220524393,85.22668582843242,196.68653790381353,165
1...144,12,240,15,moyenne,331.614571833768,165.807285916884,2820,242.231902345027,1,640.896730411423,83.74433042936012,193.26555128967377,180
1...145,13,240,15,moyenne,331.614571833768,165.807285916884,3075,240.009717900654,1,630.770391847134,82.42114776587077,190.21190424747888,195
1...146,14,240,15,moyenne,331.614571833768,165.807285916884,3330,237.986339805435,1,621.627395194791,81.22645586554414,187.45478878003007,210
1...147,15,240,15,moyenne,331.614571833768,165.807285916884,3585,236.12890476434,1,613.294248055694,80.13758492203812,184.94188740388844,225
1...148,16,240,15,moyenne,331.614571833768,165.807285916884,3840,234.412071013691,1,605.639307904091,79.13733354447017,182.63350266998708,240
1...149,17,240,15,moyenne,331.614571833768,165.807285916884,4095,232.815891374092,1,598.560421169549,78.21235358804421,180.4988296683162,255
1...150,18,240,15,moyenne,331.614571833768,165.807285916884,4350,231.324386348209,1,591.976784127312,77.35208663748865,178.51350163950534,270
1...151,19,240,15,moyenne,331.614571833768,165.807285916884,4605,229.924558607018,1,585.823414656424,76.54804164588262,176.6579229063812,285
1...152,20,240,15,moyenne,331.614571833768,165.807285916884,4860,228.605694963515,1,580.047295233552,75.79329094956073,174.91610577484465,300
