X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...1657,13,120,150,elevee,331.614571833768,165.807285916884,3390,0,294.239018076366,88.56878356999943,88.72921851693005,1950
1...1658,14,120,150,elevee,331.614571833768,165.807285916884,3660,0,294.011139417192,88.50018989477391,88.66050058999642,2100
1...1659,15,120,150,elevee,331.614571833768,165.807285916884,3930,0,293.846931872293,88.45076183931138,88.61098299974368,2250
1...1660,16,120,150,elevee,331.614571833768,165.807285916884,4200,0,293.728360899528,88.41507083241106,88.5752273415682,2400
1...1661,17,120,150,elevee,331.614571833768,165.807285916884,4470,0,293.642615598818,88.38926066953606,88.54937042574093,2550
1...1662,18,120,150,elevee,331.614571833768,165.807285916884,4740,0,293.580541586301,88.37057579281277,88.53065170292554,2700
1...1663,19,120,150,elevee,331.614571833768,165.807285916884,5010,0,293.53556901342,88.35703861443268,88.51709000307855,2850
1...1664,20,120,150,elevee,331.614571833768,165.807285916884,5280,0,293.502968021808,88.34722540138864,88.50725901421949,3000
1...1665,2,150,150,elevee,331.614571833768,165.807285916884,450,0,355.188304288651,106.91510682302491,107.10877460074344,300
1...1666,3,150,150,elevee,331.614571833768,165.807285916884,750,0,331.021408224451,99.64063791994667,99.82112860540569,450
1...1667,4,150,150,elevee,331.614571833768,165.807285916884,1050,0,319.859157428184,96.28069272507778,96.45509715071363,600
1...1668,5,150,150,elevee,331.614571833768,165.807285916884,1350,0,313.816586499869,94.46182057054455,94.6329302613334,750
1...1669,6,150,150,elevee,331.614571833768,165.807285916884,1650,0,310.263153618924,93.39220298610422,93.56137515406076,900
1...1670,7,150,150,elevee,331.614571833768,165.807285916884,1950,0,308.071070664487,92.73236486528565,92.90034179164994,1050
1...1671,8,150,150,elevee,331.614571833768,165.807285916884,2250,0,306.678656412673,92.31323474000534,92.48045244718772,1200
1...1672,9,150,150,elevee,331.614571833768,165.807285916884,2550,0,305.777696454451,92.04203709916668,92.20876355449526,1350
1...1673,10,150,150,elevee,331.614571833768,165.807285916884,2850,0,305.187742005994,91.8644551176771,92.03085989809239,1500
1...1674,11,150,150,elevee,331.614571833768,165.807285916884,3150,0,304.798415705719,91.74726414466271,91.91345664342776,1650
1...1675,12,150,150,elevee,331.614571833768,165.807285916884,3450,0,304.540167033961,91.66952880260743,91.83558049029917,1800
1...1676,13,150,150,elevee,331.614571833768,165.807285916884,3750,0,304.3682813221,91.61778954480229,91.78374751115399,1950
1...1677,14,150,150,elevee,331.614571833768,165.807285916884,4050,0,304.25361808968,91.58327480545181,91.74917025123868,2100
1...1678,15,150,150,elevee,331.614571833768,165.807285916884,4350,0,304.1770118929,91.56021560104348,91.72606927700934,2250
1...1679,16,150,150,elevee,331.614571833768,165.807285916884,4650,0,304.125779890674,91.54479427403295,91.71062001555418,2400
1...1680,17,150,150,elevee,331.614571833768,165.807285916884,4950,0,304.091494316028,91.53447398524105,91.70028103242194,2550
1...1681,18,150,150,elevee,331.614571833768,165.807285916884,5250,0,304.068539311632,91.5275643074237,91.69335883830088,2700
1...1682,2,180,150,elevee,331.614571833768,165.807285916884,480,0,358.824468651562,108.00962738181777,108.20527779202469,300
1...1683,3,180,150,elevee,331.614571833768,165.807285916884,810,0,336.317294555306,101.2347508058423,101.41812909352348,450
1...1684,4,180,150,elevee,331.614571833768,165.807285916884,1140,0,326.259321374435,98.20720382844512,98.38509796788499,600
1...1685,5,180,150,elevee,331.614571833768,165.807285916884,1470,0,321.040146245001,96.63618175436794,96.81123011866083,750
1...1686,6,180,150,elevee,331.614571833768,165.807285916884,1800,0,318.121646552542,95.75768518616833,95.93114222737181,900
1...1687,7,180,150,elevee,331.614571833768,165.807285916884,2130,0,316.421163547166,95.24582339349294,95.41835323985153,1050
1...1688,8,180,150,elevee,331.614571833768,165.807285916884,2460,0,315.406554461835,94.94041626878759,95.11239289567234,1200
