X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...4707,7,300,210,time trialist,382.014826073375,191.007413036687,3270,0,385.618536138222,97.43398293585703,100.94334298537274,1470
1...4708,8,300,210,time trialist,382.014826073375,191.007413036687,3780,0,385.617469197138,97.4337133525522,100.94306369226389,1680
1...4709,9,300,210,time trialist,382.014826073375,191.007413036687,4290,0,385.617248068701,97.43365748017487,100.9430058074851,1890
1...4710,10,300,210,time trialist,382.014826073375,191.007413036687,4800,0,385.617202238244,97.43364590022333,100.94299381044888,2100
1...4711,11,300,210,time trialist,382.014826073375,191.007413036687,5310,0,385.617192739528,97.43364350018896,100.94299132397052,2310
1...4712,2,15,225,time trialist,382.014826073375,191.007413036687,465,0,353.862059126779,90.1082138637372,92.63045174555906,450
1...4713,3,15,225,time trialist,382.014826073375,191.007413036687,705,0,338.506294523076,86.19798815497892,88.6107740902333,675
1...4714,4,15,225,time trialist,382.014826073375,191.007413036687,945,0,330.860277082745,84.25098943909688,86.6092765256172,900
1...4715,5,15,225,time trialist,382.014826073375,191.007413036687,1185,0,326.294118638309,83.08825279911272,85.41399348088036,1125
1...4716,6,15,225,time trialist,382.014826073375,191.007413036687,1425,0,323.266704862189,82.31734548945138,84.6215075432957,1350
1...4717,7,15,225,time trialist,382.014826073375,191.007413036687,1665,0,321.11808040489,81.770215026838585,84.05906223734145,1575
1...4718,8,15,225,time trialist,382.014826073375,191.007413036687,1905,0,319.518430439022,81.36287663744682,83.64032195380054,1800
1...4719,9,15,225,time trialist,382.014826073375,191.007413036687,2145,0,318.284582453514,81.04868686975075,83.31733763452938,2025
1...4720,10,15,225,time trialist,382.014826073375,191.007413036687,2385,0,317.306654098025,80.79966504012236,83.06134538272573,2250
1...4721,11,15,225,time trialist,382.014826073375,191.007413036687,2625,0,316.514726883897,80.59800695066444,82.85404263946103,2475
1...4722,12,15,225,time trialist,382.014826073375,191.007413036687,2865,0,315.862189002198,80.43184326772138,82.68322783407605,2700
1...4723,13,15,225,time trialist,382.014826073375,191.007413036687,3105,0,315.316768625329,80.29295622205778,82.54045317203604,2925
1...4724,14,15,225,time trialist,382.014826073375,191.007413036687,3345,0,314.855411273349,80.17547517014052,82.41968368339545,3150
1...4725,15,15,225,time trialist,382.014826073375,191.007413036687,3585,0,314.46120683425,80.07509408381546,82.3164928090645,3375
1...4726,16,15,225,time trialist,382.014826073375,191.007413036687,3825,0,314.121469272516,79.9885825630669,82.22755972622421,3600
1...4727,17,15,225,time trialist,382.014826073375,191.007413036687,4065,0,313.826494267943,79.9134694784313,82.15034413550882,3825
1...4728,18,15,225,time trialist,382.014826073375,191.007413036687,4305,0,313.568731080361,79.84783209280664,82.08286948007947,4050
1...4729,19,15,225,time trialist,382.014826073375,191.007413036687,4545,0,313.342215994331,79.79015179256275,82.0235746384739,4275
1...4730,20,15,225,time trialist,382.014826073375,191.007413036687,4785,0,313.142175769357,79.73921310923008,81.97121011979011,4500
1...4731,2,30,225,time trialist,382.014826073375,191.007413036687,480,0,355.747352129875,90.58828902505287,93.12396479123701,450
1...4732,3,30,225,time trialist,382.014826073375,191.007413036687,735,0,341.105868980138,86.85994951842571,89.29126455281097,675
1...4733,4,30,225,time trialist,382.014826073375,191.007413036687,990,0,333.882184821803,85.02049467935764,87.40032114818314,900
1...4734,5,30,225,time trialist,382.014826073375,191.007413036687,1245,0,329.620734594832,83.93534961077034,86.28480155676486,1125
1...4735,6,30,225,time trialist,382.014826073375,191.007413036687,1500,0,326.838107040537,83.22677520360084,85.5563932949974,1350
1...4736,7,30,225,time trialist,382.014826073375,191.007413036687,1755,0,324.898847571267,82.73295790251613,85.04875345043872,1575
1...4737,8,30,225,time trialist,382.014826073375,191.007413036687,2010,0,323.485231074721,82.37299148535799,84.6787111379253,1800
1...4738,9,30,225,time trialist,382.014826073375,191.007413036687,2265,0,322.420682835336,82.10191257777608,84.40004440388067,2025
1...4739,10,30,225,time trialist,382.014826073375,191.007413036687,2520,0,321.59919153809,81.89272622509925,84.18500267220499,2250
1...4740,11,30,225,time trialist,382.014826073375,191.007413036687,2775,0,320.953239180757,81.72823949458065,84.01591175917092,2475
1...4741,12,30,225,time trialist,382.014826073375,191.007413036687,3030,0,320.437771610903,81.59697969764495,83.880977841775,2700
1...4742,13,30,225,time trialist,382.014826073375,191.007413036687,3285,0,320.021569368271,81.49099704219385,83.7720286036237,2925
1...4743,14,30,225,time trialist,382.014826073375,191.007413036687,3540,0,319.682317324454,81.40460915479669,83.68322261478183,3150
1...4744,15,30,225,time trialist,382.014826073375,191.007413036687,3795,0,319.403646329808,81.3336477591468,83.61027492384784,3375
1...4745,16,30,225,time trialist,382.014826073375,191.007413036687,4050,0,319.173283734611,81.27498772069724,83.54997291997934,3600
1...4746,17,30,225,time trialist,382.014826073375,191.007413036687,4305,0,318.981855968753,81.22624213291662,83.49986288424444,3825
1...4747,18,30,225,time trialist,382.014826073375,191.007413036687,4560,0,318.822089475662,81.18555884134469,83.45804081813951,4050
1...4748,19,30,225,time trialist,382.014826073375,191.007413036687,4815,0,318.688263173875,81.15148101720108,83.42300911448483,4275
1...4749,20,30,225,time trialist,382.014826073375,191.007413036687,5070,0,318.575824389328,81.12284935753816,83.39357602004117,4500
1...4750,2,45,225,time trialist,382.014826073375,191.007413036687,495,0,357.621363462405,91.06549139693581,93.61452463463168,450
1...4751,3,45,225,time trialist,382.014826073375,191.007413036687,765,0,343.739068795947,87.53047331725959,89.98055712369754,675
1...4752,4,45,225,time trialist,382.014826073375,191.007413036687,1035,0,336.993390150695,85.81273885450771,88.21474119592611,900
1...4753,5,45,225,time trialist,382.014826073375,191.007413036687,1305,0,333.093285068486,84.81960750918644,87.19381090316834,1125
1...4754,6,45,225,time trialist,382.014826073375,191.007413036687,1575,0,330.609249551963,84.18706723595024,86.54356506269777,1350
1...4755,7,45,225,time trialist,382.014826073375,191.007413036687,1845,0,328.928376118112,83.75904592383479,86.10356291641244,1575
1...4756,8,45,225,time trialist,382.014826073375,191.007413036687,2115,0,327.743888937568,83.45742550019656,85.79349977234052,1800
1...4757,9,45,225,time trialist,382.014826073375,191.007413036687,2385,0,326.885140050616,83.23875179284384,85.56870512345768,2025
1...4758,10,45,225,time trialist,382.014826073375,191.007413036687,2655,0,326.249642763111,83.07692736432605,85.40235103347717,2250
1...4759,11,45,225,time trialist,382.014826073375,191.007413036687,2925,0,325.772181152639,82.9553454885683,85.27736593397732,2475
1...4760,12,45,225,time trialist,382.014826073375,191.007413036687,3195,0,325.409357576863,82.86295529437368,85.18238962651162,2700
1...4761,13,45,225,time trialist,382.014826073375,191.007413036687,3465,0,325.131261112923,82.79214019848776,85.10959233044895,2925
1...4762,14,45,225,time trialist,382.014826073375,191.007413036687,3735,0,324.91669486048,82.73750257553719,85.05342533435392,3150
1...4763,15,45,225,time trialist,382.014826073375,191.007413036687,4005,0,324.750301131687,82.69513171007436,85.00986845712397,3375
1...4764,16,45,225,time trialist,382.014826073375,191.007413036687,4275,0,324.620754828489,82.66214375419509,84.9759571284644,3600
1...4765,17,45,225,time trialist,382.014826073375,191.007413036687,4545,0,324.519586212614,82.63638195509728,84.94947422545384,3825
1...4766,18,45,225,time trialist,382.014826073375,191.007413036687,4815,0,324.440389524679,82.61621513610754,84.92874291281107,4050
1...4767,19,45,225,time trialist,382.014826073375,191.007413036687,5085,0,324.378276527728,82.60039854580455,84.91248359701711,4275
1...4768,20,45,225,time trialist,382.014826073375,191.007413036687,5355,0,324.329490390883,82.58797553650183,84.89971285265977,4500
1...4769,2,60,225,time trialist,382.014826073375,191.007413036687,510,0,359.478458667455,91.53838620887159,94.10065634426678,450
1...4770,3,60,225,time trialist,382.014826073375,191.007413036687,795,0,346.388701837149,88.205181708789965,90.67415141909095,675
1...4771,4,60,225,time trialist,382.014826073375,191.007413036687,1080,0,340.160744349354,86.61928090148291,89.04385933021827,900
1...4772,5,60,225,time trialist,382.014826073375,191.007413036687,1365,0,336.658159854511,85.72737507378282,88.12698797974082,1125
1...4773,6,60,225,time trialist,382.014826073375,191.007413036687,1650,0,334.501535201678,85.17820742376455,87.56244846304186,1350
1...4774,7,60,225,time trialist,382.014826073375,191.007413036687,1935,0,333.09884928021,84.82102439231103,87.19526744656515,1575
1...4775,8,60,225,time trialist,382.014826073375,191.007413036687,2220,0,332.153751174745,84.58036252983388,86.94786916750374,1800
1...4776,9,60,225,time trialist,382.014826073375,191.007413036687,2505,0,331.50172800167,84.41432991342809,86.77718909736694,2025
1...4777,10,60,225,time trialist,382.014826073375,191.007413036687,2790,0,331.044525950906,84.29790697656155,86.65750734169701,2250
1...4778,11,60,225,time trialist,382.014826073375,191.007413036687,3075,0,330.720267673871,84.21533713495077,86.5726262703606,2475
1...4779,12,60,225,time trialist,382.014826073375,191.007413036687,3360,0,330.488437399623,84.15630336347617,86.51194007222769,2700
1...4780,13,60,225,time trialist,382.014826073375,191.007413036687,3645,0,330.321733420013,84.11385349506219,86.46830198065844,2925
1...4781,14,60,225,time trialist,382.014826073375,191.007413036687,3930,0,330.201364133715,84.08320239497213,86.4367929192078,3150
1...4782,15,60,225,time trialist,382.014826073375,191.007413036687,4215,0,330.114191543289,84.06100457461086,86.41397375500885,3375
1...4783,16,60,225,time trialist,382.014826073375,191.007413036687,4500,0,330.050923943804,84.04489397377644,86.39741219897311,3600
1...4784,17,60,225,time trialist,382.014826073375,191.007413036687,4785,0,330.004934017753,84.03318299774695,86.38537341856144,3825
1...4785,18,60,225,time trialist,382.014826073375,191.007413036687,5070,0,329.971465365574,84.02466046646535,86.37661233132222,4050
1...4786,19,60,225,time trialist,382.014826073375,191.007413036687,5355,0,329.947088756267,84.0184531529994,86.37023126764532,4275
1...4787,2,75,225,time trialist,382.014826073375,191.007413036687,525,0,361.313207935691,92.00559080225614,94.58093855925169,450
1...4788,3,75,225,time trialist,382.014826073375,191.007413036687,825,0,349.0377032368,88.87972925772505,91.36758036971032,675
1...4789,4,75,225,time trialist,382.014826073375,191.007413036687,1125,0,343.350923607578,87.4316351718816,89.87895237909676,900
1...4790,5,75,225,time trialist,382.014826073375,191.007413036687,1425,0,340.26159440385,86.64496158140977,89.07025884343417,1125
1...4791,6,75,225,time trialist,382.014826073375,191.007413036687,1725,0,338.43741664141,86.18044893953729,88.59274393093976,1350
1...4792,7,75,225,time trialist,382.014826073375,191.007413036687,2025,0,337.306887451772,85.8925684975072,88.29680536717814,1575
1...4793,8,75,225,time trialist,382.014826073375,191.007413036687,2325,0,336.585118686638,85.7087757099748,88.10786799724598,1800
1...4794,9,75,225,time trialist,382.014826073375,191.007413036687,2625,0,336.115541587762,85.58920156360983,87.98494682591273,2025
1...4795,10,75,225,time trialist,382.014826073375,191.007413036687,2925,0,335.806278474156,85.51045012343074,87.90399103768198,2250
1...4796,11,75,225,time trialist,382.014826073375,191.007413036687,3225,0,335.600953980117,85.45816584218855,87.85024325617586,2475
1...4797,12,75,225,time trialist,382.014826073375,191.007413036687,3525,0,335.463907377927,85.42326799365992,87.81436857466187,2700
1...4798,13,75,225,time trialist,382.014826073375,191.007413036687,3825,0,335.372108048812,85.39989201037181,87.79033826933089,2925
1...4799,14,75,225,time trialist,382.014826073375,191.007413036687,4125,0,335.310470666924,85.38419653173568,87.77420345526582,3150
1...4800,15,75,225,time trialist,382.014826073375,191.007413036687,4425,0,335.269018954387,85.37364117638755,87.76335264275598,3375
1...4801,16,75,225,time trialist,382.014826073375,191.007413036687,4725,0,335.241112342343,85.36653497525234,87.75604753045685,3600
1...4802,17,75,225,time trialist,382.014826073375,191.007413036687,5025,0,335.222311138685,85.36174739535667,87.75112594040986,3825
1...4803,18,75,225,time trialist,382.014826073375,191.007413036687,5325,0,335.209638249153,85.3585203428633,87.74780855881443,4050
1...4804,2,90,225,time trialist,382.014826073375,191.007413036687,540,0,363.120447511946,92.46579026710424,95.05401956368053,450
1...4805,3,90,225,time trialist,382.014826073375,191.007413036687,855,0,351.66957238719,89.54991421298682,92.05652461238337,675
1...4806,4,90,225,time trialist,382.014826073375,191.007413036687,1170,0,346.531880143642,88.24164094800301,90.71163119650294,900
1...4807,5,90,225,time trialist,382.014826073375,191.007413036687,1485,0,343.853072871027,87.55950356595028,90.01039996415791,1125
1...4808,6,90,225,time trialist,382.014826073375,191.007413036687,1800,0,342.346782085279,87.175938363741,89.6160983080597,1350
1...4809,7,90,225,time trialist,382.014826073375,191.007413036687,2115,0,341.463680697198,86.95106348188185,89.38492890629638,1575
1...4810,8,90,225,time trialist,382.014826073375,191.007413036687,2430,0,340.933221455875,86.81598617271489,89.24607061988497,1800
1...4811,9,90,225,time trialist,382.014826073375,191.007413036687,2745,0,340.609930384181,86.73366262240172,89.16144273383745,2025
1...4812,10,90,225,time trialist,382.014826073375,191.007413036687,3060,0,340.411154256548,86.68304583159923,89.10940911784508,2250
1...4813,11,90,225,time trialist,382.014826073375,191.007413036687,3375,0,340.288273210174,86.65175513139309,89.07724255309756,2475
1...4814,12,90,225,time trialist,382.014826073375,191.007413036687,3690,0,340.212055321263,86.63234684034548,89.05729100051138,2700
1...4815,13,90,225,time trialist,382.014826073375,191.007413036687,4005,0,340.164682574904,86.62028373990809,89.04489023930378,2925
1...4816,14,90,225,time trialist,382.014826073375,191.007413036687,4320,0,340.135200424842,86.61277634030299,89.03717269850438,3150
1...4817,15,90,225,time trialist,382.014826073375,191.007413036687,4635,0,340.116837683724,86.60810041147391,89.03236588477236,3375
1...4818,16,90,225,time trialist,382.014826073375,191.007413036687,4950,0,340.105394880132,86.60518659077266,89.02937050270575,3600
1...4819,17,90,225,time trialist,382.014826073375,191.007413036687,5265,0,340.098262042775,86.60337026936311,89.02750334026331,3825
1...4820,2,105,225,time trialist,382.014826073375,191.007413036687,555,0,364.895334481017,92.9177513928256,95.5186316279071,450
1...4821,3,105,225,time trialist,382.014826073375,191.007413036687,885,0,354.268762102281,90.211777604891,92.73691436107647,675
1...4822,4,105,225,time trialist,382.014826073375,191.007413036687,1215,0,349.674063241188,89.04177337036946,91.53416029304182,900
1...4823,5,105,225,time trialist,382.014826073375,191.007413036687,1545,0,347.387906283376,88.45962132900922,90.93571311199634,1125
1...4824,6,105,225,time trialist,382.014826073375,191.007413036687,1875,0,346.171076787157,88.14976518689673,90.61718372172987,1350
1...4825,7,105,225,time trialist,382.014826073375,191.007413036687,2205,0,345.500128255834,87.97891337559713,90.4415495616059,1575
1...4826,8,105,225,time trialist,382.014826073375,191.007413036687,2535,0,345.122957819205,87.88286986516624,90.34281767716418,1800
1...4827,9,105,225,time trialist,382.014826073375,191.007413036687,2865,0,344.908628325975,87.82829253110297,90.28671265751531,2025
1...4828,10,105,225,time trialist,382.014826073375,191.007413036687,3195,0,344.78608534316,87.79708791614583,90.25463458764705,2250
1...4829,11,105,225,time trialist,382.014826073375,191.007413036687,3525,0,344.715775669357,87.77918410600194,90.23622962820458,2475
1...4830,12,105,225,time trialist,382.014826073375,191.007413036687,3855,0,344.675354092815,87.76889106675172,90.22564847433746,2700
1...4831,13,105,225,time trialist,382.014826073375,191.007413036687,4185,0,344.65208860043,87.76296669054521,90.21955826767608,2925
1...4832,14,105,225,time trialist,382.014826073375,191.007413036687,4515,0,344.63868876563,87.75955452710821,90.21605059365784,3150
