"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...26",8,60,15,"moyenne",331.614571833768,165.807285916884,540,296.868661807769,1,608.046039574464
"1...27",9,60,15,"moyenne",331.614571833768,165.807285916884,615,290.957508878845,1,589.57688811173
"1...28",10,60,15,"moyenne",331.614571833768,165.807285916884,690,286.102689450764,1,574.550842543579
"1...29",11,60,15,"moyenne",331.614571833768,165.807285916884,765,282.008648011446,1,561.976908817884
"1...30",12,60,15,"moyenne",331.614571833768,165.807285916884,840,278.483867386929,1,551.221027075591
"1...31",13,60,15,"moyenne",331.614571833768,165.807285916884,915,275.398334586777,1,541.857168160097
"1...32",14,60,15,"moyenne",331.614571833768,165.807285916884,990,272.660384516007,1,533.587533978432
"1...33",15,60,15,"moyenne",331.614571833768,165.807285916884,1065,270.203328434912,1,526.197055434888
"1...34",16,60,15,"moyenne",331.614571833768,165.807285916884,1140,267.977348490397,1,519.526096215245
"1...35",17,60,15,"moyenne",331.614571833768,165.807285916884,1215,265.944380090765,1,513.45336952917
"1...36",18,60,15,"moyenne",331.614571833768,165.807285916884,1290,264.07476666173,1,507.884855526497
"1...37",19,60,15,"moyenne",331.614571833768,165.807285916884,1365,262.345006548907,1,502.746386166142
"1...38",20,60,15,"moyenne",331.614571833768,165.807285916884,1440,260.736195428549,1,497.978549010446
"1...39",2,90,15,"moyenne",331.614571833768,165.807285916884,120,388.8977442528,1,1209.72332395255
"1...40",3,90,15,"moyenne",331.614571833768,165.807285916884,225,344.170420029281,1,880.603833594318
"1...41",4,90,15,"moyenne",331.614571833768,165.807285916884,330,324.837470612731,1,787.884711048718
"1...42",5,90,15,"moyenne",331.614571833768,165.807285916884,435,307.902946650221,1,721.303597296676
"1...43",6,90,15,"moyenne",331.614571833768,165.807285916884,540,296.868661807769,1,679.820792111062
"1...44",7,90,15,"moyenne",331.614571833768,165.807285916884,645,288.90840654126,1,650.739622671216
"1...45",8,90,15,"moyenne",331.614571833768,165.807285916884,750,282.776866287912,1,628.792248529158
"1...46",9,90,15,"moyenne",331.614571833768,165.807285916884,855,277.835000996378,1,611.375825682906
"1...47",10,90,15,"moyenne",331.614571833768,165.807285916884,960,273.718570133765,1,597.045886736356
