"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...91",16,150,15,"faible",350.281232790258,175.140616395129,2490,0,731.336895852484
"1...92",17,150,15,"faible",350.281232790258,175.140616395129,2655,0,727.788702843844
"1...93",18,150,15,"faible",350.281232790258,175.140616395129,2820,0,724.942666652676
"1...94",19,150,15,"faible",350.281232790258,175.140616395129,2985,0,722.65421524363
"1...95",20,150,15,"faible",350.281232790258,175.140616395129,3150,0,720.810467071408
"1...96",2,180,15,"faible",350.281232790258,175.140616395129,210,0,1718.46837292443
"1...97",3,180,15,"faible",350.281232790258,175.140616395129,405,0,1328.29818392964
"1...98",4,180,15,"faible",350.281232790258,175.140616395129,600,0,1141.86303271697
"1...99",5,180,15,"faible",350.281232790258,175.140616395129,795,0,1035.26364885112
"1...100",6,180,15,"faible",350.281232790258,175.140616395129,990,0,967.992636661946
"1...101",7,180,15,"faible",350.281232790258,175.140616395129,1185,0,922.864867836285
"1...102",8,180,15,"faible",350.281232790258,175.140616395129,1380,0,891.337685058609
"1...103",9,180,15,"faible",350.281232790258,175.140616395129,1575,0,868.682676619954
"1...104",10,180,15,"faible",350.281232790258,175.140616395129,1770,0,852.0714320474
"1...105",11,180,15,"faible",350.281232790258,175.140616395129,1965,0,839.710676260042
"1...106",12,180,15,"faible",350.281232790258,175.140616395129,2160,0,830.411491314947
"1...107",13,180,15,"faible",350.281232790258,175.140616395129,2355,0,823.357764294361
"1...108",14,180,15,"faible",350.281232790258,175.140616395129,2550,0,817.973819051455
"1...109",15,180,15,"faible",350.281232790258,175.140616395129,2745,0,813.84478736416
"1...110",16,180,15,"faible",350.281232790258,175.140616395129,2940,0,810.666603224388
"1...111",17,180,15,"faible",350.281232790258,175.140616395129,3135,0,808.213430965388
"1...112",18,180,15,"faible",350.281232790258,175.140616395129,3330,0,806.315777116172
"1...113",19,180,15,"faible",350.281232790258,175.140616395129,3525,0,804.845385977818
"1...114",20,180,15,"faible",350.281232790258,175.140616395129,3720,0,803.704579677353
"1...115",2,210,15,"faible",350.281232790258,175.140616395129,240,0,1746.58597263587
"1...116",3,210,15,"faible",350.281232790258,175.140616395129,465,0,1367.66047271037
"1...117",4,210,15,"faible",350.281232790258,175.140616395129,690,0,1188.48424241431
"1...118",5,210,15,"faible",350.281232790258,175.140616395129,915,0,1087.46261779888
"1...119",6,210,15,"faible",350.281232790258,175.140616395129,1140,0,1024.80636896083
"1...120",7,210,15,"faible",350.281232790258,175.140616395129,1365,0,983.621924809005
"1...121",8,210,15,"faible",350.281232790258,175.140616395129,1590,0,955.508574368258
"1...122",9,210,15,"faible",350.281232790258,175.140616395129,1815,0,935.819435413559
"1...123",10,210,15,"faible",350.281232790258,175.140616395129,2040,0,921.781314867532
"1...124",11,210,15,"faible",350.281232790258,175.140616395129,2265,0,911.644172666417
"1...125",12,210,15,"faible",350.281232790258,175.140616395129,2490,0,904.256557771771
"1...126",13,210,15,"faible",350.281232790258,175.140616395129,2715,0,898.836656256938
"1...127",14,210,15,"faible",350.281232790258,175.140616395129,2940,0,894.840862355615
"1...128",15,210,15,"faible",350.281232790258,175.140616395129,3165,0,891.884347528838
"1...129",16,210,15,"faible",350.281232790258,175.140616395129,3390,0,889.690963516781
"1...130",17,210,15,"faible",350.281232790258,175.140616395129,3615,0,888.06051227837
"1...131",18,210,15,"faible",350.281232790258,175.140616395129,3840,0,886.846735059787
"1...132",19,210,15,"faible",350.281232790258,175.140616395129,4065,0,885.942159117953
"1...133",20,210,15,"faible",350.281232790258,175.140616395129,4290,0,885.267468073549
"1...134",2,240,15,"faible",350.281232790258,175.140616395129,270,0,1774.57485873177
"1...135",3,240,15,"faible",350.281232790258,175.140616395129,525,0,1407.13175074006
"1...136",4,240,15,"faible",350.281232790258,175.140616395129,780,0,1235.46544190771
"1...137",5,240,15,"faible",350.281232790258,175.140616395129,1035,0,1140.2158875827
"1...138",6,240,15,"faible",350.281232790258,175.140616395129,1290,0,1082.28838781825
"1...139",7,240,15,"faible",350.281232790258,175.140616395129,1545,0,1045.07492887524
"1...140",8,240,15,"faible",350.281232790258,175.140616395129,1800,0,1020.32066355665
"1...141",9,240,15,"faible",350.281232790258,175.140616395129,2055,0,1003.47032347233
"1...142",10,240,15,"faible",350.281232790258,175.140616395129,2310,0,991.819541327629
"1...143",11,240,15,"faible",350.281232790258,175.140616395129,2565,0,983.676560555478
"1...144",12,240,15,"faible",350.281232790258,175.140616395129,2820,0,977.942282995206
"1...145",13,240,15,"faible",350.281232790258,175.140616395129,3075,0,973.882787642234
"1...146",14,240,15,"faible",350.281232790258,175.140616395129,3330,0,970.998151842376
"1...147",15,240,15,"faible",350.281232790258,175.140616395129,3585,0,968.942902869155
"1...148",16,240,15,"faible",350.281232790258,175.140616395129,3840,0,967.475801429161
"1...149",17,240,15,"faible",350.281232790258,175.140616395129,4095,0,966.427122269077
"1...150",18,240,15,"faible",350.281232790258,175.140616395129,4350,0,965.676805786432
"1...151",19,240,15,"faible",350.281232790258,175.140616395129,4605,0,965.139593003139
"1...152",20,240,15,"faible",350.281232790258,175.140616395129,4860,0,964.754768280762
"1...153",2,270,15,"faible",350.281232790258,175.140616395129,300,0,1802.41194187521
"1...154",3,270,15,"faible",350.281232790258,175.140616395129,585,0,1446.64213394839
"1...155",4,270,15,"faible",350.281232790258,175.140616395129,870,0,1282.67235137102
"1...156",5,270,15,"faible",350.281232790258,175.140616395129,1155,0,1193.30958289977
"1...157",6,270,15,"faible",350.281232790258,175.140616395129,1440,0,1140.13486799804
"1...158",7,270,15,"faible",350.281232790258,175.140616395129,1725,0,1106.82660127236
"1...159",8,270,15,"faible",350.281232790258,175.140616395129,2010,0,1085.28728724257
"1...160",9,270,15,"faible",350.281232790258,175.140616395129,2295,0,1071.07033453956
"1...161",10,270,15,"faible",350.281232790258,175.140616395129,2580,0,1061.55921412682
"1...162",11,270,15,"faible",350.281232790258,175.140616395129,2865,0,1055.13881414322
"1...163",12,270,15,"faible",350.281232790258,175.140616395129,3150,0,1050.77842915858
"1...164",13,270,15,"faible",350.281232790258,175.140616395129,3435,0,1047.80489048293
"1...165",14,270,15,"faible",350.281232790258,175.140616395129,3720,0,1045.77141234926
"1...166",15,270,15,"faible",350.281232790258,175.140616395129,4005,0,1044.37813551287
"1...167",16,270,15,"faible",350.281232790258,175.140616395129,4290,0,1043.42225146807
"1...168",17,270,15,"faible",350.281232790258,175.140616395129,4575,0,1042.76585851699
"1...169",18,270,15,"faible",350.281232790258,175.140616395129,4860,0,1042.31484351006
"1...170",19,270,15,"faible",350.281232790258,175.140616395129,5145,0,1042.00481440149
"1...171",2,300,15,"faible",350.281232790258,175.140616395129,330,0,1830.07464280218
"1...172",3,300,15,"faible",350.281232790258,175.140616395129,645,0,1486.12267103103
"1...173",4,300,15,"faible",350.281232790258,175.140616395129,960,0,1329.97298449766
"1...174",5,300,15,"faible",350.281232790258,175.140616395129,1275,0,1246.53639939711
"1...175",6,300,15,"faible",350.281232790258,175.140616395129,1590,0,1198.05786385574
"1...176",7,300,15,"faible",350.281232790258,175.140616395129,1905,0,1168.51135390725
"1...177",8,300,15,"faible",350.281232790258,175.140616395129,2220,0,1149.97606592707
"1...178",9,300,15,"faible",350.281232790258,175.140616395129,2535,0,1138.13707950801
"1...179",10,300,15,"faible",350.281232790258,175.140616395129,2850,0,1130.48799305581
"1...180",11,300,15,"faible",350.281232790258,175.140616395129,3165,0,1125.5092978985
"1...181",12,300,15,"faible",350.281232790258,175.140616395129,3480,0,1122.2531153121
"1...182",13,300,15,"faible",350.281232790258,175.140616395129,3795,0,1120.11679713072
"1...183",14,300,15,"faible",350.281232790258,175.140616395129,4110,0,1118.71231080004
"1...184",15,300,15,"faible",350.281232790258,175.140616395129,4425,0,1117.78770440497
"1...185",16,300,15,"faible",350.281232790258,175.140616395129,4740,0,1117.1784717976
"1...186",17,300,15,"faible",350.281232790258,175.140616395129,5055,0,1116.77680654756
"1...187",18,300,15,"faible",350.281232790258,175.140616395129,5370,0,1116.5118873674
"1...188",2,30,30,"faible",350.281232790258,175.140616395129,90,0,890.801863027033
"1...189",3,30,30,"faible",350.281232790258,175.140616395129,150,0,676.551593228894
"1...190",4,30,30,"faible",350.281232790258,175.140616395129,210,0,570.399299682329
"1...191",5,30,30,"faible",350.281232790258,175.140616395129,270,0,507.059501642866
"1...192",6,30,30,"faible",350.281232790258,175.140616395129,330,0,465.008654245943
"1...193",7,30,30,"faible",350.281232790258,175.140616395129,390,0,435.080039267075
"1...194",8,30,30,"faible",350.281232790258,175.140616395129,450,0,412.709077869831
"1...195",9,30,30,"faible",350.281232790258,175.140616395129,510,0,395.367271077768
"1...196",10,30,30,"faible",350.281232790258,175.140616395129,570,0,381.5408228543
"1...197",11,30,30,"faible",350.281232790258,175.140616395129,630,0,370.268037570173
"1...198",12,30,30,"faible",350.281232790258,175.140616395129,690,0,360.908650235575
"1...199",13,30,30,"faible",350.281232790258,175.140616395129,750,0,353.019887957424
"1...200",14,30,30,"faible",350.281232790258,175.140616395129,810,0,346.28577217534
"1...201",15,30,30,"faible",350.281232790258,175.140616395129,870,0,340.474761742993
"1...202",16,30,30,"faible",350.281232790258,175.140616395129,930,0,335.413312363445
"1...203",17,30,30,"faible",350.281232790258,175.140616395129,990,0,330.968785965315
"1...204",18,30,30,"faible",350.281232790258,175.140616395129,1050,0,327.038067319378
"1...205",19,30,30,"faible",350.281232790258,175.140616395129,1110,0,323.539781605824
"1...206",20,30,30,"faible",350.281232790258,175.140616395129,1170,0,320.408850536904
"1...207",2,60,30,"faible",350.281232790258,175.140616395129,120,0,904.510720843262
"1...208",3,60,30,"faible",350.281232790258,175.140616395129,210,0,694.98873374751
"1...209",4,60,30,"faible",350.281232790258,175.140616395129,300,0,591.427219777747
"1...210",5,60,30,"faible",350.281232790258,175.140616395129,390,0,529.838669131783
"1...211",6,60,30,"faible",350.281232790258,175.140616395129,480,0,489.122534846815
"1...212",7,60,30,"faible",350.281232790258,175.140616395129,570,0,460.290885072866
"1...213",8,60,30,"faible",350.281232790258,175.140616395129,660,0,438.867594406813
"1...214",9,60,30,"faible",350.281232790258,175.140616395129,750,0,422.372839175303
"1...215",10,60,30,"faible",350.281232790258,175.140616395129,840,0,409.321745927831
"1...216",11,60,30,"faible",350.281232790258,175.140616395129,930,0,398.770827278065
"1...217",12,60,30,"faible",350.281232790258,175.140616395129,1020,0,390.091807259845
"1...218",13,60,30,"faible",350.281232790258,175.140616395129,1110,0,382.850093229558
"1...219",14,60,30,"faible",350.281232790258,175.140616395129,1200,0,376.735451012192
"1...220",15,60,30,"faible",350.281232790258,175.140616395129,1290,0,371.520469598318
"1...221",16,60,30,"faible",350.281232790258,175.140616395129,1380,0,367.03463302939
"1...222",17,60,30,"faible",350.281232790258,175.140616395129,1470,0,363.147560806388
"1...223",18,60,30,"faible",350.281232790258,175.140616395129,1560,0,359.757844886981
"1...224",19,60,30,"faible",350.281232790258,175.140616395129,1650,0,356.785417849259
"1...225",20,60,30,"faible",350.281232790258,175.140616395129,1740,0,354.166214295133
"1...226",2,90,30,"faible",350.281232790258,175.140616395129,150,0,918.205583914715
"1...227",3,90,30,"faible",350.281232790258,175.140616395129,270,0,713.629514468583
"1...228",4,90,30,"faible",350.281232790258,175.140616395129,390,0,612.925783622937
"1...229",5,90,30,"faible",350.281232790258,175.140616395129,510,0,553.370503096906
"1...230",6,90,30,"faible",350.281232790258,175.140616395129,630,0,514.274223299844
"1...231",7,90,30,"faible",350.281232790258,175.140616395129,750,0,486.822104478931
"1...232",8,90,30,"faible",350.281232790258,175.140616395129,870,0,466.623105709454
"1...233",9,90,30,"faible",350.281232790258,175.140616395129,990,0,451.243780345302
"1...234",10,90,30,"faible",350.281232790258,175.140616395129,1110,0,439.226461156535
"1...235",11,90,30,"faible",350.281232790258,175.140616395129,1230,0,429.644518151062
"1...236",12,90,30,"faible",350.281232790258,175.140616395129,1350,0,421.880573655842
"1...237",13,90,30,"faible",350.281232790258,175.140616395129,1470,0,415.507329079672
"1...238",14,90,30,"faible",350.281232790258,175.140616395129,1590,0,410.2195812972
"1...239",15,90,30,"faible",350.281232790258,175.140616395129,1710,0,405.793489267945
"1...240",16,90,30,"faible",350.281232790258,175.140616395129,1830,0,402.061144790717
"1...241",17,90,30,"faible",350.281232790258,175.140616395129,1950,0,398.89413345562
"1...242",18,90,30,"faible",350.281232790258,175.140616395129,2070,0,396.192583023683
"1...243",19,90,30,"faible",350.281232790258,175.140616395129,2190,0,393.877673827009
"1...244",20,90,30,"faible",350.281232790258,175.140616395129,2310,0,391.886397288694
"1...245",2,120,30,"faible",350.281232790258,175.140616395129,180,0,931.874681971637
"1...246",3,120,30,"faible",350.281232790258,175.140616395129,330,0,732.440732634107
"1...247",4,120,30,"faible",350.281232790258,175.140616395129,480,0,634.834234590363
"1...248",5,120,30,"faible",350.281232790258,175.140616395129,630,0,577.560043707351
"1...249",6,120,30,"faible",350.281232790258,175.140616395129,780,0,540.326965243683
"1...250",7,120,30,"faible",350.281232790258,175.140616395129,930,0,514.486666729113
"1...251",8,120,30,"faible",350.281232790258,175.140616395129,1080,0,495.729107507545
"1...252",9,120,30,"faible",350.281232790258,175.140616395129,1230,0,481.664426806183
"1...253",10,120,30,"faible",350.281232790258,175.140616395129,1380,0,470.860195857848
"1...254",11,120,30,"faible",350.281232790258,175.140616395129,1530,0,462.40528534191
"1...255",12,120,30,"faible",350.281232790258,175.140616395129,1680,0,455.692358410813
"1...256",13,120,30,"faible",350.281232790258,175.140616395129,1830,0,450.300982335804
"1...257",14,120,30,"faible",350.281232790258,175.140616395129,1980,0,445.93093378355
"1...258",15,120,30,"faible",350.281232790258,175.140616395129,2130,0,442.362222230698
"1...259",16,120,30,"faible",350.281232790258,175.140616395129,2280,0,439.430117245468
"1...260",17,120,30,"faible",350.281232790258,175.140616395129,2430,0,437.008988755673
"1...261",18,120,30,"faible",350.281232790258,175.140616395129,2580,0,435.001526343509
"1...262",19,120,30,"faible",350.281232790258,175.140616395129,2730,0,433.33135243169
"1...263",20,120,30,"faible",350.281232790258,175.140616395129,2880,0,431.937839992253
"1...264",2,150,30,"faible",350.281232790258,175.140616395129,210,0,945.506333325306
"1...265",3,150,30,"faible",350.281232790258,175.140616395129,390,0,751.388514410291
"1...266",4,150,30,"faible",350.281232790258,175.140616395129,570,0,657.089072158524
"1...267",5,150,30,"faible",350.281232790258,175.140616395129,750,0,602.306041160886
"1...268",6,150,30,"faible",350.281232790258,175.140616395129,930,0,567.132780396254
"1...269",7,150,30,"faible",350.281232790258,175.140616395129,1110,0,543.080323797094
"1...270",8,150,30,"faible",350.281232790258,175.140616395129,1290,0,525.915411710737
"1...271",9,150,30,"faible",350.281232790258,175.140616395129,1470,0,513.289287549646
"1...272",10,150,30,"faible",350.281232790258,175.140616395129,1650,0,503.793526274756
"1...273",11,150,30,"faible",350.281232790258,175.140616395129,1830,0,496.532250368421
"1...274",12,150,30,"faible",350.281232790258,175.140616395129,2010,0,490.908721921069
"1...275",13,150,30,"faible",350.281232790258,175.140616395129,2190,0,486.51059106908
"1...276",14,150,30,"faible",350.281232790258,175.140616395129,2370,0,483.044355129696
"1...277",15,150,30,"faible",350.281232790258,175.140616395129,2550,0,480.296011981983
"1...278",16,150,30,"faible",350.281232790258,175.140616395129,2730,0,478.106425371599
"1...279",17,150,30,"faible",350.281232790258,175.140616395129,2910,0,476.355336079645
"1...280",18,150,30,"faible",350.281232790258,175.140616395129,3090,0,474.95065573641
"1...281",19,150,30,"faible",350.281232790258,175.140616395129,3270,0,473.821099871323
"1...282",20,150,30,"faible",350.281232790258,175.140616395129,3450,0,472.910996112671
"1...283",2,180,30,"faible",350.281232790258,175.140616395129,240,0,959.088984583938
"1...284",3,180,30,"faible",350.281232790258,175.140616395129,450,0,770.438573010818
"1...285",4,180,30,"faible",350.281232790258,175.140616395129,660,0,679.624906115705
"1...286",5,180,30,"faible",350.281232790258,175.140616395129,870,0,627.503078383524
"1...287",6,180,30,"faible",350.281232790258,175.140616395129,1080,0,594.536908524357
"1...288",7,180,30,"faible",350.281232790258,175.140616395129,1290,0,572.389869014749
"1...289",8,180,30,"faible",350.281232790258,175.140616395129,1500,0,556.902138212343
"1...290",9,180,30,"faible",350.281232790258,175.140616395129,1710,0,545.765054143115
"1...291",10,180,30,"faible",350.281232790258,175.140616395129,1920,0,537.594899288744
"1...292",11,180,30,"faible",350.281232790258,175.140616395129,2130,0,531.513043384248
"1...293",12,180,30,"faible",350.281232790258,175.140616395129,2340,0,526.936286369548
"1...294",13,180,30,"faible",350.281232790258,175.140616395129,2550,0,523.463935194555
"1...295",14,180,30,"faible",350.281232790258,175.140616395129,2760,0,520.813143365405
"1...296",15,180,30,"faible",350.281232790258,175.140616395129,2970,0,518.779959074333
"1...297",16,180,30,"faible",350.281232790258,175.140616395129,3180,0,517.214835206148
"1...298",17,180,30,"faible",350.281232790258,175.140616395129,3390,0,516.006661441514
"1...299",18,180,30,"faible",350.281232790258,175.140616395129,3600,0,515.072024716136
"1...300",19,180,30,"faible",350.281232790258,175.140616395129,3810,0,514.347792762995
"1...301",20,180,30,"faible",350.281232790258,175.140616395129,4020,0,513.785876741151
"1...302",2,210,30,"faible",350.281232790258,175.140616395129,270,0,972.611249437623
"1...303",3,210,30,"faible",350.281232790258,175.140616395129,510,0,789.556467815946
"1...304",4,210,30,"faible",350.281232790258,175.140616395129,750,0,702.375324651493
"1...305",5,210,30,"faible",350.281232790258,175.140616395129,990,0,653.043724063928
"1...306",6,210,30,"faible",350.281232790258,175.140616395129,1230,0,622.382249797662
"1...307",7,210,30,"faible",350.281232790258,175.140616395129,1470,0,602.201158479526
"1...308",8,210,30,"faible",350.281232790258,175.140616395129,1710,0,588.412779847671
"1...309",9,210,30,"faible",350.281232790258,175.140616395129,1950,0,578.750138304785
"1...310",10,210,30,"faible",350.281232790258,175.140616395129,2190,0,571.857783267483
"1...311",11,210,30,"faible",350.281232790258,175.140616395129,2430,0,566.879150539387
"1...312",12,210,30,"faible",350.281232790258,175.140616395129,2670,0,563.250064110397
"1...313",13,210,30,"faible",350.281232790258,175.140616395129,2910,0,560.587154283247
"1...314",14,210,30,"faible",350.281232790258,175.140616395129,3150,0,558.623698692849
"1...315",15,210,30,"faible",350.281232790258,175.140616395129,3390,0,557.170793906665
"1...316",16,210,30,"faible",350.281232790258,175.140616395129,3630,0,556.092838677623
"1...317",17,210,30,"faible",350.281232790258,175.140616395129,3870,0,555.291501362816
"1...318",18,210,30,"faible",350.281232790258,175.140616395129,4110,0,554.694929828712
"1...319",19,210,30,"faible",350.281232790258,175.140616395129,4350,0,554.250318535337
"1...320",20,210,30,"faible",350.281232790258,175.140616395129,4590,0,553.918691992889
"1...321",2,240,30,"faible",350.281232790258,175.140616395129,300,0,986.061946238657
"1...322",3,240,30,"faible",350.281232790258,175.140616395129,570,0,808.707860351298
"1...323",4,240,30,"faible",350.281232790258,175.140616395129,840,0,725.273751973341
"1...324",5,240,30,"faible",350.281232790258,175.140616395129,1110,0,678.820624444236
"1...325",6,240,30,"faible",350.281232790258,175.140616395129,1380,0,650.513541650828
"1...326",7,240,30,"faible",350.281232790258,175.140616395129,1650,0,632.306308805167
"1...327",8,240,30,"faible",350.281232790258,175.140616395129,1920,0,620.185219079427
"1...328",9,240,30,"faible",350.281232790258,175.140616395129,2190,0,611.929900623358
"1...329",10,240,30,"faible",350.281232790258,175.140616395129,2460,0,606.219845995331
"1...330",11,240,30,"faible",350.281232790258,175.140616395129,2730,0,602.22794518179
"1...331",12,240,30,"faible",350.281232790258,175.140616395129,3000,0,599.416348778924
"1...332",13,240,30,"faible",350.281232790258,175.140616395129,3270,0,597.425669370989
"1...333",14,240,30,"faible",350.281232790258,175.140616395129,3540,0,596.010985935026
"1...334",15,240,30,"faible",350.281232790258,175.140616395129,3810,0,595.002986085967
"1...335",16,240,30,"faible",350.281232790258,175.140616395129,4080,0,594.283411268232
"1...336",17,240,30,"faible",350.281232790258,175.140616395129,4350,0,593.769044878724
"1...337",18,240,30,"faible",350.281232790258,175.140616395129,4620,0,593.401013763548
"1...338",19,240,30,"faible",350.281232790258,175.140616395129,4890,0,593.137505874589
"1...339",20,240,30,"faible",350.281232790258,175.140616395129,5160,0,592.948743501913
