X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...26,8,30,15,all around,391.34815655162,195.67407827581,330,0,617.248329970966,70.48429350997469,157.72358183819605,120
1...27,9,30,15,all around,391.34815655162,195.67407827581,375,0,594.512378722721,67.88804920570067,151.91393360870552,135
1...28,10,30,15,all around,391.34815655162,195.67407827581,420,0,576.66037586709,65.84950856019354,147.3522658055569,150
1...29,11,30,15,all around,391.34815655162,195.67407827581,465,0,562.346648868703,64.21500768592887,143.69472283294834,165
1...30,12,30,15,all around,391.34815655162,195.67407827581,510,0,550.676046937237,62.88232828926817,140.712569541541,180
1...31,13,30,15,all around,391.34815655162,195.67407827581,555,0,541.029852959925,61.780818354712366,138.24770703591182,195
1...32,14,30,15,all around,391.34815655162,195.67407827581,600,0,532.966645224364,60.86007143152196,136.18734017316473,210
1...33,15,30,15,all around,391.34815655162,195.67407827581,645,0,526.162983432673,60.0831535017631,134.44882124116268,225
1...34,16,30,15,all around,391.34815655162,195.67407827581,690,0,520.376426151889,59.42237990062554,132.97019992050218,240
1...35,17,30,15,all around,391.34815655162,195.67407827581,735,0,515.421649616794,58.85658829517495,131.70412099508852,255
1...36,18,30,15,all around,391.34815655162,195.67407827581,780,0,511.15455458677,58.36932382814057,130.61376322577547,270
1...37,19,30,15,all around,391.34815655162,195.67407827581,825,0,507.461408161705,57.94759920944157,129.67006479172449,285
1...38,20,30,15,all around,391.34815655162,195.67407827581,870,0,504.251252485037,57.58102785729613,128.84978350946307,300
1...39,2,45,15,all around,391.34815655162,195.67407827581,75,0,1307.54123541174,149.3096307243003,334.11202110499056,30
1...40,3,45,15,all around,391.34815655162,195.67407827581,135,0,1014.92997197459,115.89601553088417,259.341958045155,45
1...41,4,45,15,all around,391.34815655162,195.67407827581,195,0,872.752096355209,99.66056112916468,223.01167943283525,60
1...42,5,45,15,all around,391.34815655162,195.67407827581,255,0,789.591041955778,90.16430511310679,201.76178902011222,75
1...43,6,45,15,all around,391.34815655162,195.67407827581,315,0,735.603883110535,83.99944963266066,187.96661509596422,90
1...44,7,45,15,all around,391.34815655162,195.67407827581,375,0,698.148452489612,79.72237112594067,178.39574322806965,105
1...45,8,45,15,all around,391.34815655162,195.67407827581,435,0,670.949505537386,76.61649223237913,171.44567932796326,120
