"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...76",7,82.5,180,135,"elevee",320,160,2025,270.432996793278,1,322.180609691589
"1...77",9,80,120,135,"elevee",320,160,2175,268.57790919006,1,306.657234228135
"1...78",12,77.5,120,135,"elevee",320,160,2940,260.752959146969,1,298.078629578598
"1...79",15,75,120,135,"elevee",320,160,3705,254.749131376976,1,291.32708381604
"1...80",18,72.5,60,135,"elevee",320,160,3450,256.601300177081,1,277.365811695234
"1...81",21,70,60,135,"elevee",320,160,4035,252.535297560818,1,272.9797159336
"1...82",2,95,420,150,"elevee",320,160,720,297.276663787769,1,369.617676259911
"1...83",3,90,300,150,"elevee",320,160,1050,287.483080538602,1,352.42918522617
"1...84",5,85,240,150,"elevee",320,160,1710,274.820359888373,1,332.855581451226
"1...85",7,82.5,180,150,"elevee",320,160,2130,269.117923258309,1,316.376389206369
"1...86",9,80,120,150,"elevee",320,160,2310,267.01011062575,1,301.601063598227
"1...87",12,77.5,120,150,"elevee",320,160,3120,259.209891568654,1,293.143490076811
"1...88",15,75,120,150,"elevee",320,160,3930,253.218248857277,1,286.486680350397
"1...89",18,72.5,60,150,"elevee",320,160,3720,254.645025795557,1,273.354912158449
"1...90",21,70,60,150,"elevee",320,160,4350,250.583790739663,1,269.006814766511
"1...91",2,95,420,165,"elevee",320,160,750,296.21633409491,1,362.759501190477
"1...92",3,90,300,165,"elevee",320,160,1095,286.393466416298,1,346.227184235118
"1...93",5,85,240,165,"elevee",320,160,1785,273.707173465581,1,327.233962153571
"1...94",7,82.5,180,165,"elevee",320,160,2235,267.868977488141,1,311.348278948227
"1...95",9,80,120,165,"elevee",320,160,2445,265.540243169489,1,297.21399695937
"1...96",12,77.5,120,165,"elevee",320,160,3300,257.754232199044,1,288.845347978476
"1...97",15,75,120,165,"elevee",320,160,4155,251.773117438932,1,282.265462670266
"1...98",18,72.5,60,165,"elevee",320,160,3990,252.824456435463,1,269.833260932417
"1...99",21,70,60,165,"elevee",320,160,4665,248.767644807468,1,265.516520340769
"1...100",2,95,420,180,"elevee",320,160,780,295.197957163228,1,356.814693707597
"1...101",3,90,300,180,"elevee",320,160,1140,285.347723519279,1,340.819096876
"1...102",5,85,240,180,"elevee",320,160,1860,272.639158162689,1,322.306277708251
"1...103",7,82.5,180,180,"elevee",320,160,2340,266.679163868451,1,306.930584575
"1...104",9,80,120,180,"elevee",320,160,2580,264.142586358712,1,293.338057251918
"1...105",12,77.5,120,180,"elevee",320,160,3480,256.376414004818,1,285.050539794394
"1...106",15,75,120,180,"elevee",320,160,4380,250.405311986231,1,278.535263346544
"1...107",18,72.5,60,180,"elevee",320,160,4260,251.123909323989,1,266.702012717927
"1...108",21,70,60,180,"elevee",320,160,4980,247.069131865568,1,262.409396618869
"1...109",2,95,420,195,"elevee",320,160,810,294.218448492949,1,351.592177651832
"1...110",3,90,300,195,"elevee",320,160,1185,284.342664173628,1,336.044117619931
"1...111",5,85,240,195,"elevee",320,160,1935,271.613061724352,1,317.935805406692
"1...112",7,82.5,180,195,"elevee",320,160,2445,265.540243169489,1,303.000660243759
"1...113",9,80,120,195,"elevee",320,160,2715,262.81910417651,1,289.884111043329
