"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...329",10,77.5,120,195,"elevee",320,160,3030,259.967198830732,1,286.885320101958
"1...330",13,75,120,195,"elevee",320,160,3975,252.920842727012,1,279.346351269658
"1...331",16,72.5,60,195,"elevee",320,160,4020,252.631683852366,1,267.144681280915
"1...332",19,70,60,195,"elevee",320,160,4785,248.106665638853,1,262.390530161007
"1...333",1,95,420,210,"elevee",320,160,210,362.087982601411,1,362.087982601411
"1...334",2,90,300,210,"elevee",320,160,720,297.276663787769,1,338.954511234821
"1...335",4,85,240,210,"elevee",320,160,1560,277.203925043939,1,320.010416314003
"1...336",6,82.5,180,210,"elevee",320,160,2160,268.756428505903,1,303.824416184064
"1...337",8,80,120,210,"elevee",320,160,2520,264.75469388496,1,290.076381350656
"1...338",10,77.5,120,210,"elevee",320,160,3180,258.716166854189,1,283.797251826042
"1...339",13,75,120,210,"elevee",320,160,4170,251.680373422512,1,276.309623594299
"1...340",16,72.5,60,210,"elevee",320,160,4260,251.123909323989,1,264.573952112733
"1...341",19,70,60,210,"elevee",320,160,5070,246.607543154851,1,259.845707831526
"1...342",1,95,420,225,"elevee",320,160,225,353.946698903748,1,353.946698903748
"1...343",2,90,300,225,"elevee",320,160,750,296.21633409491,1,335.238894236048
"1...344",4,85,240,225,"elevee",320,160,1620,276.224411717706,1,316.442541985678
"1...345",6,82.5,180,225,"elevee",320,160,2250,267.697204115663,1,300.601463622273
"1...346",8,80,120,225,"elevee",320,160,2640,263.548221244203,1,287.235288472237
"1...347",10,77.5,120,225,"elevee",320,160,3330,257.52051421915,1,280.989691204485
"1...348",13,75,120,225,"elevee",320,160,4365,250.494551362947,1,273.546543374352
"1...349",16,72.5,60,225,"elevee",320,160,4500,249.703058559573,1,262.228038936917
"1...350",19,70,60,225,"elevee",320,160,5355,245.186082544377,1,257.513423120109
"1...351",1,95,420,240,"elevee",320,160,240,346.331877715445,1,346.331877715445
"1...352",2,90,300,240,"elevee",320,160,780,295.197957163228,1,331.876244832036
"1...353",4,85,240,240,"elevee",320,160,1680,275.28084719247,1,313.199592416108
"1...354",6,82.5,180,240,"elevee",320,160,2340,266.679163868451,1,297.663472620238
"1...355",8,80,120,240,"elevee",320,160,2760,262.394063748705,1,284.636507382484
"1...356",10,77.5,120,240,"elevee",320,160,3480,256.376414004818,1,278.42006015405
"1...357",13,75,120,240,"elevee",320,160,4560,249.359589873869,1,271.015814454768
"1...358",16,72.5,60,240,"elevee",320,160,4740,248.354532827083,1,260.067129395158
"1...359",19,70,60,240,"elevee",320,160,5640,243.839690979724,1,255.367203276268
"1...360",1,95,420,255,"elevee",320,160,255,339.17785213299,1,339.17785213299
"1...361",2,90,300,255,"elevee",320,160,810,294.218448492949,1,328.811571383081
"1...362",4,85,240,255,"elevee",320,160,1740,274.370485325232,1,310.232532189857
"1...363",6,82.5,180,255,"elevee",320,160,2430,265.699279775734,1,294.968307138694
"1...364",8,80,120,255,"elevee",320,160,2880,261.288562430479,1,282.245305285044
"1...365",10,77.5,120,255,"elevee",320,160,3630,255.280249436851,1,276.054409965186
"1...366",13,75,120,255,"elevee",320,160,4755,248.271910431006,1,268.684459972918
"1...367",16,72.5,60,255,"elevee",320,160,4980,247.069131865568,1,258.062743094667
"1...368",19,70,60,255,"elevee",320,160,5925,242.562083506142,1,253.381968616564
"1...369",1,95,420,270,"elevee",320,160,270,332.433581083537,1,332.433581083537
"1...370",2,90,300,270,"elevee",320,160,840,293.274896793659,1,326.001079986402
"1...371",4,85,240,270,"elevee",320,160,1800,273.490736183885,1,307.50196048938
"1...372",6,82.5,180,270,"elevee",320,160,2520,264.75469388496,1,292.481985402038
"1...373",8,80,120,270,"elevee",320,160,3000,260.228260150226,1,280.033572171332
"1...374",10,77.5,120,270,"elevee",320,160,3780,254.228603469883,1,273.86523021253
"1...375",13,75,120,270,"elevee",320,160,4950,247.228132336182,1,266.525720183982
"1...376",16,72.5,60,270,"elevee",320,160,5220,245.848531135377,1,256.201947287583
"1...377",19,70,60,270,"elevee",320,160,6210,241.342045935995,1,251.531383794563
"1...378",1,95,420,285,"elevee",320,160,285,326.0528201955,1,326.0528201955
"1...379",2,90,300,285,"elevee",320,160,870,292.364555298251,1,323.409359986365
"1...380",4,85,240,285,"elevee",320,160,1860,272.639158162689,1,304.975768536791
"1...381",6,82.5,180,285,"elevee",320,160,2610,263.842709752648,1,290.176715771539
"1...382",8,80,120,285,"elevee",320,160,3120,259.209891568654,1,277.978226844018
"1...383",10,77.5,120,285,"elevee",320,160,3930,253.218248857277,1,271.829906411674
"1...384",13,75,120,285,"elevee",320,160,5145,246.225062876263,1,264.517570206761
"1...385",16,72.5,60,285,"elevee",320,160,5460,244.683282972166,1,254.463014371426
"1...386",19,70,60,285,"elevee",320,160,6495,240.175623741868,1,249.799782067048
"1...387",1,95,420,300,"elevee",320,160,300,320,1,320
"1...388",2,90,300,300,"elevee",320,160,900,291.48483348601,1,321.007392431935
"1...389",4,85,240,300,"elevee",320,160,1920,271.813450470577,1,302.627461950904
"1...390",6,82.5,180,300,"elevee",320,160,2700,262.960784319112,1,288.029485651246
"1...391",8,80,120,300,"elevee",320,160,3240,258.230373587525,1,276.060072609759
"1...392",10,77.5,120,300,"elevee",320,160,4080,252.246138686172,1,269.929611051824
"1...393",13,75,120,300,"elevee",320,160,5340,245.259687943377,1,262.641652620223
"1...394",16,72.5,60,300,"elevee",320,160,5700,243.567100351983,1,252.82987490594
"1...395",19,70,60,300,"elevee",320,160,6780,239.059079058851,1,248.173949492353
"1...396",1,95,420,315,"elevee",320,160,315,318.73716177444,1,318.73716177444
"1...397",2,90,300,315,"elevee",320,160,930,290.633289196298,1,318.771111302288
"1...398",4,85,240,315,"elevee",320,160,1980,271.011895485677,1,300.435449610853
"1...399",6,82.5,180,315,"elevee",320,160,2790,262.110703463502,1,286.025718861079
"1...400",8,80,120,315,"elevee",320,160,3360,257.286796239256,1,274.262960022204
"1...401",10,77.5,120,315,"elevee",320,160,4230,251.30939735683,1,268.148491037625
"1...402",13,75,120,315,"elevee",320,160,5535,244.329163095584,1,260.882494253962
"1...403",16,72.5,60,315,"elevee",320,160,5940,242.496511034037,1,251.291186509357
"1...404",19,70,60,315,"elevee",320,160,7065,237.989300164463,1,246.643046368356
"1...405",1,95,420,330,"elevee",320,160,330,317.530548328156,1,317.530548328156
"1...406",2,90,300,330,"elevee",320,160,960,289.807621115155,1,316.680344756765
"1...407",4,85,240,330,"elevee",320,160,2040,270.240180399247,1,298.389888823125
"1...408",6,82.5,180,330,"elevee",320,160,2880,261.288562430479,1,284.147224283185
"1...409",8,80,120,330,"elevee",320,160,3480,256.376414004818,1,272.573163751932
"1...410",10,77.5,120,330,"elevee",320,160,4380,250.405311986231,1,266.473062146513
"1...411",13,75,120,330,"elevee",320,160,5730,243.430805038112,1,259.226921754077
"1...412",16,72.5,60,330,"elevee",320,160,6180,241.468235134311,1,249.837174013441
"1...413",19,70,60,330,"elevee",320,160,7350,236.963137876161,1,245.197532977991
"1...414",1,95,420,345,"elevee",320,160,345,316.376285703828,1,316.376285703828
"1...415",2,90,300,345,"elevee",320,160,990,289.005883962898,1,314.718270910355
"1...416",4,85,240,345,"elevee",320,160,2100,269.488983634775,1,296.466430424654
"1...417",6,82.5,180,345,"elevee",320,160,2970,260.490609648598,1,282.378269620998
"1...418",8,80,120,345,"elevee",320,160,3600,255.496637540574,1,270.978911619785
"1...419",10,77.5,120,345,"elevee",320,160,4530,249.531324216721,1,264.891750798322
"1...420",13,75,120,345,"elevee",320,160,5925,242.562083506142,1,257.663618788568
"1...421",16,72.5,60,345,"elevee",320,160,6420,240.479175546089,1,248.459333062477
"1...422",19,70,60,345,"elevee",320,160,7635,235.975328478349,1,243.826721360297
"1...423",1,95,420,360,"elevee",320,160,360,315.270712438206,1,315.270712438206
"1...424",2,90,300,360,"elevee",320,160,1020,288.234220758198,1,312.879402304892
"1...425",4,85,240,360,"elevee",320,160,2160,268.756428505903,1,294.651423341676
"1...426",6,82.5,180,360,"elevee",320,160,3060,259.714763076706,1,280.706812965895
"1...427",8,80,120,360,"elevee",320,160,3720,254.645025795557,1,269.470023609833
"1...428",10,77.5,120,360,"elevee",320,160,4680,248.685022411391,1,263.394542433592
"1...429",13,75,120,360,"elevee",320,160,6120,241.720613530943,1,256.182785884075
"1...430",16,72.5,60,360,"elevee",320,160,6660,239.526408809799,1,247.150203122663
"1...431",19,70,60,360,"elevee",320,160,7920,235.023914433807,1,242.524236136633
"1...432",2,95,300,15,"elevee",320,160,330,317.530548328156,1,978.976074632041
"1...433",3,90,240,15,"elevee",320,160,525,305.477176100848,1,721.330558762138
"1...434",5,85,180,15,"elevee",320,160,795,294.704462594698,1,592.35219940265
"1...435",7,82.5,120,15,"elevee",320,160,825,293.742545243547,1,517.191997000066
"1...436",9,80,60,15,"elevee",320,160,615,301.369350035311,1,448.39891321604
"1...437",12,77.5,60,15,"elevee",320,160,840,293.274896793659,1,433.447965885494
"1...438",15,75,60,15,"elevee",320,160,1065,287.111935832191,1,422.363955563541
"1...439",18,72.5,30,15,"elevee",320,160,780,295.197957163228,1,382.381538390312
"1...440",21,70,30,15,"elevee",320,160,915,291.05186054432,1,376.427270514432
"1...441",2,95,300,30,"elevee",320,160,360,315.270712438206,1,584.121797563404
"1...442",3,90,240,30,"elevee",320,160,570,303.341788319281,1,525.629057776505
"1...443",5,85,180,30,"elevee",320,160,870,292.364555298251,1,468.563487381845
"1...444",7,82.5,120,30,"elevee",320,160,930,290.633289196298,1,425.567744022905
"1...445",9,80,60,30,"elevee",320,160,750,296.21633409491,1,382.680521446283
"1...446",12,77.5,60,30,"elevee",320,160,1020,288.234220758198,1,371.581263286192
"1...447",15,75,60,30,"elevee",320,160,1290,282.136604537714,1,363.086120944888
"1...448",18,72.5,30,30,"elevee",320,160,1050,287.483080538602,1,336.815618169778
"1...449",21,70,30,30,"elevee",320,160,1230,283.375278972852,1,331.78376923874
"1...450",2,95,300,45,"elevee",320,160,390,313.191987926211,1,485.804220800361
"1...451",3,90,240,45,"elevee",320,160,615,301.369350035311,1,456.124214086882
"1...452",5,85,180,45,"elevee",320,160,945,290.216677570635,1,418.030571957158
"1...453",7,82.5,120,45,"elevee",320,160,1035,287.854225245014,1,385.827458612794
"1...454",9,80,60,45,"elevee",320,160,885,291.917806427699,1,352.905294659735
"1...455",12,77.5,60,45,"elevee",320,160,1200,284.012024353201,1,343.317083765811
"1...456",15,75,60,45,"elevee",320,160,1515,277.961404417308,1,335.855772174388
"1...457",18,72.5,30,45,"elevee",320,160,1320,281.54233161081,1,315.494526608983
"1...458",21,70,30,45,"elevee",320,160,1545,277.456418168395,1,310.847911568087
"1...459",2,95,300,60,"elevee",320,160,420,311.268945042516,1,442.625615677941
"1...460",3,90,240,60,"elevee",320,160,660,299.536440638896,1,420.989864308218
"1...461",5,85,180,60,"elevee",320,160,1020,288.234220758198,1,390.090177271417
"1...462",7,82.5,120,60,"elevee",320,160,1140,285.347723519279,1,362.983520798496
"1...463",9,80,60,60,"elevee",320,160,1020,288.234220758198,1,335.405191717039
"1...464",12,77.5,60,60,"elevee",320,160,1380,280.388139080333,1,326.470247050134
"1...465",15,75,60,60,"elevee",320,160,1740,274.370485325232,1,319.476848222052
"1...466",18,72.5,30,60,"elevee",320,160,1590,276.710315389367,1,302.471851223191
"1...467",21,70,30,60,"elevee",320,160,1860,272.639158162689,1,298.002693364583
"1...468",2,95,300,75,"elevee",320,160,450,309.478929446644,1,416.654393635909
"1...469",3,90,240,75,"elevee",320,160,705,297.822216833594,1,398.616538736449
"1...470",5,85,180,75,"elevee",320,160,1095,286.393466416298,1,371.550539277151
"1...471",7,82.5,120,75,"elevee",320,160,1245,283.057133472675,1,347.532435242724
"1...472",9,80,60,75,"elevee",320,160,1155,285.004098697331,1,323.419105498028
"1...473",12,77.5,60,75,"elevee",320,160,1560,277.203925043939,1,314.840076867606
"1...474",15,75,60,75,"elevee",320,160,1965,271.212284231902,1,308.112030989625
"1...475",18,72.5,30,75,"elevee",320,160,1860,272.639158162689,1,293.311007558846
"1...476",21,70,30,75,"elevee",320,160,2175,268.57790919006,1,288.942392010293
"1...477",2,95,300,90,"elevee",320,160,480,307.80179043491,1,398.725075545741
"1...478",3,90,240,90,"elevee",320,160,750,296.21633409491,1,382.680521446283
"1...479",5,85,180,90,"elevee",320,160,1170,284.673303994055,1,358.016296237348
"1...480",7,82.5,120,90,"elevee",320,160,1350,280.954988447877,1,336.129306035065
"1...481",9,80,60,90,"elevee",320,160,1290,282.136604537714,1,314.488798715256
"1...482",12,77.5,60,90,"elevee",320,160,1740,274.370485325232,1,306.128145778386
"1...483",15,75,60,90,"elevee",320,160,2190,268.399389874216,1,299.569688972716
"1...484",18,72.5,30,90,"elevee",320,160,2130,269.117923258309,1,286.324481131895
"1...485",21,70,30,90,"elevee",320,160,2490,265.063133350755,1,282.019534257767
"1...486",2,95,300,105,"elevee",320,160,510,306.228259762716,1,385.345170483645
"1...487",3,90,240,105,"elevee",320,160,795,294.704462594698,1,370.540682550462
"1...488",5,85,180,105,"elevee",320,160,1245,283.057133472675,1,347.532435242724
"1...489",7,82.5,120,105,"elevee",320,160,1455,279.009899241317,1,327.228122164648
"1...490",9,80,60,105,"elevee",320,160,1425,279.555328328865,1,307.456521826641
"1...491",12,77.5,60,105,"elevee",320,160,1920,271.813450470577,1,299.239335717181
"1...492",15,75,60,105,"elevee",320,160,2415,265.858316381979,1,292.797403039212
"1...493",18,72.5,30,105,"elevee",320,160,2400,266.018034480786,1,280.717092268804
"1...494",21,70,30,105,"elevee",320,160,2805,261.970193877274,1,276.458496153991
"1...495",2,95,300,120,"elevee",320,160,540,304.744742548818,1,374.838234570578
"1...496",3,90,240,120,"elevee",320,160,840,293.274896793659,1,360.867228346404
"1...497",5,85,180,120,"elevee",320,160,1320,281.54233161081,1,339.088063965529
"1...498",7,82.5,120,120,"elevee",320,160,1560,277.203925043939,1,320.010416314003
"1...499",9,80,60,120,"elevee",320,160,1560,277.203925043939,1,301.69785972615
"1...500",12,77.5,60,120,"elevee",320,160,2100,269.488983634775,1,293.590750304688
"1...501",15,75,60,120,"elevee",320,160,2640,263.548221244203,1,287.235288472237
"1...502",18,72.5,30,120,"elevee",320,160,2670,263.253732735757,1,276.057204749792
"1...503",21,70,30,120,"elevee",320,160,3120,259.209891568654,1,271.831135382948
"1...504",2,95,300,135,"elevee",320,160,570,303.341788319281,1,366.287062908882
"1...505",3,90,240,135,"elevee",320,160,885,291.917806427699,1,352.905294659735
"1...506",5,85,180,135,"elevee",320,160,1395,280.10471439656,1,332.068207272402
"1...507",7,82.5,120,135,"elevee",320,160,1665,275.514618288853,1,313.98403708776
"1...508",9,80,60,135,"elevee",320,160,1695,275.047076096087,1,296.849871720427
"1...509",12,77.5,60,135,"elevee",320,160,2280,267.353657370707,1,288.824247727342
"1...510",15,75,60,135,"elevee",320,160,2865,261.424888719838,1,282.534620347083
"1...511",18,72.5,30,135,"elevee",320,160,2940,260.752959146969,1,272.074633388961
"1...512",21,70,30,135,"elevee",320,160,3435,256.713743263213,1,267.874910474363
"1...513",2,95,300,150,"elevee",320,160,600,302.006012859709,1,359.133298001585
"1...514",3,90,240,150,"elevee",320,160,930,290.633289196298,1,346.199786713175
"1...515",5,85,180,150,"elevee",320,160,1470,278.747116043838,1,326.111953782196
"1...516",7,82.5,120,150,"elevee",320,160,1770,273.923610747277,1,308.835947827854
"1...517",9,80,60,150,"elevee",320,160,1830,273.057861620493,1,292.682509861875
"1...518",12,77.5,60,150,"elevee",320,160,2460,265.381206563245,1,284.718445207422
"1...519",15,75,60,150,"elevee",320,160,3090,259.46232732268,1,278.480268189304
"1...520",18,72.5,30,150,"elevee",320,160,3210,258.473270220857,1,268.606272691042
"1...521",21,70,30,150,"elevee",320,160,3750,254.43681463272,1,264.426276836094
"1...522",2,95,300,165,"elevee",320,160,630,300.743007139339,1,353.037701914431
"1...523",3,90,240,165,"elevee",320,160,975,289.406752539026,1,340.435534716165
"1...524",5,85,180,165,"elevee",320,160,1545,277.456418168395,1,320.962083332271
"1...525",7,82.5,120,165,"elevee",320,160,1875,272.430899680231,1,304.373531363574
"1...526",9,80,60,165,"elevee",320,160,1965,271.212284231902,1,289.038699007821
"1...527",12,77.5,60,165,"elevee",320,160,2640,263.548221244203,1,281.121651168741
"1...528",15,75,60,165,"elevee",320,160,3315,257.637373209097,1,274.924448704158
"1...529",18,72.5,30,165,"elevee",320,160,3480,256.376414004818,1,265.535546443926
"1...530",21,70,30,165,"elevee",320,160,4065,252.342524977721,1,261.371783736961
"1...531",2,95,300,180,"elevee",320,160,660,299.536440638896,1,347.747020504184
"1...532",3,90,240,180,"elevee",320,160,1020,288.234220758198,1,335.405191717039
"1...533",5,85,180,180,"elevee",320,160,1620,276.224411717706,1,316.442541985678
"1...534",7,82.5,120,180,"elevee",320,160,1980,271.011895485677,1,300.435449610853
"1...535",9,80,60,180,"elevee",320,160,2100,269.488983634775,1,285.806189077643
"1...536",12,77.5,60,180,"elevee",320,160,2820,261.833867587915,1,277.925164546912
"1...537",15,75,60,180,"elevee",320,160,3540,255.929413748021,1,271.761040321831
"1...538",18,72.5,30,180,"elevee",320,160,3750,254.43681463272,1,262.784229789876
"1...539",21,70,30,180,"elevee",320,160,4380,250.405311986231,1,258.634095966278
"1...540",2,95,300,195,"elevee",320,160,690,298.382213065475,1,343.093357696329
"1...541",3,90,240,195,"elevee",320,160,1065,287.111935832191,1,330.960659391954
"1...542",5,85,180,195,"elevee",320,160,1695,275.047076096087,1,312.429900557239
"1...543",7,82.5,120,195,"elevee",320,160,2085,269.674513823008,1,296.936118962027
"1...544",9,80,60,195,"elevee",320,160,2235,267.868977488141,1,282.901792366394
"1...545",12,77.5,60,195,"elevee",320,160,3000,260.228260150226,1,275.05752661703
"1...546",15,75,60,195,"elevee",320,160,3765,254.332709051301,1,268.924621028862
"1...547",18,72.5,30,195,"elevee",320,160,4020,252.631683852366,1,260.292620041693
"1...548",21,70,30,195,"elevee",320,160,4695,248.602400015314,1,256.154115154798
"1...549",2,95,300,210,"elevee",320,160,720,297.276663787769,1,338.954511234821
"1...550",3,90,240,210,"elevee",320,160,1110,286.036346641352,1,326.992808957185
"1...551",5,85,180,210,"elevee",320,160,1770,273.923610747277,1,308.835947827854
"1...552",7,82.5,120,210,"elevee",320,160,2190,268.399389874216,1,293.78399584539
"1...553",9,80,60,210,"elevee",320,160,2370,266.348599174619,1,280.276100555761
"1...554",12,77.5,60,210,"elevee",320,160,3180,258.716166854189,1,272.458168694769
"1...555",15,75,60,210,"elevee",320,160,3990,252.824456435463,1,266.347538726015
"1...556",18,72.5,30,210,"elevee",320,160,4290,250.940748246528,1,258.013813297685
"1...557",21,70,30,210,"elevee",320,160,5010,246.913527377721,1,253.885362761035
"1...558",2,95,300,225,"elevee",320,160,750,296.21633409491,1,335.238894236048
"1...559",3,90,240,225,"elevee",320,160,1155,285.004098697331,1,323.419105498028
"1...560",5,85,180,225,"elevee",320,160,1845,272.847416645146,1,305.5872270357
"1...561",7,82.5,120,225,"elevee",320,160,2295,267.181883998229,1,290.921813284464
"1...562",9,80,60,225,"elevee",320,160,2505,264.907720766522,1,277.873797048961
"1...563",12,77.5,60,225,"elevee",320,160,3360,257.286796239256,1,270.082692121516
"1...564",15,75,60,225,"elevee",320,160,4215,251.40214137325,1,263.995055274567
"1...565",18,72.5,30,225,"elevee",320,160,4560,249.359589873869,1,255.924183974299
"1...566",21,70,30,225,"elevee",320,160,5325,245.333293342377,1,251.803496738511
"1...567",2,95,300,240,"elevee",320,160,780,295.197957163228,1,331.876244832036
"1...568",3,90,240,240,"elevee",320,160,1200,284.012024353201,1,320.175731560636
"1...569",5,85,180,240,"elevee",320,160,1920,271.813450470577,1,302.627461950904
"1...570",7,82.5,120,240,"elevee",320,160,2400,266.018034480786,1,288.305258387868
"1...571",9,80,60,240,"elevee",320,160,2640,263.548221244203,1,275.671275930462
"1...572",12,77.5,60,240,"elevee",320,160,3540,255.929413748021,1,267.894723793079
"1...573",15,75,60,240,"elevee",320,160,4440,250.048354479365,1,261.824219063058
"1...574",18,72.5,30,240,"elevee",320,160,4830,247.864134218635,1,253.984464326308
"1...575",21,70,30,240,"elevee",320,160,5640,243.839690979724,1,249.871607912831
"1...576",2,95,300,255,"elevee",320,160,810,294.218448492949,1,328.811571383081
"1...577",3,90,240,255,"elevee",320,160,1245,283.057133472675,1,317.212394485471
"1...578",5,85,180,255,"elevee",320,160,1995,270.818629581339,1,299.913719023124
"1...579",7,82.5,120,255,"elevee",320,160,2505,264.907720766522,1,285.903077692648
"1...580",9,80,60,255,"elevee",320,160,2775,262.252383606104,1,273.629949238656
"1...581",12,77.5,60,255,"elevee",320,160,3720,254.645025795557,1,265.876043798323
"1...582",15,75,60,255,"elevee",320,160,4665,248.767644807468,1,259.821023823116
"1...583",18,72.5,30,255,"elevee",320,160,5100,246.454551043416,1,252.183845519353
"1...584",21,70,30,255,"elevee",320,160,5955,242.430938561933,1,248.077037214421
"1...585",2,95,300,270,"elevee",320,160,840,293.274896793659,1,326.001079986402
"1...586",3,90,240,270,"elevee",320,160,1290,282.136604537714,1,314.488798715256
"1...587",5,85,180,270,"elevee",320,160,2070,269.860044011241,1,297.41142225972
"1...588",7,82.5,120,270,"elevee",320,160,2610,263.842709752648,1,283.681535482167
"1...589",9,80,60,270,"elevee",320,160,2910,261.015909851762,1,271.729801808489
"1...590",12,77.5,60,270,"elevee",320,160,3900,253.418592072011,1,263.995567798159
"1...591",15,75,60,270,"elevee",320,160,4890,247.546133277408,1,257.955917084272
"1...592",18,72.5,30,270,"elevee",320,160,5370,245.112477145377,1,250.494818908822
"1...593",21,70,30,270,"elevee",320,160,6270,241.089667539363,1,246.393429411153
"1...594",2,95,300,285,"elevee",320,160,870,292.364555298251,1,323.409359986365
"1...595",3,90,240,285,"elevee",320,160,1335,281.247776174713,1,311.972186302415
"1...596",5,85,180,285,"elevee",320,160,2145,268.934947821747,1,295.092329231108
"1...597",7,82.5,120,285,"elevee",320,160,2715,262.81910417651,1,281.616641304772
"1...598",9,80,60,285,"elevee",320,160,3045,259.840980953719,1,269.960795134601
"1...599",12,77.5,60,285,"elevee",320,160,4080,252.246138686172,1,262.237076151559
"1...600",15,75,60,285,"elevee",320,160,5115,246.378054987698,1,256.211028039118
"1...601",18,72.5,30,285,"elevee",320,160,5640,243.839690979724,1,248.912445915265
"1...602",21,70,30,285,"elevee",320,160,6585,239.818489904141,1,244.816803149229
"1...603",2,95,300,300,"elevee",320,160,900,291.48483348601,1,321.007392431935
"1...604",3,90,240,300,"elevee",320,160,1380,280.388139080333,1,309.635582924009
"1...605",5,85,180,300,"elevee",320,160,2220,268.042351242529,1,292.934876255453
"1...606",7,82.5,120,300,"elevee",320,160,2820,261.833867587915,1,279.689091677162
"1...607",9,80,60,300,"elevee",320,160,3180,258.716166854189,1,268.300963647235
"1...608",12,77.5,60,300,"elevee",320,160,4260,251.123909323989,1,260.586915832944
"1...609",15,75,60,300,"elevee",320,160,5340,245.259687943377,1,254.572937408296
"1...610",18,72.5,30,300,"elevee",320,160,5910,242.627655978246,1,247.422511427208
"1...611",21,70,30,300,"elevee",320,160,6900,238.607176411883,1,243.331280141178
"1...612",2,95,300,315,"elevee",320,160,930,290.633289196298,1,318.771111302288
"1...613",3,90,240,315,"elevee",320,160,1425,279.555328328865,1,307.456521826641
"1...614",5,85,180,315,"elevee",320,160,2295,267.181883998229,1,290.921813284464
"1...615",7,82.5,120,315,"elevee",320,160,2925,260.884133896155,1,277.882663001482
"1...616",9,80,60,315,"elevee",320,160,3315,257.637373209097,1,266.737943596249
"1...617",12,77.5,60,315,"elevee",320,160,4440,250.048354479365,1,259.033452935419
"1...618",15,75,60,315,"elevee",320,160,5565,244.187515144951,1,253.030202401043
"1...619",18,72.5,30,315,"elevee",320,160,6180,241.468235134311,1,246.012264764127
"1...620",21,70,30,315,"elevee",320,160,7215,237.44845282215,1,241.925059754843
"1...621",2,95,300,330,"elevee",320,160,960,289.807621115155,1,316.680344756765
"1...622",3,90,240,330,"elevee",320,160,1470,278.747116043838,1,305.416098855804
"1...623",5,85,180,330,"elevee",320,160,2370,266.348599174619,1,289.033638808861
"1...624",7,82.5,120,330,"elevee",320,160,3030,259.967198830732,1,276.183579351802
"1...625",9,80,60,330,"elevee",320,160,3450,256.601300177081,1,265.261646351226
"1...626",12,77.5,60,330,"elevee",320,160,4620,249.016121188165,1,257.566666559952
"1...627",15,75,60,330,"elevee",320,160,5790,243.158214410371,1,251.572960527737
"1...628",18,72.5,30,330,"elevee",320,160,6450,240.3577548244,1,244.674343966058
"1...629",21,70,30,330,"elevee",320,160,7530,236.338646314253,1,240.590831878124
"1...630",2,95,300,345,"elevee",320,160,990,289.005883962898,1,314.718270910355
"1...631",3,90,240,345,"elevee",320,160,1515,277.961404417308,1,303.498261448073
"1...632",5,85,180,345,"elevee",320,160,2445,265.540243169489,1,287.256179271978
"1...633",7,82.5,120,345,"elevee",320,160,3135,259.08367369164,1,274.583446300153
"1...634",9,80,60,345,"elevee",320,160,3585,255.604831592436,1,263.863311217885
"1...635",12,77.5,60,345,"elevee",320,160,4800,248.024043242776,1,256.177842671595
"1...636",15,75,60,345,"elevee",320,160,6015,242.168648673515,1,250.192630684271
"1...637",18,72.5,30,345,"elevee",320,160,6720,239.292743934325,1,243.402220885183
"1...638",21,70,30,345,"elevee",320,160,7845,235.274286550792,1,239.322110941306
"1...639",2,95,300,360,"elevee",320,160,1020,288.234220758198,1,312.879402304892
"1...640",3,90,240,360,"elevee",320,160,1560,277.203925043939,1,301.69785972615
"1...641",5,85,180,360,"elevee",320,160,2520,264.75469388496,1,285.577248420538
"1...642",7,82.5,120,360,"elevee",320,160,3240,258.230373587525,1,273.071194182443
"1...643",9,80,60,360,"elevee",320,160,3720,254.645025795557,1,262.53526570998
"1...644",12,77.5,60,360,"elevee",320,160,4980,247.069131865568,1,254.859339865269
"1...645",15,75,60,360,"elevee",320,160,6240,241.215856737679,1,248.881684267502
"1...646",18,72.5,30,360,"elevee",320,160,6990,238.269923800028,1,242.190062225537
"1...647",21,70,30,360,"elevee",320,160,8160,234.252095619279,1,238.113098958216
"1...648",2,90,240,15,"elevee",320,160,270,332.433581083537,1,939.92502434822
"1...649",4,85,180,15,"elevee",320,160,600,302.006012859709,1,620.209056078365
"1...650",6,82.5,120,15,"elevee",320,160,690,298.382213065475,1,529.555442782698
"1...651",8,80,60,15,"elevee",320,160,540,304.744742548818,1,454.811816386362
"1...652",10,77.5,60,15,"elevee",320,160,690,298.382213065475,1,442.818938754728
"1...653",13,75,60,15,"elevee",320,160,915,291.05186054432,1,429.425272906253
"1...654",16,72.5,30,15,"elevee",320,160,690,298.382213065475,1,386.975525642655
"1...655",19,70,30,15,"elevee",320,160,825,293.742545243547,1,380.288088585468
"1...656",1,95,300,30,"elevee",320,160,30,591.705921640623,1,591.705921640623
"1...657",2,90,240,30,"elevee",320,160,300,320,1,558.475554675459
"1...658",4,85,180,30,"elevee",320,160,660,299.536440638896,1,481.961329994838
"1...659",6,82.5,120,30,"elevee",320,160,780,295.197957163228,1,433.122628631606
"1...660",8,80,60,30,"elevee",320,160,660,299.536440638896,1,387.287870794096
"1...661",10,77.5,60,30,"elevee",320,160,840,293.274896793659,1,378.593738403268
"1...662",13,75,60,30,"elevee",320,160,1110,286.036346641352,1,368.520569390593
"1...663",16,72.5,30,30,"elevee",320,160,930,290.633289196298,1,340.672734434528
"1...664",19,70,30,30,"elevee",320,160,1110,286.036346641352,1,335.043701569242
