"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...79",4,75,15,"all around",391.34815655162,195.67407827581,285,0,957.325324588391
"1...80",5,75,15,"all around",391.34815655162,195.67407827581,375,0,883.708967272133
"1...81",6,75,15,"all around",391.34815655162,195.67407827581,465,0,837.636355084957
"1...82",7,75,15,"all around",391.34815655162,195.67407827581,555,0,807.02999984612
"1...83",8,75,15,"all around",391.34815655162,195.67407827581,645,0,785.884751846689
"1...84",9,75,15,"all around",391.34815655162,195.67407827581,735,0,770.877209862394
"1...85",10,75,15,"all around",391.34815655162,195.67407827581,825,0,760.021091129875
"1...86",11,75,15,"all around",391.34815655162,195.67407827581,915,0,752.059408483236
"1...87",12,75,15,"all around",391.34815655162,195.67407827581,1005,0,746.161447055612
"1...88",13,75,15,"all around",391.34815655162,195.67407827581,1095,0,741.759653624757
"1...89",14,75,15,"all around",391.34815655162,195.67407827581,1185,0,738.456215059845
"1...90",15,75,15,"all around",391.34815655162,195.67407827581,1275,0,735.966731059263
"1...91",16,75,15,"all around",391.34815655162,195.67407827581,1365,0,734.084759079255
"1...92",17,75,15,"all around",391.34815655162,195.67407827581,1455,0,732.65867468847
"1...93",18,75,15,"all around",391.34815655162,195.67407827581,1545,0,731.576104032962
"1...94",19,75,15,"all around",391.34815655162,195.67407827581,1635,0,730.753182425539
"1...95",20,75,15,"all around",391.34815655162,195.67407827581,1725,0,730.126986837013
"1...96",2,90,15,"all around",391.34815655162,195.67407827581,120,0,1385.38193596636
"1...97",3,90,15,"all around",391.34815655162,195.67407827581,225,0,1123.26213896535
"1...98",4,90,15,"all around",391.34815655162,195.67407827581,330,0,1000.48455631114
"1...99",5,90,15,"all around",391.34815655162,195.67407827581,435,0,932.126861988436
"1...100",6,90,15,"all around",391.34815655162,195.67407827581,540,0,890.379279901429
"1...101",7,90,15,"all around",391.34815655162,195.67407827581,645,0,863.428786488438
"1...102",8,90,15,"all around",391.34815655162,195.67407827581,750,0,845.402724592549
"1...103",9,90,15,"all around",391.34815655162,195.67407827581,855,0,833.058214218505
"1...104",10,90,15,"all around",391.34815655162,195.67407827581,960,0,824.467436468241
"1...105",11,90,15,"all around",391.34815655162,195.67407827581,1065,0,818.421819920326
"1...106",12,90,15,"all around",391.34815655162,195.67407827581,1170,0,814.133809687556
"1...107",13,90,15,"all around",391.34815655162,195.67407827581,1275,0,811.075476173081
"1...108",14,90,15,"all around",391.34815655162,195.67407827581,1380,0,808.885526647636
"1...109",15,90,15,"all around",391.34815655162,195.67407827581,1485,0,807.312940444228
"1...110",16,90,15,"all around",391.34815655162,195.67407827581,1590,0,806.181378055986
"1...111",17,90,15,"all around",391.34815655162,195.67407827581,1695,0,805.365963939734
"1...112",18,90,15,"all around",391.34815655162,195.67407827581,1800,0,804.777749163028
"1...113",19,90,15,"all around",391.34815655162,195.67407827581,1905,0,804.353106170922
"1...114",20,90,15,"all around",391.34815655162,195.67407827581,2010,0,804.046380280718
"1...115",2,105,15,"all around",391.34815655162,195.67407827581,135,0,1411.02528522774
"1...116",3,105,15,"all around",391.34815655162,195.67407827581,255,0,1159.64592616826
"1...117",4,105,15,"all around",391.34815655162,195.67407827581,375,0,1043.94666972584
"1...118",5,105,15,"all around",391.34815655162,195.67407827581,495,0,981.004290340861
"1...119",6,105,15,"all around",391.34815655162,195.67407827581,615,0,943.632294665263
"1...120",7,105,15,"all around",391.34815655162,195.67407827581,735,0,920.281406543761
"1...121",8,105,15,"all around",391.34815655162,195.67407827581,855,0,905.223318719235
"1...122",9,105,15,"all around",391.34815655162,195.67407827581,975,0,895.31437982752
"1...123",10,105,15,"all around",391.34815655162,195.67407827581,1095,0,888.706696163605
"1...124",11,105,15,"all around",391.34815655162,195.67407827581,1215,0,884.26133545484
"1...125",12,105,15,"all around",391.34815655162,195.67407827581,1335,0,881.252894391048
"1...126",13,105,15,"all around",391.34815655162,195.67407827581,1455,0,879.208718939274
"1...127",14,105,15,"all around",391.34815655162,195.67407827581,1575,0,877.815953985126
