X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...22,4,60,15,elevee,312.947910877278,156.473955438639,240,317.694598701003,1,701.783831891296,123.48425298488375,224.24940621076695,60
1...23,5,60,15,elevee,312.947910877278,156.473955438639,315,310.761222524722,1,672.429692741296,118.31916684264053,214.86952600395796,75
1...24,6,60,15,elevee,312.947910877278,156.473955438639,390,302.107867134957,1,642.338593236509,113.02440686815028,205.2541560146094,90
1...25,7,60,15,elevee,312.947910877278,156.473955438639,465,295.917222639147,1,621.413177743019,109.34241936261284,198.56760698642438,105
1...26,8,60,15,elevee,312.947910877278,156.473955438639,540,291.182733460845,1,605.735551146605,106.58382060205605,193.5579468955596,120
1...27,9,60,15,elevee,312.947910877278,156.473955438639,615,287.38980592395,1,593.37411008145,104.40873014487981,189.60794734755098,135
1...28,10,60,15,elevee,312.947910877278,156.473955438639,690,284.246361259325,1,583.260056780552,102.6290848185621,186.37608257090312,150
1...29,11,60,15,elevee,312.947910877278,156.473955438639,765,281.573383821523,1,574.750814086913,101.13181823910939,183.65702217846106,165
1...30,12,60,15,elevee,312.947910877278,156.473955438639,840,279.254484977035,1,567.434967697941,99.84453890145389,181.31930202290428,180
1...31,13,60,15,elevee,312.947910877278,156.473955438639,915,277.210367982083,1,561.035758057869,98.71854883700858,179.27448580344677,195
1...32,14,60,15,elevee,312.947910877278,156.473955438639,990,275.38491339166,1,555.359429575558,97.71975526200418,177.46066047181293,210
1...33,15,60,15,elevee,312.947910877278,156.473955438639,1065,273.737134029591,1,550.265801164568,96.82349223807759,175.83303228387862,225
1...34,16,60,15,elevee,312.947910877278,156.473955438639,1140,272.23629090638,1,545.650617080059,96.01141516652774,174.35828715087186,240
1...35,17,60,15,elevee,312.947910877278,156.473955438639,1215,270.85880418191,1,541.43450067975,95.26955711775167,173.01106090210413,255
1...36,18,60,15,elevee,312.947910877278,156.473955438639,1290,269.586230120485,1,537.5557859523,94.58706748362908,171.77164865724302,270
1...37,19,60,15,elevee,312.947910877278,156.473955438639,1365,268.403895755414,1,533.965718614511,93.95536757373296,170.6244713753353,285
1...38,20,60,15,elevee,312.947910877278,156.473955438639,1440,267.299952999337,1,530.625155571919,93.36756986008132,169.557021193857,300
1...39,2,90,15,elevee,312.947910877278,156.473955438639,120,342.346752687712,1,1039.37307386627,182.88567186435145,332.12334632706927,30
1...40,3,90,15,elevee,312.947910877278,156.473955438639,225,319.281854877578,1,811.983798108454,142.874783072492,259.46292334473264,45
1...41,4,90,15,elevee,312.947910877278,156.473955438639,330,308.754102534943,1,750.853822708186,132.11849459126114,239.92932900665127,60
1...42,5,90,15,elevee,312.947910877278,156.473955438639,435,298.178021630935,1,705.567035812216,124.14993675933788,225.45829874189604,75
1...43,6,90,15,elevee,312.947910877278,156.473955438639,540,291.182733460845,1,677.252526071111,119.16778139307527,216.41062379122081,90
1...44,7,90,15,elevee,312.947910877278,156.473955438639,645,286.066340264099,1,657.303325617362,115.6575664184184,210.03601646509233,105
1...45,8,90,15,elevee,312.947910877278,156.473955438639,750,282.076579073797,1,642.167617289403,112.99432233763342,205.19952201925,120
1...46,9,90,15,elevee,312.947910877278,156.473955438639,855,278.825745165959,1,630.094412726808,110.86994930594369,201.34162613851046,135
1...47,10,90,15,elevee,312.947910877278,156.473955438639,960,276.091750409781,1,620.1125321326,109.11356078208982,198.15199609233886,150
