X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...128,15,105,15,time-trialist,382.014826073375,191.007413036687,1695,303.372326808902,1,672.377493295005,86.50912059463627,176.00821942074546,225
1...129,16,105,15,time-trialist,382.014826073375,191.007413036687,1815,301.193708785972,1,664.750092229255,85.52776746309841,174.01159506347904,240
1...130,17,105,15,time-trialist,382.014826073375,191.007413036687,1935,299.178855132478,1,657.729783230528,84.624523728977735,172.1738891631906,255
1...131,18,105,15,time-trialist,382.014826073375,191.007413036687,2055,297.304838282653,1,651.227812019251,83.7879701303991,170.47186851700025,270
1...132,19,105,15,time-trialist,382.014826073375,191.007413036687,2175,295.55320196407,1,645.173329495876,83.00899111343941,168.88698696001794,285
1...133,20,105,15,time-trialist,382.014826073375,191.007413036687,2295,293.908877586726,1,639.50893080447,82.28020088120012,167.40421762626488,300
1...134,2,120,15,time-trialist,382.014826073375,191.007413036687,150,414.403413763653,1,1372.79099333371,176.62539686085395,359.3554227840448,30
1...135,3,120,15,time-trialist,382.014826073375,191.007413036687,285,383.700826407106,1,1051.5404676272,135.29281100459085,275.2616903473864,45
1...136,4,120,15,time-trialist,382.014826073375,191.007413036687,420,360.45983292652,1,931.842593200353,119.89229870759385,243.92838434531612,60
1...137,5,120,15,time-trialist,382.014826073375,191.007413036687,555,345.948362912298,1,866.431063696332,111.4763508946884,226.80561186646545,75
1...138,6,120,15,time-trialist,382.014826073375,191.007413036687,690,336.098710183323,1,824.583992944168,106.09224252352539,215.85130645840093,90
1...139,7,120,15,time-trialist,382.014826073375,191.007413036687,825,328.746648075872,1,794.525927057107,102.22492561807329,207.98300820515783,105
1...140,8,120,15,time-trialist,382.014826073375,191.007413036687,960,322.920495619208,1,771.351090966778,99.24321562615422,201.91653263704006,120
1...141,9,120,15,time-trialist,382.014826073375,191.007413036687,1095,318.111850076132,1,752.615906612952,96.83271804289147,197.0122244596848,135
1...142,10,120,15,time-trialist,382.014826073375,191.007413036687,1230,314.025319001459,1,736.950837068065,94.8172261445221,192.9115800669255,150
1...143,11,120,15,time-trialist,382.014826073375,191.007413036687,1365,310.475649072786,1,723.52081789326,93.0892992582607,189.39600468655388,165
1...144,12,120,15,time-trialist,382.014826073375,191.007413036687,1500,307.339702977139,1,711.78336715592,91.57914082577932,186.3234928529201,180
1...145,13,120,15,time-trialist,382.014826073375,191.007413036687,1635,304.531802559291,1,701.368222371221,90.23911230731312,183.59712097574626,195
1...146,14,120,15,time-trialist,382.014826073375,191.007413036687,1770,301.990095518328,1,692.012457235425,89.03538520095002,181.14806285097103,210
1...147,15,120,15,time-trialist,382.014826073375,191.007413036687,1905,299.668555844061,1,683.523210236044,87.94314564839127,178.925833131083,225
1...148,16,120,15,time-trialist,382.014826073375,191.007413036687,2040,297.532055490726,1,675.755136781467,86.94369339133134,176.89238497033415,240
1...149,17,120,15,time-trialist,382.014826073375,191.007413036687,2175,295.55320196407,1,668.596168671744,86.0226095631053,175.01838228219034,255
1...150,18,120,15,time-trialist,382.014826073375,191.007413036687,2310,293.710237752279,1,661.958187229106,85.16855667934202,173.28075824522088,270
1...151,19,120,15,time-trialist,382.014826073375,191.007413036687,2445,291.985603062981,1,655.770721509,84.3724678401206,171.66106568414804,285
1...152,20,120,15,time-trialist,382.014826073375,191.007413036687,2580,290.364926766445,1,649.976574114368,83.62698394051988,170.1443320394912,300
1...153,2,135,15,time-trialist,382.014826073375,191.007413036687,165,408.422610300459,1,1396.87692415483,179.72432969964865,365.6603955697067,30
1...154,3,135,15,time-trialist,382.014826073375,191.007413036687,315,378.546383790588,1,1067.29254118117,137.31949697234688,279.3851097748157,45
1...155,4,135,15,time-trialist,382.014826073375,191.007413036687,465,354.870180876606,1,941.762874963021,121.16865738987784,246.52521595644382,60
1...156,5,135,15,time-trialist,382.014826073375,191.007413036687,615,341.166753548912,1,877.108946889686,112.85018374019683,229.60076076241512,75
1...157,6,135,15,time-trialist,382.014826073375,191.007413036687,765,331.783330085873,1,835.531617455535,107.50078070114566,218.71706552432374,90
1...158,7,135,15,time-trialist,382.014826073375,191.007413036687,915,324.730232533785,1,805.528574799216,103.6405431690385,210.86317069916421,105
1...159,8,135,15,time-trialist,382.014826073375,191.007413036687,1065,319.10982360125,1,782.304339251843,100.65247736713272,204.78376383789433,120
1...160,9,135,15,time-trialist,382.014826073375,191.007413036687,1215,314.450134676377,1,763.466220420596,98.22873607596875,199.85251050804877,135
1...161,10,135,15,time-trialist,382.014826073375,191.007413036687,1365,310.475649072786,1,747.670383226011,96.19641941102047,195.71763507482382,150
1...162,11,135,15,time-trialist,382.014826073375,191.007413036687,1515,307.012814927176,1,734.095591584217,94.44986587688578,192.16416261373496,165
1...163,12,135,15,time-trialist,382.014826073375,191.007413036687,1665,303.945800895337,1,722.207137690455,92.92027914646262,189.05212269215386,180
1...164,13,135,15,time-trialist,382.014826073375,191.007413036687,1815,301.193708785972,1,711.639256615586,91.56059934240571,186.28576904470685,195
1...165,14,135,15,time-trialist,382.014826073375,191.007413036687,1965,298.697935176279,1,702.131662812246,90.33733772657246,183.79696673798333,210
1...166,15,135,15,time-trialist,382.014826073375,191.007413036687,2115,296.414733432289,1,693.493045101536,89.22587990896392,181.53563625521022,225
1...167,16,135,15,time-trialist,382.014826073375,191.007413036687,2265,294.310618136526,1,685.57895115756,88.20764043155131,179.4639643189865,240
1...168,17,135,15,time-trialist,382.014826073375,191.007413036687,2415,292.35940804436,1,678.277799864987,87.26826309672467,177.55274234689196,255
1...169,18,135,15,time-trialist,382.014826073375,191.007413036687,2565,290.540256745939,1,671.501706821857,86.3964405623981,175.77896484386164,270
1...170,19,135,15,time-trialist,382.014826073375,191.007413036687,2715,288.836301812046,1,665.180276623149,85.58311564768285,174.1242044085968,285
1...171,20,135,15,time-trialist,382.014826073375,191.007413036687,2865,287.233714140327,1,659.256287913107,84.82092616509492,172.57348220994996,300
1...172,2,150,15,time-trialist,382.014826073375,191.007413036687,180,403.479770969988,1,1420.59330127018,182.77571519127977,371.86863030214477,30
1...173,3,150,15,time-trialist,382.014826073375,191.007413036687,345,372.41488199882,1,1075.37518988462,138.3594229638971,281.50090428115186,45
1...174,4,150,15,time-trialist,382.014826073375,191.007413036687,510,350.096242360793,1,951.379053086871,122.4058896310984,249.04244237477212,60
1...175,5,150,15,time-trialist,382.014826073375,191.007413036687,675,337.044806200433,1,887.221248034944,114.15124793105393,232.24785727675714,75
1...176,6,150,15,time-trialist,382.014826073375,191.007413036687,840,328.035911504708,1,845.767712011081,108.8177723422316,221.39656743286486,90
