"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...63",7,60,15,"time-trialist",382.014826073375,191.007413036687,465,354.870180876606,1,740.091065911706
"1...64",8,60,15,"time-trialist",382.014826073375,191.007413036687,540,347.270560052982,1,715.752140769051
"1...65",9,60,15,"time-trialist",382.014826073375,191.007413036687,615,341.166753548912,1,696.471949436424
"1...66",10,60,15,"time-trialist",382.014826073375,191.007413036687,690,336.098710183323,1,680.637651068078
"1...67",11,60,15,"time-trialist",382.014826073375,191.007413036687,765,331.783330085873,1,667.274835861628
"1...68",12,60,15,"time-trialist",382.014826073375,191.007413036687,840,328.035911504708,1,655.756946043743
"1...69",13,60,15,"time-trialist",382.014826073375,191.007413036687,915,324.730232533785,1,645.660879765986
"1...70",14,60,15,"time-trialist",382.014826073375,191.007413036687,990,321.776726180244,1,636.689410814193
"1...71",15,60,15,"time-trialist",382.014826073375,191.007413036687,1065,319.10982360125,1,628.626830030679
"1...72",16,60,15,"time-trialist",382.014826073375,191.007413036687,1140,316.680249100356,1,621.312257796995
"1...73",17,60,15,"time-trialist",382.014826073375,191.007413036687,1215,314.450134676377,1,614.622891663543
"1...74",18,60,15,"time-trialist",382.014826073375,191.007413036687,1290,312.389813111238,1,608.463105235583
"1...75",19,60,15,"time-trialist",382.014826073375,191.007413036687,1365,310.475649072786,1,602.757131973994
"1...76",20,60,15,"time-trialist",382.014826073375,191.007413036687,1440,308.688533601967,1,597.444021439005
"1...77",2,75,15,"time-trialist",382.014826073375,191.007413036687,105,443.361920800624,1,1298.68174938293
"1...78",3,75,15,"time-trialist",382.014826073375,191.007413036687,195,399.322491296225,1,974.319715301839
"1...79",4,75,15,"time-trialist",382.014826073375,191.007413036687,285,383.700826407106,1,894.785983589527
"1...80",5,75,15,"time-trialist",382.014826073375,191.007413036687,375,367.145113982902,1,831.00094192163
"1...81",6,75,15,"time-trialist",382.014826073375,191.007413036687,465,354.870180876606,1,786.742907863809
"1...82",7,75,15,"time-trialist",382.014826073375,191.007413036687,555,345.948362912298,1,755.509137563436
"1...83",8,75,15,"time-trialist",382.014826073375,191.007413036687,645,339.033961583217,1,731.807004637843
"1...84",9,75,15,"time-trialist",382.014826073375,191.007413036687,735,333.432608986284,1,712.910538893557
"1...85",10,75,15,"time-trialist",382.014826073375,191.007413036687,825,328.746648075872,1,697.301054752038
"1...86",11,75,15,"time-trialist",382.014826073375,191.007413036687,915,324.730232533785,1,684.059154169493
"1...87",12,75,15,"time-trialist",382.014826073375,191.007413036687,1005,321.222191493813,1,672.592144906064
"1...88",13,75,15,"time-trialist",382.014826073375,191.007413036687,1095,318.111850076132,1,662.498657496728
"1...89",14,75,15,"time-trialist",382.014826073375,191.007413036687,1185,315.320298626306,1,653.495889821913
"1...90",15,75,15,"time-trialist",382.014826073375,191.007413036687,1275,312.789501681228,1,645.377975073186
"1...91",16,75,15,"time-trialist",382.014826073375,191.007413036687,1365,310.475649072786,1,637.990905838297
"1...92",17,75,15,"time-trialist",382.014826073375,191.007413036687,1455,308.344927644506,1,631.216771105476
"1...93",18,75,15,"time-trialist",382.014826073375,191.007413036687,1545,306.37073732484,1,624.963482514196
"1...94",19,75,15,"time-trialist",382.014826073375,191.007413036687,1635,304.531802559291,1,619.157867242434
"1...95",20,75,15,"time-trialist",382.014826073375,191.007413036687,1725,302.810857387716,1,613.740897578275
"1...96",2,90,15,"time-trialist",382.014826073375,191.007413036687,120,431.154163197243,1,1323.71220875502
"1...97",3,90,15,"time-trialist",382.014826073375,191.007413036687,225,392.707883059244,1,1001.41564590607
"1...98",4,90,15,"time-trialist",382.014826073375,191.007413036687,330,375.358473531691,1,911.456329129998
"1...99",5,90,15,"time-trialist",382.014826073375,191.007413036687,435,358.491075168214,1,843.324743957641
"1...100",6,90,15,"time-trialist",382.014826073375,191.007413036687,540,347.270560052982,1,800.247864435437
"1...101",7,90,15,"time-trialist",382.014826073375,191.007413036687,645,339.033961583217,1,769.647847593693
"1...102",8,90,15,"time-trialist",382.014826073375,191.007413036687,750,332.596083108296,1,746.285470996724
"1...103",9,90,15,"time-trialist",382.014826073375,191.007413036687,855,327.342730817594,1,727.558559247301
"1...104",10,90,15,"time-trialist",382.014826073375,191.007413036687,960,322.920495619208,1,712.014782801605
"1...105",11,90,15,"time-trialist",382.014826073375,191.007413036687,1065,319.10982360125,1,698.772830981787
"1...106",12,90,15,"time-trialist",382.014826073375,191.007413036687,1170,315.766086069275,1,687.263050582962
"1...107",13,90,15,"time-trialist",382.014826073375,191.007413036687,1275,312.789501681228,1,677.098594110829
"1...108",14,90,15,"time-trialist",382.014826073375,191.007413036687,1380,310.108607102236,1,668.006118134725
"1...109",15,90,15,"time-trialist",382.014826073375,191.007413036687,1485,307.670617471635,1,659.7860811051
"1...110",16,90,15,"time-trialist",382.014826073375,191.007413036687,1590,305.435523628867,1,652.288795997256
"1...111",17,90,15,"time-trialist",382.014826073375,191.007413036687,1695,303.372326808902,1,645.399352989356
"1...112",18,90,15,"time-trialist",382.014826073375,191.007413036687,1800,301.456551978326,1,639.027776057951
"1...113",19,90,15,"time-trialist",382.014826073375,191.007413036687,1905,299.668555844061,1,633.10239360242
"1...114",20,90,15,"time-trialist",382.014826073375,191.007413036687,2010,297.992345315923,1,627.56525165069
"1...115",2,105,15,"time-trialist",382.014826073375,191.007413036687,135,421.793305843176,1,1348.38788897924
"1...116",3,105,15,"time-trialist",382.014826073375,191.007413036687,255,387.670497977791,1,1027.10738794414
"1...117",4,105,15,"time-trialist",382.014826073375,191.007413036687,375,367.145113982902,1,921.689649803045
"1...118",5,105,15,"time-trialist",382.014826073375,191.007413036687,495,351.610031959207,1,855.165648360148
"1...119",6,105,15,"time-trialist",382.014826073375,191.007413036687,615,341.166753548912,1,812.847106767137
"1...120",7,105,15,"time-trialist",382.014826073375,191.007413036687,735,333.432608986284,1,782.608714917017
"1...121",8,105,15,"time-trialist",382.014826073375,191.007413036687,855,327.342730817594,1,759.400797565991
"1...122",9,105,15,"time-trialist",382.014826073375,191.007413036687,975,322.342674009751,1,740.712060353525
"1...123",10,105,15,"time-trialist",382.014826073375,191.007413036687,1095,318.111850076132,1,725.138006774518
"1...124",11,105,15,"time-trialist",382.014826073375,191.007413036687,1215,314.450134676377,1,711.824279827613
"1...125",12,105,15,"time-trialist",382.014826073375,191.007413036687,1335,311.225086066835,1,700.217216928499
"1...126",13,105,15,"time-trialist",382.014826073375,191.007413036687,1455,308.344927644506,1,689.939839384329
"1...127",14,105,15,"time-trialist",382.014826073375,191.007413036687,1575,305.743655508507,1,680.725082567084
"1...128",15,105,15,"time-trialist",382.014826073375,191.007413036687,1695,303.372326808902,1,672.377493295005
"1...129",16,105,15,"time-trialist",382.014826073375,191.007413036687,1815,301.193708785972,1,664.750092229255
"1...130",17,105,15,"time-trialist",382.014826073375,191.007413036687,1935,299.178855132478,1,657.729783230528
"1...131",18,105,15,"time-trialist",382.014826073375,191.007413036687,2055,297.304838282653,1,651.227812019251
"1...132",19,105,15,"time-trialist",382.014826073375,191.007413036687,2175,295.55320196407,1,645.173329495876
"1...133",20,105,15,"time-trialist",382.014826073375,191.007413036687,2295,293.908877586726,1,639.50893080447
"1...134",2,120,15,"time-trialist",382.014826073375,191.007413036687,150,414.403413763653,1,1372.79099333371
"1...135",3,120,15,"time-trialist",382.014826073375,191.007413036687,285,383.700826407106,1,1051.5404676272
"1...136",4,120,15,"time-trialist",382.014826073375,191.007413036687,420,360.45983292652,1,931.842593200353
"1...137",5,120,15,"time-trialist",382.014826073375,191.007413036687,555,345.948362912298,1,866.431063696332
"1...138",6,120,15,"time-trialist",382.014826073375,191.007413036687,690,336.098710183323,1,824.583992944168
"1...139",7,120,15,"time-trialist",382.014826073375,191.007413036687,825,328.746648075872,1,794.525927057107
"1...140",8,120,15,"time-trialist",382.014826073375,191.007413036687,960,322.920495619208,1,771.351090966778
"1...141",9,120,15,"time-trialist",382.014826073375,191.007413036687,1095,318.111850076132,1,752.615906612952
"1...142",10,120,15,"time-trialist",382.014826073375,191.007413036687,1230,314.025319001459,1,736.950837068065
"1...143",11,120,15,"time-trialist",382.014826073375,191.007413036687,1365,310.475649072786,1,723.52081789326
"1...144",12,120,15,"time-trialist",382.014826073375,191.007413036687,1500,307.339702977139,1,711.78336715592
"1...145",13,120,15,"time-trialist",382.014826073375,191.007413036687,1635,304.531802559291,1,701.368222371221
"1...146",14,120,15,"time-trialist",382.014826073375,191.007413036687,1770,301.990095518328,1,692.012457235425
"1...147",15,120,15,"time-trialist",382.014826073375,191.007413036687,1905,299.668555844061,1,683.523210236044
"1...148",16,120,15,"time-trialist",382.014826073375,191.007413036687,2040,297.532055490726,1,675.755136781467
"1...149",17,120,15,"time-trialist",382.014826073375,191.007413036687,2175,295.55320196407,1,668.596168671744
"1...150",18,120,15,"time-trialist",382.014826073375,191.007413036687,2310,293.710237752279,1,661.958187229106
"1...151",19,120,15,"time-trialist",382.014826073375,191.007413036687,2445,291.985603062981,1,655.770721509
"1...152",20,120,15,"time-trialist",382.014826073375,191.007413036687,2580,290.364926766445,1,649.976574114368
"1...153",2,135,15,"time-trialist",382.014826073375,191.007413036687,165,408.422610300459,1,1396.87692415483
"1...154",3,135,15,"time-trialist",382.014826073375,191.007413036687,315,378.546383790588,1,1067.29254118117
"1...155",4,135,15,"time-trialist",382.014826073375,191.007413036687,465,354.870180876606,1,941.762874963021
"1...156",5,135,15,"time-trialist",382.014826073375,191.007413036687,615,341.166753548912,1,877.108946889686
"1...157",6,135,15,"time-trialist",382.014826073375,191.007413036687,765,331.783330085873,1,835.531617455535
"1...158",7,135,15,"time-trialist",382.014826073375,191.007413036687,915,324.730232533785,1,805.528574799216
"1...159",8,135,15,"time-trialist",382.014826073375,191.007413036687,1065,319.10982360125,1,782.304339251843
"1...160",9,135,15,"time-trialist",382.014826073375,191.007413036687,1215,314.450134676377,1,763.466220420596
"1...161",10,135,15,"time-trialist",382.014826073375,191.007413036687,1365,310.475649072786,1,747.670383226011
"1...162",11,135,15,"time-trialist",382.014826073375,191.007413036687,1515,307.012814927176,1,734.095591584217
"1...163",12,135,15,"time-trialist",382.014826073375,191.007413036687,1665,303.945800895337,1,722.207137690455
"1...164",13,135,15,"time-trialist",382.014826073375,191.007413036687,1815,301.193708785972,1,711.639256615586
"1...165",14,135,15,"time-trialist",382.014826073375,191.007413036687,1965,298.697935176279,1,702.131662812246
"1...166",15,135,15,"time-trialist",382.014826073375,191.007413036687,2115,296.414733432289,1,693.493045101536
"1...167",16,135,15,"time-trialist",382.014826073375,191.007413036687,2265,294.310618136526,1,685.57895115756
"1...168",17,135,15,"time-trialist",382.014826073375,191.007413036687,2415,292.35940804436,1,678.277799864987
"1...169",18,135,15,"time-trialist",382.014826073375,191.007413036687,2565,290.540256745939,1,671.501706821857
