X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...63,7,120,15,faible,350.281232790258,175.140616395129,825,0,805.127334188986,83.66830103474025,229.85169024772776,105
1...64,8,120,15,faible,350.281232790258,175.140616395129,960,0,767.063538135353,79.71273647805018,218.9850515327656,120
1...65,9,120,15,faible,350.281232790258,175.140616395129,1095,0,738.547400838038,76.74935831608146,210.84412514908175,135
1...66,10,120,15,faible,350.281232790258,175.140616395129,1230,0,716.656144110751,74.47443336929346,204.59450208109538,150
1...67,11,120,15,faible,350.281232790258,175.140616395129,1365,0,699.533690804491,72.69507932571906,199.70630034391795,165
1...68,12,120,15,faible,350.281232790258,175.140616395129,1500,0,685.944431661479,71.2828924870224,195.82677216173042,180
1...69,13,120,15,faible,350.281232790258,175.140616395129,1635,0,675.03391383433,70.1490786774014,192.71198415546513,195
1...70,14,120,15,faible,350.281232790258,175.140616395129,1770,0,666.192522264776,69.23028710246052,190.18790043589914,210
1...71,15,120,15,faible,350.281232790258,175.140616395129,1905,0,658.973884603048,68.48013104230071,188.1270884408556,225
1...72,16,120,15,faible,350.281232790258,175.140616395129,2040,0,653.043960194884,67.86389721266023,186.43418461014576,240
1...73,17,120,15,faible,350.281232790258,175.140616395129,2175,0,648.148129181993,67.35512568596202,185.0364988209609,255
1...74,18,120,15,faible,350.281232790258,175.140616395129,2310,0,644.089255897516,66.93333025385243,183.87775181868932,270
1...75,19,120,15,faible,350.281232790258,175.140616395129,2445,0,640.712669833304,66.58243765923598,182.91378750997802,285
1...76,20,120,15,faible,350.281232790258,175.140616395129,2580,0,637.895636158171,66.28969337948371,182.10956695477068,300
1...77,2,150,15,faible,350.281232790258,175.140616395129,180,0,1690.24558471024,175.64920528580848,482.5395786254778,30
1...78,3,150,15,faible,350.281232790258,175.140616395129,345,0,1289.11520727485,133.96400128357385,368.0229160455047,45
1...79,4,150,15,faible,350.281232790258,175.140616395129,510,0,1095.73680264776,113.86824514053457,312.8163030372418,60
1...80,5,150,15,faible,350.281232790258,175.140616395129,675,0,983.835850186447,102.23957203625062,280.870271681255,75
1...81,6,150,15,faible,350.281232790258,175.140616395129,840,0,912.16053166156,94.79112025422046,260.4080510952595,90
1...82,7,150,15,faible,350.281232790258,175.140616395129,1005,0,863.223397619627,89.70560559221697,246.43723865631975,105
1...83,8,150,15,faible,350.281232790258,175.140616395129,1170,0,828.33755481239,86.08029183885058,236.47785758147748,120
1...84,9,150,15,faible,350.281232790258,175.140616395129,1335,0,802.6964285005,83.41568292044386,229.15770339918268,135
1...85,10,150,15,faible,350.281232790258,175.140616395129,1500,0,783.423664440952,81.41287000299386,223.65562042830075,150
1...86,11,150,15,faible,350.281232790258,175.140616395129,1665,0,768.692546928861,79.88202199642195,219.450108932653,165
1...87,12,150,15,faible,350.281232790258,175.140616395129,1830,0,757.287831268053,78.69685147418984,216.19423491109586,180
1...88,13,150,15,faible,350.281232790258,175.140616395129,1995,0,748.370616078972,77.77018035876544,213.64850469367926,195
1...89,14,150,15,faible,350.281232790258,175.140616395129,2160,0,741.34427208928,77.04000733005394,211.64258963687712,210
1...90,15,150,15,faible,350.281232790258,175.140616395129,2325,0,735.774065830832,76.46115517305088,210.05237990337898,225
1...91,16,150,15,faible,350.281232790258,175.140616395129,2490,0,731.336895852484,76.00004739826056,208.78563491021947,240
1...92,17,150,15,faible,350.281232790258,175.140616395129,2655,0,727.788702843844,75.63132152327174,207.77267941146894,255
1...93,18,150,15,faible,350.281232790258,175.140616395129,2820,0,724.942666652676,75.33556332120018,206.96017907609638,270
1...94,19,150,15,faible,350.281232790258,175.140616395129,2985,0,722.65421524363,75.0977489615768,206.30686077216765,285
1...95,20,150,15,faible,350.281232790258,175.140616395129,3150,0,720.810467071408,74.9061478687371,205.78049852388642,300
1...96,2,180,15,faible,350.281232790258,175.140616395129,210,0,1718.46837292443,178.58209880472393,490.5967582777743,30
1...97,3,180,15,faible,350.281232790258,175.140616395129,405,0,1328.29818392964,138.03587034946827,379.20906391379543,45
1...98,4,180,15,faible,350.281232790258,175.140616395129,600,0,1141.86303271697,118.6616525174135,325.98464485840634,60
1...99,5,180,15,faible,350.281232790258,175.140616395129,795,0,1035.26364885112,107.58391492154615,295.55213124164635,75
1...100,6,180,15,faible,350.281232790258,175.140616395129,990,0,967.992636661946,100.59315574625982,276.34727357533376,90
1...101,7,180,15,faible,350.281232790258,175.140616395129,1185,0,922.864867836285,95.9035078026399,263.4639773546988,105
1...102,8,180,15,faible,350.281232790258,175.140616395129,1380,0,891.337685058609,92.62722378220356,254.46344297649705,120
1...103,9,180,15,faible,350.281232790258,175.140616395129,1575,0,868.682676619954,90.27293026178876,247.9957803334857,135
1...104,10,180,15,faible,350.281232790258,175.140616395129,1770,0,852.0714320474,88.546700692328,243.25352096656712,150
1...105,11,180,15,faible,350.281232790258,175.140616395129,1965,0,839.710676260042,87.26217911130959,239.72471193249606,165
1...106,12,180,15,faible,350.281232790258,175.140616395129,2160,0,830.41149131494706,86.29581395101148,237.06993512044141,180
1...107,13,180,15,faible,350.281232790258,175.140616395129,2355,0,823.357764294361,85.56279529580738,235.056202622015,195
1...108,14,180,15,faible,350.281232790258,175.140616395129,2550,0,817.973819051455,85.00329926057245,233.51916759446908,210
1...109,15,180,15,faible,350.281232790258,175.140616395129,2745,0,813.84478736416,84.57421301355961,232.34039142812867,225
