"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...76",20,120,15,"elevee",331.614571833768,165.807285916884,2580,0,770.220242685736
"1...77",2,150,15,"elevee",331.614571833768,165.807285916884,180,0,1420.89033876619
"1...78",3,150,15,"elevee",331.614571833768,165.807285916884,345,0,1162.8496152057
"1...79",4,150,15,"elevee",331.614571833768,165.807285916884,510,0,1045.03528424415
"1...80",5,150,15,"elevee",331.614571833768,165.807285916884,675,0,981.614008385829
"1...81",6,150,15,"elevee",331.614571833768,165.807285916884,840,0,944.434169662214
"1...82",7,150,15,"elevee",331.614571833768,165.807285916884,1005,0,921.540950883041
"1...83",8,150,15,"elevee",331.614571833768,165.807285916884,1170,0,907.016032438255
"1...84",9,150,15,"elevee",331.614571833768,165.807285916884,1335,0,897.624682361469
"1...85",10,150,15,"elevee",331.614571833768,165.807285916884,1500,0,891.478134048752
"1...86",11,150,15,"elevee",331.614571833768,165.807285916884,1665,0,887.42315289931
"1...87",12,150,15,"elevee",331.614571833768,165.807285916884,1830,0,884.733958901096
"1...88",13,150,15,"elevee",331.614571833768,165.807285916884,1995,0,882.944328555556
"1...89",14,150,15,"elevee",331.614571833768,165.807285916884,2160,0,881.75059486484
"1...90",15,150,15,"elevee",331.614571833768,165.807285916884,2325,0,880.953113980783
"1...91",16,150,15,"elevee",331.614571833768,165.807285916884,2490,0,880.419803969021
"1...92",17,150,15,"elevee",331.614571833768,165.807285916884,2655,0,880.062911143077
"1...93",18,150,15,"elevee",331.614571833768,165.807285916884,2820,0,879.823967369298
"1...94",19,150,15,"elevee",331.614571833768,165.807285916884,2985,0,879.663942533681
"1...95",20,150,15,"elevee",331.614571833768,165.807285916884,3150,0,879.556748985856
"1...96",2,180,15,"elevee",331.614571833768,165.807285916884,210,0,1460.07100981197
"1...97",3,180,15,"elevee",331.614571833768,165.807285916884,405,0,1219.04709436737
"1...98",4,180,15,"elevee",331.614571833768,165.807285916884,600,0,1112.48228130872
"1...99",5,180,15,"elevee",331.614571833768,165.807285916884,795,0,1057.45978389074
"1...100",6,180,15,"elevee",331.614571833768,165.807285916884,990,0,1026.77328591082
"1...101",7,180,15,"elevee",331.614571833768,165.807285916884,1185,0,1008.92043675963
"1...102",8,180,15,"elevee",331.614571833768,165.807285916884,1380,0,998.277763690178
"1...103",9,180,15,"elevee",331.614571833768,165.807285916884,1575,0,991.840939039206
"1...104",10,180,15,"elevee",331.614571833768,165.807285916884,1770,0,987.913778492184
"1...105",11,180,15,"elevee",331.614571833768,165.807285916884,1965,0,985.505029263907
"1...106",12,180,15,"elevee",331.614571833768,165.807285916884,2160,0,984.022792978258
"1...107",13,180,15,"elevee",331.614571833768,165.807285916884,2355,0,983.108864529376
"1...108",14,180,15,"elevee",331.614571833768,165.807285916884,2550,0,982.544652292143
"1...109",15,180,15,"elevee",331.614571833768,165.807285916884,2745,0,982.196071583072
"1...110",16,180,15,"elevee",331.614571833768,165.807285916884,2940,0,981.980610726424
"1...111",17,180,15,"elevee",331.614571833768,165.807285916884,3135,0,981.847393737534
"1...112",18,180,15,"elevee",331.614571833768,165.807285916884,3330,0,981.765012394826
"1...113",19,180,15,"elevee",331.614571833768,165.807285916884,3525,0,981.714062139301
"1...114",20,180,15,"elevee",331.614571833768,165.807285916884,3720,0,981.682548852244
"1...115",2,210,15,"elevee",331.614571833768,165.807285916884,240,0,1498.62098307685
"1...116",3,210,15,"elevee",331.614571833768,165.807285916884,465,0,1274.69845232074
"1...117",4,210,15,"elevee",331.614571833768,165.807285916884,690,0,1179.31644006986
"1...118",5,210,15,"elevee",331.614571833768,165.807285916884,915,0,1132.35741892789
"1...119",6,210,15,"elevee",331.614571833768,165.807285916884,1140,0,1107.59489674826
"1...120",7,210,15,"elevee",331.614571833768,165.807285916884,1365,0,1094.06352922329
"1...121",8,210,15,"elevee",331.614571833768,165.807285916884,1590,0,1086.52521605082
"1...122",9,210,15,"elevee",331.614571833768,165.807285916884,1815,0,1082.28040539359
"1...123",10,210,15,"elevee",331.614571833768,165.807285916884,2040,0,1079.87573431067
"1...124",11,210,15,"elevee",331.614571833768,165.807285916884,2265,0,1078.50885086872
"1...125",12,210,15,"elevee",331.614571833768,165.807285916884,2490,0,1077.73037159118
"1...126",13,210,15,"elevee",331.614571833768,165.807285916884,2715,0,1077.28651701115
"1...127",14,210,15,"elevee",331.614571833768,165.807285916884,2940,0,1077.03329184331
"1...128",15,210,15,"elevee",331.614571833768,165.807285916884,3165,0,1076.88877166753
"1...129",16,210,15,"elevee",331.614571833768,165.807285916884,3390,0,1076.80627454386
"1...130",17,210,15,"elevee",331.614571833768,165.807285916884,3615,0,1076.75917683616
"1...131",18,210,15,"elevee",331.614571833768,165.807285916884,3840,0,1076.73228690801
"1...132",19,210,15,"elevee",331.614571833768,165.807285916884,4065,0,1076.71693381014
"1...133",20,210,15,"elevee",331.614571833768,165.807285916884,4290,0,1076.70816760119
"1...134",2,240,15,"elevee",331.614571833768,165.807285916884,270,0,1536.43509774655
"1...135",3,240,15,"elevee",331.614571833768,165.807285916884,525,0,1329.48195806896
"1...136",4,240,15,"elevee",331.614571833768,165.807285916884,780,0,1244.95728127065
"1...137",5,240,15,"elevee",331.614571833768,165.807285916884,1035,0,1205.48494303898
"1...138",6,240,15,"elevee",331.614571833768,165.807285916884,1290,0,1185.90492564775
"1...139",7,240,15,"elevee",331.614571833768,165.807285916884,1545,0,1175.90176181118
"1...140",8,240,15,"elevee",331.614571833768,165.807285916884,1800,0,1170.71428758364
"1...141",9,240,15,"elevee",331.614571833768,165.807285916884,2055,0,1168.00328323902
"1...142",10,240,15,"elevee",331.614571833768,165.807285916884,2310,0,1166.58077449643
"1...143",11,240,15,"elevee",331.614571833768,165.807285916884,2565,0,1165.83278190727
"1...144",12,240,15,"elevee",331.614571833768,165.807285916884,2820,0,1165.43903068668
"1...145",13,240,15,"elevee",331.614571833768,165.807285916884,3075,0,1165.23163470632
"1...146",14,240,15,"elevee",331.614571833768,165.807285916884,3330,0,1165.12236181832
"1...147",15,240,15,"elevee",331.614571833768,165.807285916884,3585,0,1165.06477873339
"1...148",16,240,15,"elevee",331.614571833768,165.807285916884,3840,0,1165.03443181882
"1...149",17,240,15,"elevee",331.614571833768,165.807285916884,4095,0,1165.01843794328
"1...150",18,240,15,"elevee",331.614571833768,165.807285916884,4350,0,1165.01000841663
"1...151",19,240,15,"elevee",331.614571833768,165.807285916884,4605,0,1165.00556560299
"1...152",20,240,15,"elevee",331.614571833768,165.807285916884,4860,0,1165.00322398596
"1...153",2,270,15,"elevee",331.614571833768,165.807285916884,300,0,1573.41677813005
"1...154",3,270,15,"elevee",331.614571833768,165.807285916884,585,0,1383.10689685446
"1...155",4,270,15,"elevee",331.614571833768,165.807285916884,870,0,1308.906315307
"1...156",5,270,15,"elevee",331.614571833768,165.807285916884,1155,0,1276.18780682357
"1...157",6,270,15,"elevee",331.614571833768,165.807285916884,1440,0,1260.98450655415
"1...158",7,270,15,"elevee",331.614571833768,165.807285916884,1725,0,1253.7483299218
"1...159",8,270,15,"elevee",331.614571833768,165.807285916884,2010,0,1250.2648601976
"1...160",9,270,15,"elevee",331.614571833768,165.807285916884,2295,0,1248.57876541618
"1...161",10,270,15,"elevee",331.614571833768,165.807285916884,2580,0,1247.76049652512
"1...162",11,270,15,"elevee",331.614571833768,165.807285916884,2865,0,1247.36287950809
"1...163",12,270,15,"elevee",331.614571833768,165.807285916884,3150,0,1247.16954765227
"1...164",13,270,15,"elevee",331.614571833768,165.807285916884,3435,0,1247.07551625044
"1...165",14,270,15,"elevee",331.614571833768,165.807285916884,3720,0,1247.02977520063
"1...166",15,270,15,"elevee",331.614571833768,165.807285916884,4005,0,1247.00752313442
"1...167",16,270,15,"elevee",331.614571833768,165.807285916884,4290,0,1246.99669759268
"1...168",17,270,15,"elevee",331.614571833768,165.807285916884,4575,0,1246.99143092071
"1...169",18,270,15,"elevee",331.614571833768,165.807285916884,4860,0,1246.9888686414
"1...170",19,270,15,"elevee",331.614571833768,165.807285916884,5145,0,1246.98762206641
"1...171",2,300,15,"elevee",331.614571833768,165.807285916884,330,0,1609.47885268206
"1...172",3,300,15,"elevee",331.614571833768,165.807285916884,645,0,1435.3180141013
"1...173",4,300,15,"elevee",331.614571833768,165.807285916884,960,0,1370.75425325879
"1...174",5,300,15,"elevee",331.614571833768,165.807285916884,1275,0,1343.97818592309
