"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...67",11,60,15,"all around",391.34815655162,195.67407827581,765,328.349463889199,1,650.38500191184
"1...68",12,60,15,"all around",391.34815655162,195.67407827581,840,323.619642691391,1,636.071137014277
"1...69",13,60,15,"all around",391.34815655162,195.67407827581,915,319.445182776838,1,623.506819650839
"1...70",14,60,15,"all around",391.34815655162,195.67407827581,990,315.71402516351,1,612.329030998473
"1...71",15,60,15,"all around",391.34815655162,195.67407827581,1065,312.344009513193,1,602.273764136326
"1...72",16,60,15,"all around",391.34815655162,195.67407827581,1140,309.273307885929,1,593.143746598782
"1...73",17,60,15,"all around",391.34815655162,195.67407827581,1215,306.454349143769,1,584.788138406205
"1...74",18,60,15,"all around",391.34815655162,195.67407827581,1290,303.849824784867,1,577.089296675964
"1...75",19,60,15,"all around",391.34815655162,195.67407827581,1365,301.429983872184,1,569.953877530304
"1...76",20,60,15,"all around",391.34815655162,195.67407827581,1440,299.1707529529,1,563.306691979685
"1...77",2,75,15,"all around",391.34815655162,195.67407827581,105,469.888653643313,1,1391.79627650605
"1...78",3,75,15,"all around",391.34815655162,195.67407827581,195,413.680628603618,1,1013.23410221836
"1...79",4,75,15,"all around",391.34815655162,195.67407827581,285,393.525381448276,1,918.071940788167
"1...80",5,75,15,"all around",391.34815655162,195.67407827581,375,372.786525388158,1,840.933151480752
"1...81",6,75,15,"all around",391.34815655162,195.67407827581,465,357.406946900473,1,787.025796695593
"1...82",7,75,15,"all around",391.34815655162,195.67407827581,555,346.196733478434,1,748.780872693065
"1...83",8,75,15,"all around",391.34815655162,195.67407827581,645,337.491744093765,1,719.641151951342
"1...84",9,75,15,"all around",391.34815655162,195.67407827581,735,330.430156974839,1,696.336247076056
"1...85",10,75,15,"all around",391.34815655162,195.67407827581,825,324.516917762817,1,677.036679280706
"1...86",11,75,15,"all around",391.34815655162,195.67407827581,915,319.445182776838,1,660.630996654176
"1...87",12,75,15,"all around",391.34815655162,195.67407827581,1005,315.013355583404,1,646.400496472532
"1...88",13,75,15,"all around",391.34815655162,195.67407827581,1095,311.082744104849,1,633.857154602645
"1...89",14,75,15,"all around",391.34815655162,195.67407827581,1185,307.554304956099,1,622.656281796909
"1...90",15,75,15,"all around",391.34815655162,195.67407827581,1275,304.355094715928,1,612.54641687467
"1...91",16,75,15,"all around",391.34815655162,195.67407827581,1365,301.429983872184,1,603.339076528245
"1...92",17,75,15,"all around",391.34815655162,195.67407827581,1455,298.736378992287,1,594.889699506954
"1...93",18,75,15,"all around",391.34815655162,195.67407827581,1545,296.240742751514,1,587.085202547538
"1...94",19,75,15,"all around",391.34815655162,195.67407827581,1635,293.916230090444,1,579.835599076326
"1...95",20,75,15,"all around",391.34815655162,195.67407827581,1725,291.741040423896,1,573.068200953101
"1...96",2,90,15,"all around",391.34815655162,195.67407827581,120,454.429658979787,1,1408.88733379816
"1...97",3,90,15,"all around",391.34815655162,195.67407827581,225,405.152165635096,1,1035.725663649
"1...98",4,90,15,"all around",391.34815655162,195.67407827581,330,383.048375773955,1,928.802368556801
"1...99",5,90,15,"all around",391.34815655162,195.67407827581,435,361.949027382071,1,846.601959004276
"1...100",6,90,15,"all around",391.34815655162,195.67407827581,540,347.859688912672,1,794.233986528166
"1...101",7,90,15,"all around",391.34815655162,195.67407827581,645,337.491744093765,1,756.82886019586
"1...102",8,90,15,"all around",391.34815655162,195.67407827581,750,329.374891958799,1,728.151935223552
"1...103",9,90,15,"all around",391.34815655162,195.67407827581,855,322.744440637665,1,705.090498086025
"1...104",10,90,15,"all around",391.34815655162,195.67407827581,960,317.159087952383,1,685.899744027633
"1...105",11,90,15,"all around",391.34815655162,195.67407827581,1065,312.344009513193,1,669.516956078102
"1...106",12,90,15,"all around",391.34815655162,195.67407827581,1170,308.117800601508,1,655.25301097719
"1...107",13,90,15,"all around",391.34815655162,195.67407827581,1275,304.355094715928,1,642.638602490966
"1...108",14,90,15,"all around",391.34815655162,195.67407827581,1380,300.965975797578,1,631.341287626357
"1...109",15,90,15,"all around",391.34815655162,195.67407827581,1485,297.883948836999,1,621.117836055446
"1...110",16,90,15,"all around",391.34815655162,195.67407827581,1590,295.058561106712,1,611.785418693319
"1...111",17,90,15,"all around",391.34815655162,195.67407827581,1695,292.450688191508,1,603.203427695466
"1...112",18,90,15,"all around",391.34815655162,195.67407827581,1800,290.029416588626,1,595.261583229884
"1...113",19,90,15,"all around",391.34815655162,195.67407827581,1905,287.769919970406,1,587.871908500678
"1...114",20,90,15,"all around",391.34815655162,195.67407827581,2010,285.651974536777,1,580.963167668748
"1...115",2,105,15,"all around",391.34815655162,195.67407827581,135,442.509761673263,1,1426.748324648
"1...116",3,105,15,"all around",391.34815655162,195.67407827581,255,398.650858266037,1,1057.64963051202
"1...117",4,105,15,"all around",391.34815655162,195.67407827581,375,372.786525388158,1,932.659453755691
"1...118",5,105,15,"all around",391.34815655162,195.67407827581,495,353.313608995143,1,852.579456938473
"1...119",6,105,15,"all around",391.34815655162,195.67407827581,615,340.178342761611,1,801.230915975048
"1...120",7,105,15,"all around",391.34815655162,195.67407827581,735,330.430156974839,1,764.329804035509
"1...121",8,105,15,"all around",391.34815655162,195.67407827581,855,322.744440637665,1,735.886245483958
"1...122",9,105,15,"all around",391.34815655162,195.67407827581,975,316.429076758045,1,712.905026897075
"1...123",10,105,15,"all around",391.34815655162,195.67407827581,1095,311.082744104849,1,693.703375122961
"1...124",11,105,15,"all around",391.34815655162,195.67407827581,1215,306.454349143769,1,677.253677096859
"1...125",12,105,15,"all around",391.34815655162,195.67407827581,1335,302.377408500592,1,662.88774585103
"1...126",13,105,15,"all around",391.34815655162,195.67407827581,1455,298.736378992287,1,650.149277950507
"1...127",14,105,15,"all around",391.34815655162,195.67407827581,1575,295.448058908098,1,638.714164863788
"1...128",15,105,15,"all around",391.34815655162,195.67407827581,1695,292.450688191508,1,628.344651030685
"1...129",16,105,15,"all around",391.34815655162,195.67407827581,1815,289.697242600928,1,618.861571467636
"1...130",17,105,15,"all around",391.34815655162,195.67407827581,1935,287.151137085109,1,610.126804044762
"1...131",18,105,15,"all around",391.34815655162,195.67407827581,2055,284.783376255047,1,602.031769940743
"1...132",19,105,15,"all around",391.34815655162,195.67407827581,2175,282.57060775105,1,594.489660691349
"1...133",20,105,15,"all around",391.34815655162,195.67407827581,2295,280.493757756169,1,587.430041354362
"1...134",2,120,15,"all around",391.34815655162,195.67407827581,150,433.059756188744,1,1445.25920464734
"1...135",3,120,15,"all around",391.34815655162,195.67407827581,285,393.525381448276,1,1078.92189484353
"1...136",4,120,15,"all around",391.34815655162,195.67407827581,420,364.416776369712,1,937.128506125217
"1...137",5,120,15,"all around",391.34815655162,195.67407827581,555,346.196733478434,1,858.560078180566
"1...138",6,120,15,"all around",391.34815655162,195.67407827581,690,333.792289806829,1,807.876822863335
"1...139",7,120,15,"all around",391.34815655162,195.67407827581,825,324.516917762817,1,771.25503004456
"1...140",8,120,15,"all around",391.34815655162,195.67407827581,960,317.159087952383,1,742.893788768227
"1...141",9,120,15,"all around",391.34815655162,195.67407827581,1095,311.082744104849,1,719.887023592249
"1...142",10,120,15,"all around",391.34815655162,195.67407827581,1230,305.917336496732,1,700.598204661754
"1...143",11,120,15,"all around",391.34815655162,195.67407827581,1365,301.429983872184,1,684.025410451285
"1...144",12,120,15,"all around",391.34815655162,195.67407827581,1500,297.46562736846,1,669.515470204214
"1...145",13,120,15,"all around",391.34815655162,195.67407827581,1635,293.916230090444,1,656.621196118646
"1...146",14,120,15,"all around",391.34815655162,195.67407827581,1770,290.703712157967,1,645.02417017511
"1...147",15,120,15,"all around",391.34815655162,195.67407827581,1905,287.769919970406,1,634.490259538913
"1...148",16,120,15,"all around",391.34815655162,195.67407827581,2040,285.070437125241,1,624.842633290883
"1...149",17,120,15,"all around",391.34815655162,195.67407827581,2175,282.57060775105,1,615.944679259174
"1...150",18,120,15,"all around",391.34815655162,195.67407827581,2310,280.242892041825,1,607.688790448177
"1...151",19,120,15,"all around",391.34815655162,195.67407827581,2445,278.065055023739,1,599.988772949102
"1...152",20,120,15,"all around",391.34815655162,195.67407827581,2580,276.018893824745,1,592.77456614853
"1...153",2,135,15,"all around",391.34815655162,195.67407827581,165,425.387873791608,1,1464.20074593645
"1...154",3,135,15,"all around",391.34815655162,195.67407827581,315,387.025216289782,1,1090.37237363828
"1...155",4,135,15,"all around",391.34815655162,195.67407827581,465,357.406946900473,1,941.888567752572
"1...156",5,135,15,"all around",391.34815655162,195.67407827581,615,340.178342761611,1,864.393733569891
"1...157",6,135,15,"all around",391.34815655162,195.67407827581,765,328.349463889199,1,814.125732926552
"1...158",7,135,15,"all around",391.34815655162,195.67407827581,915,319.445182776838,1,777.627244909927
"1...159",8,135,15,"all around",391.34815655162,195.67407827581,1065,312.344009513193,1,749.245119958319
"1...160",9,135,15,"all around",391.34815655162,195.67407827581,1215,306.454349143769,1,726.141752321798
"1...161",10,135,15,"all around",391.34815655162,195.67407827581,1365,301.429983872184,1,706.715463970048
"1...162",11,135,15,"all around",391.34815655162,195.67407827581,1515,297.052399297544,1,689.983288042604
"1...163",12,135,15,"all around",391.34815655162,195.67407827581,1665,293.175531194878,1,675.302861651896
"1...164",13,135,15,"all around",391.34815655162,195.67407827581,1815,289.697242600928,1,662.233366246261
"1...165",14,135,15,"all around",391.34815655162,195.67407827581,1965,286.543473549887,1,650.460216803633
"1...166",15,135,15,"all around",391.34815655162,195.67407827581,2115,283.658897363843,1,639.751608981145
"1...167",16,135,15,"all around",391.34815655162,195.67407827581,2265,281.001139435648,1,629.932121250995
"1...168",17,135,15,"all around",391.34815655162,195.67407827581,2415,278.537052748757,1,620.865976450455
"1...169",18,135,15,"all around",391.34815655162,195.67407827581,2565,276.240234841487,1,612.446037546205
"1...170",19,135,15,"all around",391.34815655162,195.67407827581,2715,274.089323046254,1,604.586345965068
"1...171",20,135,15,"all around",391.34815655162,195.67407827581,2865,272.066793840119,1,597.216924802598
"1...172",2,150,15,"all around",391.34815655162,195.67407827581,180,419.03340681748,1,1483.38014498124
"1...173",3,150,15,"all around",391.34815655162,195.67407827581,345,379.373269944331,1,1093.04208584348
"1...174",4,150,15,"all around",391.34815655162,195.67407827581,510,351.411746676095,1,946.753328529034
"1...175",5,150,15,"all around",391.34815655162,195.67407827581,675,334.984953164426,1,870.00822417661
"1...176",6,150,15,"all around",391.34815655162,195.67407827581,840,323.619642691391,1,819.973836085309
"1...177",7,150,15,"all around",391.34815655162,195.67407827581,1005,315.013355583404,1,783.487142679872
"1...178",8,150,15,"all around",391.34815655162,195.67407827581,1170,308.117800601508,1,755.011590596543
"1...179",9,150,15,"all around",391.34815655162,195.67407827581,1335,302.377408500592,1,731.762579084119
"1...180",10,150,15,"all around",391.34815655162,195.67407827581,1500,297.46562736846,1,712.16482925274
"1...181",11,150,15,"all around",391.34815655162,195.67407827581,1665,293.175531194878,1,695.249364560267
"1...182",12,150,15,"all around",391.34815655162,195.67407827581,1830,289.368298721949,1,680.381547756133
"1...183",13,150,15,"all around",391.34815655162,195.67407827581,1995,285.946537108944,1,667.124929283289
"1...184",14,150,15,"all around",391.34815655162,195.67407827581,2160,282.839414731039,1,655.167411387677
