"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...45",10,90,15,"moyenne",331.614571833768,165.807285916884,960,273.718570133765,1,434.599703993002
"1...46",11,90,15,"moyenne",331.614571833768,165.807285916884,1065,270.203328434912,1,424.1006688826
"1...47",12,90,15,"moyenne",331.614571833768,165.807285916884,1170,267.142820643783,1,415.026485001431
"1...48",13,90,15,"moyenne",331.614571833768,165.807285916884,1275,264.436823500229,1,407.052670853581
"1...49",14,90,15,"moyenne",331.614571833768,165.807285916884,1380,262.014106032336,1,399.951017606695
"1...50",15,90,15,"moyenne",331.614571833768,165.807285916884,1485,259.822434292634,1,393.55568716036
"1...51",16,90,15,"moyenne",331.614571833768,165.807285916884,1590,257.822485532965,1,387.742819436048
"1...52",17,90,15,"moyenne",331.614571833768,165.807285916884,1695,255.983987600905,1,382.417730201674
"1...53",18,90,15,"moyenne",331.614571833768,165.807285916884,1800,254.283183026765,1,377.506577847303
"1...54",19,90,15,"moyenne",331.614571833768,165.807285916884,1905,252.701112499388,1,372.950767929261
"1...55",2,120,15,"moyenne",331.614571833768,165.807285916884,150,369.527948757263,1,984.236705824632
"1...56",3,120,15,"moyenne",331.614571833768,165.807285916884,285,333.595122017372,1,722.696994521847
"1...57",4,120,15,"moyenne",331.614571833768,165.807285916884,420,309.859554194281,1,618.030012705283
"1...58",5,120,15,"moyenne",331.614571833768,165.807285916884,555,295.58244689137,1,561.474268666202
"1...59",6,120,15,"moyenne",331.614571833768,165.807285916884,690,286.102689450764,1,525.722554290657
"1...60",7,120,15,"moyenne",331.614571833768,165.807285916884,825,279.150184811669,1,500.320469892117
"1...61",8,120,15,"moyenne",331.614571833768,165.807285916884,960,273.718570133765,1,480.917263741384
"1...62",9,120,15,"moyenne",331.614571833768,165.807285916884,1095,269.287559904467,1,465.354605216274
"1...63",10,120,15,"moyenne",331.614571833768,165.807285916884,1230,265.558218164603,1,452.428966625562
"1...64",11,120,15,"moyenne",331.614571833768,165.807285916884,1365,262.345006548907,1,441.410448680905
"1...65",12,120,15,"moyenne",331.614571833768,165.807285916884,1500,259.52577918789,1,431.827427992318
"1...66",13,120,15,"moyenne",331.614571833768,165.807285916884,1635,257.016300707681,1,423.359678143184
"1...67",14,120,15,"moyenne",331.614571833768,165.807285916884,1770,254.756258549868,1,415.780933265748
"1...68",15,120,15,"moyenne",331.614571833768,165.807285916884,1905,252.701112499388,1,408.926004393496
"1...69",16,120,15,"moyenne",331.614571833768,165.807285916884,2040,250.817106832969,1,402.670954449242
"1...70",17,120,15,"moyenne",331.614571833768,165.807285916884,2175,249.078090108999,1,396.920620748435
"1...71",18,120,15,"moyenne",331.614571833768,165.807285916884,2310,247.4634156428,1,391.600470902818
"1...72",19,120,15,"moyenne",331.614571833768,165.807285916884,2445,245.95651331187,1,386.651118751501
"1...73",2,150,15,"moyenne",331.614571833768,165.807285916884,180,356.789969283006,1,1043.79599920982
"1...74",3,150,15,"moyenne",331.614571833768,165.807285916884,345,321.856085548983,1,750.536218894739
"1...75",4,150,15,"moyenne",331.614571833768,165.807285916884,510,299.627738291157,1,638.732771594181
"1...76",5,150,15,"moyenne",331.614571833768,165.807285916884,675,287.005197241193,1,581.533297282006
"1...77",6,150,15,"moyenne",331.614571833768,165.807285916884,840,278.483867386929,1,545.037209215609
"1...78",7,150,15,"moyenne",331.614571833768,165.807285916884,1005,272.148299743182,1,518.875331447546
"1...79",8,150,15,"moyenne",331.614571833768,165.807285916884,1170,267.142820643783,1,498.733795446019
"1...80",9,150,15,"moyenne",331.614571833768,165.807285916884,1335,263.021426522187,1,482.468085492573
"1...81",10,150,15,"moyenne",331.614571833768,165.807285916884,1500,259.52577918789,1,468.878510061222
"1...82",11,150,15,"moyenne",331.614571833768,165.807285916884,1665,256.494285616805,1,457.23475490237
"1...83",12,150,15,"moyenne",331.614571833768,165.807285916884,1830,253.819777826849,1,447.063048215645
"1...84",13,150,15,"moyenne",331.614571833768,165.807285916884,1995,251.427837343005,1,438.040410122948
"1...85",14,150,15,"moyenne",331.614571833768,165.807285916884,2160,249.264835722742,1,429.937724508732
"1...86",15,150,15,"moyenne",331.614571833768,165.807285916884,2325,247.290930299618,1,422.587078153076
"1...87",16,150,15,"moyenne",331.614571833768,165.807285916884,2490,245.475756318448,1,415.86202432091
"1...88",17,150,15,"moyenne",331.614571833768,165.807285916884,2655,243.795666903301,1,409.665130496119
"1...89",18,150,15,"moyenne",331.614571833768,165.807285916884,2820,242.231902345027,1,403.919830176472
"1...90",19,150,15,"moyenne",331.614571833768,165.807285916884,2985,240.769339112524,1,398.564921983705
"1...91",2,180,15,"moyenne",331.614571833768,165.807285916884,210,347.766873790563,1,1104.32620010334
"1...92",3,180,15,"moyenne",331.614571833768,165.807285916884,405,311.94215042744,1,773.264320257233
"1...93",4,180,15,"moyenne",331.614571833768,165.807285916884,600,292.043211850818,1,659.777781292561
"1...94",5,180,15,"moyenne",331.614571833768,165.807285916884,795,280.538772761663,1,601.314320836733
