"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_velocity","max_velocity","interval_velocity","interval_power","rest_power","duration","PN","PC","DR","power_cogganMOD","err","abs_error","percent_error"
"1...17",18,72.5,60,30,"moyenne",287.074791960115,2.34893786687458,5.81364301060483,4.2148911826885,271.936226122626,148.177721099902,1560,202.720718537986,260.775518132383,1,377.9694465335,-106.033220410874,106.033220410874,-32.6303415624985
"1...18",21,70,60,30,"moyenne",287.074791960115,2.34893786687458,5.81364301060483,4.06955010742338,261.88078084356,148.177721099902,1830,197.565266746208,257.701656218349,1,372.368507295975,-110.487726452415,110.487726452415,-34.8404731447195
"1...19",2,95,420,45,"moyenne",287.074791960115,2.34893786687458,5.64221017854791,5.36009966962051,346.512538031868,145.970717458927,510,209.077702321832,283.020172900298,1,513.524861679092,-167.012323647224,167.012323647224,-38.8383862616564
"1...20",3,90,300,45,"moyenne",287.074791960115,2.34893786687458,5.64221017854791,5.07798916069312,326.114629266436,146.117851034992,735,205.112990663483,275.576359167135,1,476.58657367447,-150.471944408034,150.471944408034,-37.4913962646973
"1...21",5,85,240,45,"moyenne",287.074791960115,2.34893786687458,5.64221017854791,4.79587865176572,306.164937001518,146.246592914049,1185,199.734065505062,266.11751653756,1,442.771415348296,-136.606478346778,136.606478346778,-36.4801302322074
"1...22",7,82.5,180,45,"moyenne",287.074791960115,2.34893786687458,5.64221017854791,4.65482339730202,296.352109978232,146.461162712477,1395,202.518658708565,262.93985834932,1,411.199054647389,-114.846944669157,114.846944669157,-32.4632197390064
"1...23",9,80,120,45,"moyenne",287.074791960115,2.34893786687458,5.64221017854791,4.51376814283833,286.644062585849,146.890302309333,1365,208.733969689955,263.361928395502,1,379.942941692728,-93.2988791068788,93.2988791068788,-27.99300871695
"1...24",12,77.5,120,45,"moyenne",287.074791960115,2.34893786687458,5.64221017854791,4.37271288837463,277.038369992961,146.890302309333,1860,203.066727490617,257.38957309151,1,370.788192693632,-93.7498227006703,93.7498227006703,-28.942877029272
"1...25",15,75,120,45,"moyenne",287.074791960115,2.34893786687458,5.64221017854791,4.23165763391093,267.532607368161,146.890302309333,2355,197.767983530473,252.88055697679,1,363.603089064732,-96.0704816965708,96.0704816965708,-30.4436850076933
"1...26",18,72.5,60,45,"moyenne",287.074791960115,2.34893786687458,5.64221017854791,4.09060237944723,258.12434988004,148.177721099902,1830,209.102422748886,257.701656218349,1,330.940869291048,-72.8165194110077,72.8165194110077,-24.7227359691928
"1...27",21,70,60,45,"moyenne",287.074791960115,2.34893786687458,5.64221017854791,3.94954712498353,248.811172697191,148.177721099902,2145,203.159254768903,254.661043355123,1,326.61755943439,-77.806386737199,77.806386737199,-27.0429272618968
"1...28",2,95,420,60,"moyenne",287.074791960115,2.34893786687458,5.52057679440216,5.24454795468205,333.823570209437,145.970717458927,540,219.920409214841,281.841316950351,1,448.918806908825,-115.095236699387,115.095236699387,-29.4082037881023
"1...29",3,90,300,60,"moyenne",287.074791960115,2.34893786687458,5.52057679440216,4.96851911496195,314.481133939114,146.117851034992,780,213.671261515184,274.384862441619,1,423.835847220286,-109.354713281173,109.354713281173,-29.6227002958675
"1...30",5,85,240,60,"moyenne",287.074791960115,2.34893786687458,5.52057679440216,4.69249027524184,295.536886842763,146.246592914049,1260,206.533495925277,264.919485955738,1,398.670113608666,-103.133226765903,103.133226765903,-29.7125285970432
"1...31",7,82.5,180,60,"moyenne",287.074791960115,2.34893786687458,5.52057679440216,4.55447585538178,286.208405819637,146.461162712477,1500,208.596169692236,261.533706137475,1,374.014204626391,-87.8057988067542,87.8057988067542,-26.5988463337949
"1...32",9,80,120,60,"moyenne",287.074791960115,2.34893786687458,5.52057679440216,4.41646143552173,276.972657991776,146.890302309333,1500,213.962217388778,261.533706137475,1,349.236764803673,-72.2641068118972,72.2641068118972,-23.0798528994675
"1...33",12,77.5,120,60,"moyenne",287.074791960115,2.34893786687458,5.52057679440216,4.27844701566168,267.827371993104,146.890302309333,2040,207.781840634338,255.620098647349,1,341.388055955602,-73.5606839624986,73.5606839624986,-24.1493174951873
"1...34",15,75,120,60,"moyenne",287.074791960115,2.34893786687458,5.52057679440216,4.14043259580162,258.770276457544,146.890302309333,2580,202.019573666696,251.146196286213,1,335.17696183846,-76.4066853809165,76.4066853809165,-25.7284420077859
"1...35",18,72.5,60,60,"moyenne",287.074791960115,2.34893786687458,5.52057679440216,4.00241817594157,249.79910001902,148.177721099902,2100,211.728717806121,255.066000612375,1,309.142172157913,-59.3430721388937,59.3430721388937,-21.2340992132385
"1...36",21,70,60,60,"moyenne",287.074791960115,2.34893786687458,5.52057679440216,3.86440375608151,240.911571311455,148.177721099902,2460,205.441746136335,252.050827615679,1,305.27334512776,-64.3617738163047,64.3617738163047,-23.5677595184808
"1...37",2,95,420,75,"moyenne",287.074791960115,2.34893786687458,5.42623046114601,5.15491893808871,325.01797640101,145.970717458927,570,226.795138866211,280.731616338513,1,414.729102658255,-89.7111262572449,89.7111262572449,-24.2545401791462
"1...38",3,90,300,75,"moyenne",287.074791960115,2.34893786687458,5.42623046114601,4.88360741503141,306.385998406955,146.117851034992,825,219.241716804841,273.26441763895,1,394.437635790204,-88.0516373832492,88.0516373832492,-25.1280445141147
"1...39",5,85,240,75,"moyenne",287.074791960115,2.34893786687458,5.42623046114601,4.61229589197411,288.119575004232,146.246592914049,1335,211.048506230675,263.793822139594,1,373.143440053515,-85.0238650492827,85.0238650492827,-25.7155967030328
"1...40",7,82.5,180,75,"moyenne",287.074791960115,2.34893786687458,5.42623046114601,4.47664013044546,279.118054043702,146.461162712477,1605,212.52831542646,260.226534858715,1,352.021985618742,-72.9039315750408,72.9039315750408,-23.1022996462187
"1...41",9,80,120,75,"moyenne",287.074791960115,2.34893786687458,5.42623046114601,4.34098436891681,270.201451053902,146.890302309333,1635,217.100188601589,259.86934471607,1,330.794726310313,-60.593275256411,60.593275256411,-20.1642797537097
"1...42",12,77.5,120,75,"moyenne",287.074791960115,2.34893786687458,5.42623046114601,4.20532860738816,261.367609142467,146.890302309333,2220,210.643421521386,254.005279060711,1,323.589834031544,-62.2222248890776,62.2222248890776,-21.2741031386681
"1...43",15,75,120,75,"moyenne",287.074791960115,2.34893786687458,5.42623046114601,4.06967284585951,252.614371417027,146.890302309333,2805,204.613642571699,249.561144698227,1,317.876170421579,-65.2617990045518,65.2617990045518,-22.8791870218296
"1...44",18,72.5,60,75,"moyenne",287.074791960115,2.34893786687458,5.42623046114601,3.93401708433086,243.939580985216,148.177721099902,2370,212.86076239136,252.759717967649,1,295.745391508731,-51.8058105235152,51.8058105235152,-19.1985373556408
"1...45",21,70,60,75,"moyenne",287.074791960115,2.34893786687458,5.42623046114601,3.79836132280221,235.341080954667,148.177721099902,2775,206.390189275433,249.764778626486,1,292.114204359822,-56.7731234051548,56.7731234051548,-21.527179643789
"1...46",2,95,420,90,"moyenne",287.074791960115,2.34893786687458,5.34914389453581,5.08168669980902,318.345047308137,145.970717458927,600,231.603051112128,279.683403859817,1,392.61764099867,-74.272593690533,74.272593690533,-20.8935278635836
"1...47",3,90,300,90,"moyenne",287.074791960115,2.34893786687458,5.34914389453581,4.81422950508223,300.238822759869,146.117851034992,870,223.183713986622,272.207087891756,1,374.939359684613,-74.7005369247437,74.7005369247437,-22.1276512977035
"1...48",5,85,240,90,"moyenne",287.074791960115,2.34893786687458,5.34914389453581,4.54677231035544,282.474650417477,146.246592914049,1410,214.270292265242,262.732333200338,1,355.875731173773,-73.4010807562962,73.4010807562962,-22.9971134577614
"1...49",7,82.5,180,90,"moyenne",287.074791960115,2.34893786687458,5.34914389453581,4.41304371299204,273.715668153949,146.461162712477,1710,215.250673389382,259.005360962325,1,336.975719904385,-63.2600517504362,63.2600517504362,-20.7175188605717
"1...50",9,80,120,90,"moyenne",287.074791960115,2.34893786687458,5.34914389453581,4.27931511562865,265.036000138446,146.890302309333,1770,219.099019259609,258.34205455658,1,318.080619820217,-53.0446196817709,53.0446196817709,-18.1934857852384
"1...51",12,77.5,120,90,"moyenne",287.074791960115,2.34893786687458,5.34914389453581,4.14558651826525,256.433580103156,146.890302309333,2400,212.478726756386,252.52038635678,1,311.260308341566,-54.8267282384092,54.8267282384092,-19.3155957301618
"1...52",15,75,120,90,"moyenne",287.074791960115,2.34893786687458,5.34914389453581,4.01185792090186,247.906341780264,146.890302309333,3030,206.279176734333,248.101942429364,1,305.851320435295,-57.9449786550303,57.9449786550303,-20.9279194163003
"1...53",18,72.5,60,90,"moyenne",287.074791960115,2.34893786687458,5.34914389453581,3.87812932353846,239.452218901956,148.177721099902,2640,213.252574464579,250.710001896398,1,286.383894725946,-46.9316758239901,46.9316758239901,-17.8503052976694
